Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [22/500] | Sampled: 261.84 | Baseline: 263.97 | Improvement: 2.12 | Win Rate: 50.00% | Job Loss: -0.4014 | AMR Loss: 0.0675 | Entropy: 1.0725 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [23/500] | Sampled: 259.50 | Baseline: 263.94 | Improvement: 4.44 | Win Rate: 53.12% | Job Loss: -1.3032 | AMR Loss: 0.5900 | Entropy: 1.1211 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [24/500] | Sampled: 259.69 | Baseline: 266.22 | Improvement: 6.53 | Win Rate: 65.62% | Job Loss: 0.1376 | AMR Loss: 0.3353 | Entropy: 1.0974 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 262.16 | Baseline: 267.03 | Improvement: 4.88 | Win Rate: 65.62% | Job Loss: 0.1780 | AMR Loss: -0.4327 | Entropy: 1.1062 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [26/500] | Sampled: 263.19 | Baseline: 266.81 | Improvement: 3.62 | Win Rate: 53.12% | Job Loss: -0.8145 | AMR Loss: -0.2264 | Entropy: 1.1684 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 263.62 | Baseline: 265.09 | Improvement: 1.47 | Win Rate: 50.00% | Job Loss: -0.3311 | AMR Loss: -0.5134 | Entropy: 1.1740 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 262.88 | Baseline: 265.69 | Improvement: 2.81 | Win Rate: 62.50% | Job Loss: -1.0833 | AMR Loss: -0.2440 | Entropy: 1.1813 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [29/500] | Sampled: 263.72 | Baseline: 266.81 | Improvement: 3.09 | Win Rate: 59.38% | Job Loss: -0.8324 | AMR Loss: -0.2141 | Entropy: 1.0926 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 260.38 | Baseline: 267.88 | Improvement: 7.50 | Win Rate: 68.75% | Job Loss: 0.0103 | AMR Loss: -0.1196 | Entropy: 1.1209 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 260.25 | Baseline: 266.22 | Improvement: 5.97 | Win Rate: 62.50% | Job Loss: -1.3556 | AMR Loss: 0.1156 | Entropy: 1.0242 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
