Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [24/500] | Sampled: 247.16 | Baseline: 266.22 | Improvement: 19.06 | Win Rate: 96.88% | Actor Loss: -1.3563 | Entropy: 0.4816 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [25/500] | Sampled: 248.91 | Baseline: 267.03 | Improvement: 18.12 | Win Rate: 90.62% | Actor Loss: -0.8159 | Entropy: 0.4903 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [26/500] | Sampled: 248.25 | Baseline: 266.81 | Improvement: 18.56 | Win Rate: 93.75% | Actor Loss: -0.2037 | Entropy: 0.5298 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [27/500] | Sampled: 250.28 | Baseline: 265.09 | Improvement: 14.81 | Win Rate: 84.38% | Actor Loss: -0.5064 | Entropy: 0.5038 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [28/500] | Sampled: 249.47 | Baseline: 265.69 | Improvement: 16.22 | Win Rate: 100.00% | Actor Loss: -0.0375 | Entropy: 0.5278 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [29/500] | Sampled: 249.19 | Baseline: 266.81 | Improvement: 17.62 | Win Rate: 100.00% | Actor Loss: -1.8496 | Entropy: 0.5361 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [30/500] | Sampled: 249.88 | Baseline: 267.88 | Improvement: 18.00 | Win Rate: 96.88% | Actor Loss: -0.7353 | Entropy: 0.5395 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [31/500] | Sampled: 245.25 | Baseline: 266.22 | Improvement: 20.97 | Win Rate: 96.88% | Actor Loss: -1.5049 | Entropy: 0.5137 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [32/500] | Sampled: 245.78 | Baseline: 265.00 | Improvement: 19.22 | Win Rate: 93.75% | Actor Loss: 0.6568 | Entropy: 0.5023 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [33/500] | Sampled: 248.91 | Baseline: 269.19 | Improvement: 20.28 | Win Rate: 93.75% | Actor Loss: -1.6756 | Entropy: 0.5166 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
