Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_latest.pth (optimizers: optimizer)
Starting Attention REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [24/500] | Sampled: 246.72 | Baseline: 266.22 | Improvement: 19.50 | Win Rate: 100.00% | Actor Loss: -0.0240 | Entropy: 0.1707 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [25/500] | Sampled: 250.03 | Baseline: 267.03 | Improvement: 17.00 | Win Rate: 90.62% | Actor Loss: -0.0077 | Entropy: 0.1661 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 251.12 | Baseline: 266.81 | Improvement: 15.69 | Win Rate: 87.50% | Actor Loss: 0.0826 | Entropy: 0.1837 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [27/500] | Sampled: 253.41 | Baseline: 265.09 | Improvement: 11.69 | Win Rate: 71.88% | Actor Loss: -0.3080 | Entropy: 0.1657 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [28/500] | Sampled: 253.91 | Baseline: 265.69 | Improvement: 11.78 | Win Rate: 81.25% | Actor Loss: 0.0665 | Entropy: 0.1578 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 250.88 | Baseline: 266.81 | Improvement: 15.94 | Win Rate: 87.50% | Actor Loss: 0.6703 | Entropy: 0.1600 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [30/500] | Sampled: 254.09 | Baseline: 267.88 | Improvement: 13.78 | Win Rate: 87.50% | Actor Loss: 0.4148 | Entropy: 0.1647 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [31/500] | Sampled: 248.72 | Baseline: 266.22 | Improvement: 17.50 | Win Rate: 87.50% | Actor Loss: -0.3105 | Entropy: 0.1451 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [32/500] | Sampled: 249.25 | Baseline: 265.00 | Improvement: 15.75 | Win Rate: 90.62% | Actor Loss: 0.1863 | Entropy: 0.1364 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 253.56 | Baseline: 269.19 | Improvement: 15.62 | Win Rate: 84.38% | Actor Loss: -0.0605 | Entropy: 0.1622 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 247.97 | Baseline: 262.88 | Improvement: 14.91 | Win Rate: 93.75% | Actor Loss: 0.0423 | Entropy: 0.1342 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [35/500] | Sampled: 250.09 | Baseline: 262.16 | Improvement: 12.06 | Win Rate: 90.62% | Actor Loss: 0.4401 | Entropy: 0.1383 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 250.19 | Baseline: 267.88 | Improvement: 17.69 | Win Rate: 96.88% | Actor Loss: -0.1167 | Entropy: 0.1422 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 252.59 | Baseline: 266.22 | Improvement: 13.62 | Win Rate: 84.38% | Actor Loss: -0.1715 | Entropy: 0.1457 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 252.66 | Baseline: 268.00 | Improvement: 15.34 | Win Rate: 90.62% | Actor Loss: -0.5076 | Entropy: 0.1327 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [39/500] | Sampled: 251.97 | Baseline: 268.16 | Improvement: 16.19 | Win Rate: 90.62% | Actor Loss: 0.0117 | Entropy: 0.1334 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [40/500] | Sampled: 249.00 | Baseline: 266.16 | Improvement: 17.16 | Win Rate: 90.62% | Actor Loss: -0.0872 | Entropy: 0.1678 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 248.69 | Baseline: 265.22 | Improvement: 16.53 | Win Rate: 78.12% | Actor Loss: 0.2259 | Entropy: 0.1449 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [42/500] | Sampled: 253.84 | Baseline: 265.75 | Improvement: 11.91 | Win Rate: 78.12% | Actor Loss: -0.1862 | Entropy: 0.1590 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 253.03 | Baseline: 266.81 | Improvement: 13.78 | Win Rate: 78.12% | Actor Loss: -0.2593 | Entropy: 0.1566 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [44/500] | Sampled: 250.66 | Baseline: 265.03 | Improvement: 14.38 | Win Rate: 78.12% | Actor Loss: 0.0339 | Entropy: 0.1473 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [45/500] | Sampled: 250.03 | Baseline: 265.41 | Improvement: 15.38 | Win Rate: 78.12% | Actor Loss: 0.4836 | Entropy: 0.1625 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [46/500] | Sampled: 250.19 | Baseline: 265.38 | Improvement: 15.19 | Win Rate: 93.75% | Actor Loss: -0.2694 | Entropy: 0.1490 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [47/500] | Sampled: 253.59 | Baseline: 266.31 | Improvement: 12.72 | Win Rate: 84.38% | Actor Loss: -0.2014 | Entropy: 0.1649 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 250.84 | Baseline: 263.72 | Improvement: 12.88 | Win Rate: 84.38% | Actor Loss: 0.2019 | Entropy: 0.1676 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 250.44 | Baseline: 267.09 | Improvement: 16.66 | Win Rate: 87.50% | Actor Loss: 0.1093 | Entropy: 0.1839 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [50/500] | Sampled: 249.28 | Baseline: 265.81 | Improvement: 16.53 | Win Rate: 96.88% | Actor Loss: 0.0979 | Entropy: 0.1686 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 247.10 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 247.10)
Epoch [51/500] | Sampled: 247.16 | Baseline: 266.62 | Improvement: 19.47 | Win Rate: 93.75% | Actor Loss: -0.1202 | Entropy: 0.1752 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [52/500] | Sampled: 251.41 | Baseline: 265.25 | Improvement: 13.84 | Win Rate: 87.50% | Actor Loss: -0.1855 | Entropy: 0.1760 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
