Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [22/500] | Sampled: 265.03 | Baseline: 263.97 | Improvement: -1.06 | Win Rate: 40.62% | Job Loss: -0.2223 | AMR Loss: 0.2405 | Entropy: 1.2021 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [23/500] | Sampled: 262.16 | Baseline: 263.94 | Improvement: 1.78 | Win Rate: 50.00% | Job Loss: 0.1234 | AMR Loss: 0.5651 | Entropy: 1.1993 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [24/500] | Sampled: 264.09 | Baseline: 266.22 | Improvement: 2.12 | Win Rate: 56.25% | Job Loss: 1.2161 | AMR Loss: -1.1123 | Entropy: 1.1909 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 265.53 | Baseline: 267.03 | Improvement: 1.50 | Win Rate: 46.88% | Job Loss: -0.2172 | AMR Loss: 0.2879 | Entropy: 1.2413 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 267.31 | Baseline: 266.81 | Improvement: -0.50 | Win Rate: 40.62% | Job Loss: 0.6087 | AMR Loss: -0.0256 | Entropy: 1.2807 | Invalid S/B: 0.03/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 268.31 | Baseline: 265.09 | Improvement: -3.22 | Win Rate: 40.62% | Job Loss: 1.3072 | AMR Loss: -0.1574 | Entropy: 1.2752 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 266.06 | Baseline: 265.69 | Improvement: -0.38 | Win Rate: 50.00% | Job Loss: 0.1427 | AMR Loss: -0.0908 | Entropy: 1.2971 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 266.19 | Baseline: 266.81 | Improvement: 0.62 | Win Rate: 53.12% | Job Loss: 0.0691 | AMR Loss: -0.7267 | Entropy: 1.3689 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 263.88 | Baseline: 267.88 | Improvement: 4.00 | Win Rate: 62.50% | Job Loss: -0.7133 | AMR Loss: 0.0095 | Entropy: 1.3809 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 261.03 | Baseline: 266.22 | Improvement: 5.19 | Win Rate: 68.75% | Job Loss: -0.2655 | AMR Loss: 0.3480 | Entropy: 1.3595 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [32/500] | Sampled: 263.53 | Baseline: 265.00 | Improvement: 1.47 | Win Rate: 53.12% | Job Loss: 0.5494 | AMR Loss: -0.3987 | Entropy: 1.3906 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 264.56 | Baseline: 269.19 | Improvement: 4.62 | Win Rate: 59.38% | Job Loss: -1.3295 | AMR Loss: 0.0383 | Entropy: 1.4289 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 260.50 | Baseline: 262.88 | Improvement: 2.38 | Win Rate: 53.12% | Job Loss: 0.3341 | AMR Loss: -0.0261 | Entropy: 1.4232 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 260.91 | Baseline: 262.16 | Improvement: 1.25 | Win Rate: 62.50% | Job Loss: 0.1714 | AMR Loss: -0.3311 | Entropy: 1.4512 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 262.38 | Baseline: 267.88 | Improvement: 5.50 | Win Rate: 75.00% | Job Loss: -0.4419 | AMR Loss: -0.1613 | Entropy: 1.5064 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 262.72 | Baseline: 266.22 | Improvement: 3.50 | Win Rate: 68.75% | Job Loss: -0.5074 | AMR Loss: 0.0696 | Entropy: 1.5263 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 263.25 | Baseline: 268.00 | Improvement: 4.75 | Win Rate: 75.00% | Job Loss: -0.3261 | AMR Loss: 0.1319 | Entropy: 1.5544 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 263.09 | Baseline: 268.16 | Improvement: 5.06 | Win Rate: 62.50% | Job Loss: 0.3555 | AMR Loss: 0.1062 | Entropy: 1.6079 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 259.72 | Baseline: 266.16 | Improvement: 6.44 | Win Rate: 68.75% | Job Loss: -0.8757 | AMR Loss: -0.0853 | Entropy: 1.6530 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 261.91 | Baseline: 265.22 | Improvement: 3.31 | Win Rate: 62.50% | Job Loss: 0.5955 | AMR Loss: -0.6705 | Entropy: 1.6660 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [42/500] | Sampled: 261.62 | Baseline: 265.75 | Improvement: 4.12 | Win Rate: 62.50% | Job Loss: -1.9460 | AMR Loss: -0.3418 | Entropy: 1.6913 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 259.09 | Baseline: 266.81 | Improvement: 7.72 | Win Rate: 75.00% | Job Loss: -0.1590 | AMR Loss: -1.0127 | Entropy: 1.6838 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [44/500] | Sampled: 259.81 | Baseline: 265.03 | Improvement: 5.22 | Win Rate: 65.62% | Job Loss: 0.4234 | AMR Loss: -0.5000 | Entropy: 1.6867 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
