Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [22/500] | Sampled: 256.31 | Baseline: 249.28 | Improvement: -7.03 | Win Rate: 18.75% | Job Loss: -0.2581 | AMR Loss: -0.3730 | Entropy: 0.9870 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 253.06 | Baseline: 246.59 | Improvement: -6.47 | Win Rate: 21.88% | Job Loss: -1.5152 | AMR Loss: -0.4780 | Entropy: 1.0319 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [24/500] | Sampled: 255.16 | Baseline: 248.81 | Improvement: -6.34 | Win Rate: 21.88% | Job Loss: -0.3987 | AMR Loss: -0.3730 | Entropy: 0.9608 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 255.78 | Baseline: 247.34 | Improvement: -8.44 | Win Rate: 15.62% | Job Loss: -0.0131 | AMR Loss: 0.2837 | Entropy: 0.9505 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 256.31 | Baseline: 249.97 | Improvement: -6.34 | Win Rate: 31.25% | Job Loss: -0.5570 | AMR Loss: -0.6661 | Entropy: 0.9030 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 260.41 | Baseline: 253.97 | Improvement: -6.44 | Win Rate: 18.75% | Job Loss: -0.1405 | AMR Loss: -0.4747 | Entropy: 0.8887 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 257.31 | Baseline: 249.94 | Improvement: -7.38 | Win Rate: 18.75% | Job Loss: -0.7143 | AMR Loss: -0.9129 | Entropy: 0.8966 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 260.62 | Baseline: 252.41 | Improvement: -8.22 | Win Rate: 21.88% | Job Loss: -0.4773 | AMR Loss: 0.4010 | Entropy: 0.8670 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 257.94 | Baseline: 251.12 | Improvement: -6.81 | Win Rate: 25.00% | Job Loss: -1.6711 | AMR Loss: 0.7525 | Entropy: 0.8310 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 253.84 | Baseline: 247.75 | Improvement: -6.09 | Win Rate: 31.25% | Job Loss: 0.0034 | AMR Loss: 0.5247 | Entropy: 0.8121 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
