Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_latest.pth (optimizers: optimizer)
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [24/500] | Sampled: 249.66 | Baseline: 248.81 | Improvement: -0.84 | Win Rate: 53.12% | Actor Loss: 0.1981 | Entropy: 0.2523 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [25/500] | Sampled: 249.25 | Baseline: 247.34 | Improvement: -1.91 | Win Rate: 25.00% | Actor Loss: -0.1905 | Entropy: 0.2267 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [26/500] | Sampled: 252.38 | Baseline: 249.97 | Improvement: -2.41 | Win Rate: 40.62% | Actor Loss: 0.3465 | Entropy: 0.2518 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 253.75 | Baseline: 253.97 | Improvement: 0.22 | Win Rate: 53.12% | Actor Loss: 0.5634 | Entropy: 0.2227 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 253.53 | Baseline: 249.94 | Improvement: -3.59 | Win Rate: 40.62% | Actor Loss: 0.1046 | Entropy: 0.2431 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 253.91 | Baseline: 252.41 | Improvement: -1.50 | Win Rate: 43.75% | Actor Loss: 0.1173 | Entropy: 0.2556 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [30/500] | Sampled: 250.88 | Baseline: 251.12 | Improvement: 0.25 | Win Rate: 40.62% | Actor Loss: -0.2513 | Entropy: 0.2578 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [31/500] | Sampled: 250.22 | Baseline: 247.75 | Improvement: -2.47 | Win Rate: 50.00% | Actor Loss: -0.6186 | Entropy: 0.2329 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [32/500] | Sampled: 249.19 | Baseline: 246.53 | Improvement: -2.66 | Win Rate: 37.50% | Actor Loss: 0.0178 | Entropy: 0.2381 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 255.09 | Baseline: 251.66 | Improvement: -3.44 | Win Rate: 40.62% | Actor Loss: 0.3293 | Entropy: 0.2804 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 247.16 | Baseline: 245.44 | Improvement: -1.72 | Win Rate: 50.00% | Actor Loss: -0.4345 | Entropy: 0.2551 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [35/500] | Sampled: 250.81 | Baseline: 248.47 | Improvement: -2.34 | Win Rate: 37.50% | Actor Loss: -0.6344 | Entropy: 0.2514 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 251.66 | Baseline: 249.22 | Improvement: -2.44 | Win Rate: 34.38% | Actor Loss: -0.5317 | Entropy: 0.2695 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [37/500] | Sampled: 252.38 | Baseline: 251.25 | Improvement: -1.12 | Win Rate: 34.38% | Actor Loss: 0.9567 | Entropy: 0.2954 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 254.12 | Baseline: 249.94 | Improvement: -4.19 | Win Rate: 37.50% | Actor Loss: -0.2289 | Entropy: 0.2933 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [39/500] | Sampled: 252.41 | Baseline: 251.81 | Improvement: -0.59 | Win Rate: 53.12% | Actor Loss: 0.1096 | Entropy: 0.3052 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 250.03 | Baseline: 247.06 | Improvement: -2.97 | Win Rate: 43.75% | Actor Loss: -0.4147 | Entropy: 0.3157 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [41/500] | Sampled: 251.44 | Baseline: 247.62 | Improvement: -3.81 | Win Rate: 28.12% | Actor Loss: -0.3459 | Entropy: 0.3004 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [42/500] | Sampled: 251.88 | Baseline: 251.16 | Improvement: -0.72 | Win Rate: 46.88% | Actor Loss: -0.1750 | Entropy: 0.3123 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 253.12 | Baseline: 249.69 | Improvement: -3.44 | Win Rate: 28.12% | Actor Loss: 0.0108 | Entropy: 0.3463 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [44/500] | Sampled: 251.09 | Baseline: 249.16 | Improvement: -1.94 | Win Rate: 31.25% | Actor Loss: 0.0845 | Entropy: 0.3377 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [45/500] | Sampled: 250.25 | Baseline: 249.00 | Improvement: -1.25 | Win Rate: 40.62% | Actor Loss: -0.2911 | Entropy: 0.3148 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [46/500] | Sampled: 250.44 | Baseline: 248.56 | Improvement: -1.88 | Win Rate: 31.25% | Actor Loss: -1.2890 | Entropy: 0.3079 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 253.88 | Baseline: 252.56 | Improvement: -1.31 | Win Rate: 43.75% | Actor Loss: 0.7304 | Entropy: 0.3182 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [48/500] | Sampled: 252.59 | Baseline: 248.75 | Improvement: -3.84 | Win Rate: 34.38% | Actor Loss: 0.7305 | Entropy: 0.3492 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 253.38 | Baseline: 249.12 | Improvement: -4.25 | Win Rate: 28.12% | Actor Loss: -0.6275 | Entropy: 0.3409 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [50/500] | Sampled: 252.50 | Baseline: 247.03 | Improvement: -5.47 | Win Rate: 31.25% | Actor Loss: -0.1402 | Entropy: 0.3369 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
   -> Validation | Samples: 50 | Makespan: 251.90 | Invalid Jobs: 0.00
Epoch [51/500] | Sampled: 249.12 | Baseline: 248.66 | Improvement: -0.47 | Win Rate: 40.62% | Actor Loss: -0.2225 | Entropy: 0.3258 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [52/500] | Sampled: 251.84 | Baseline: 250.69 | Improvement: -1.16 | Win Rate: 46.88% | Actor Loss: -0.5922 | Entropy: 0.3660 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [53/500] | Sampled: 251.69 | Baseline: 251.25 | Improvement: -0.44 | Win Rate: 50.00% | Actor Loss: -0.1512 | Entropy: 0.3447 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [54/500] | Sampled: 250.94 | Baseline: 247.03 | Improvement: -3.91 | Win Rate: 34.38% | Actor Loss: -0.2161 | Entropy: 0.3370 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 252.44 | Baseline: 250.75 | Improvement: -1.69 | Win Rate: 46.88% | Actor Loss: 0.1354 | Entropy: 0.3583 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [56/500] | Sampled: 251.44 | Baseline: 251.44 | Improvement: 0.00 | Win Rate: 53.12% | Actor Loss: -0.8602 | Entropy: 0.3688 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [57/500] | Sampled: 248.62 | Baseline: 247.38 | Improvement: -1.25 | Win Rate: 40.62% | Actor Loss: -0.7643 | Entropy: 0.3884 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [58/500] | Sampled: 254.69 | Baseline: 252.78 | Improvement: -1.91 | Win Rate: 37.50% | Actor Loss: -0.1728 | Entropy: 0.3745 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
