Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [24/500] | Sampled: 246.56 | Baseline: 248.81 | Improvement: 2.25 | Win Rate: 56.25% | Actor Loss: -0.7369 | Entropy: 0.4239 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [25/500] | Sampled: 246.94 | Baseline: 247.34 | Improvement: 0.41 | Win Rate: 53.12% | Actor Loss: -1.0048 | Entropy: 0.4559 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [26/500] | Sampled: 246.19 | Baseline: 249.97 | Improvement: 3.78 | Win Rate: 71.88% | Actor Loss: -1.1571 | Entropy: 0.4740 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [27/500] | Sampled: 250.88 | Baseline: 253.97 | Improvement: 3.09 | Win Rate: 62.50% | Actor Loss: -1.0184 | Entropy: 0.4483 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 251.16 | Baseline: 249.94 | Improvement: -1.22 | Win Rate: 34.38% | Actor Loss: -0.8359 | Entropy: 0.4567 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [29/500] | Sampled: 251.97 | Baseline: 252.41 | Improvement: 0.44 | Win Rate: 50.00% | Actor Loss: -1.1704 | Entropy: 0.4507 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [30/500] | Sampled: 249.91 | Baseline: 251.12 | Improvement: 1.22 | Win Rate: 62.50% | Actor Loss: -1.0215 | Entropy: 0.3978 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 248.12 | Baseline: 247.75 | Improvement: -0.38 | Win Rate: 34.38% | Actor Loss: -0.4383 | Entropy: 0.3749 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [32/500] | Sampled: 247.56 | Baseline: 246.53 | Improvement: -1.03 | Win Rate: 40.62% | Actor Loss: -1.8476 | Entropy: 0.3816 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 252.19 | Baseline: 251.66 | Improvement: -0.53 | Win Rate: 46.88% | Actor Loss: 0.3257 | Entropy: 0.4027 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 246.88 | Baseline: 245.44 | Improvement: -1.44 | Win Rate: 37.50% | Actor Loss: -0.5850 | Entropy: 0.3609 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [35/500] | Sampled: 248.28 | Baseline: 248.47 | Improvement: 0.19 | Win Rate: 50.00% | Actor Loss: -0.2211 | Entropy: 0.3827 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 249.84 | Baseline: 249.22 | Improvement: -0.62 | Win Rate: 43.75% | Actor Loss: 0.6138 | Entropy: 0.3997 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 251.66 | Baseline: 251.25 | Improvement: -0.41 | Win Rate: 50.00% | Actor Loss: -0.5887 | Entropy: 0.4109 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 249.53 | Baseline: 249.94 | Improvement: 0.41 | Win Rate: 50.00% | Actor Loss: -0.4708 | Entropy: 0.3797 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 251.78 | Baseline: 251.81 | Improvement: 0.03 | Win Rate: 43.75% | Actor Loss: -1.4402 | Entropy: 0.3725 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 247.19 | Baseline: 247.06 | Improvement: -0.12 | Win Rate: 53.12% | Actor Loss: -1.3776 | Entropy: 0.4077 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [41/500] | Sampled: 247.59 | Baseline: 247.62 | Improvement: 0.03 | Win Rate: 53.12% | Actor Loss: -1.6878 | Entropy: 0.3823 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.3
Epoch [42/500] | Sampled: 248.28 | Baseline: 251.16 | Improvement: 2.88 | Win Rate: 65.62% | Actor Loss: -0.1642 | Entropy: 0.3854 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 247.03 | Baseline: 249.69 | Improvement: 2.66 | Win Rate: 62.50% | Actor Loss: 0.6005 | Entropy: 0.3777 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [44/500] | Sampled: 246.72 | Baseline: 249.16 | Improvement: 2.44 | Win Rate: 59.38% | Actor Loss: -0.0764 | Entropy: 0.3692 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
