scenario,jobs,makespan,finish_sum,objective,eval_seconds,buffer_overrides
test_dataset_000,25,5661.0,27897.0,5688.897,0.62,18
test_dataset_001,10,1019.0,4723.0,1023.723,0.17,0
test_dataset_002,15,2692.0,12945.0,2704.945,0.31,9
test_dataset_003,20,4976.0,24379.0,5000.379,0.68,20
test_dataset_004,10,1461.0,6797.0,1467.797,0.13,2
