Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [22/500] | Sampled: 271.44 | Baseline: 264.06 | Improvement: -7.38 | Win Rate: 31.25% | Job Loss: -0.2397 | AMR Loss: -1.3937 | Entropy: 2.2516 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [23/500] | Sampled: 272.06 | Baseline: 264.00 | Improvement: -8.06 | Win Rate: 21.88% | Job Loss: 0.1420 | AMR Loss: -1.9695 | Entropy: 2.2352 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [24/500] | Sampled: 272.88 | Baseline: 266.44 | Improvement: -6.44 | Win Rate: 43.75% | Job Loss: 1.6196 | AMR Loss: -2.4841 | Entropy: 2.2037 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [25/500] | Sampled: 271.03 | Baseline: 266.06 | Improvement: -4.97 | Win Rate: 40.62% | Job Loss: -0.3216 | AMR Loss: -1.6231 | Entropy: 2.2076 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [26/500] | Sampled: 272.12 | Baseline: 265.91 | Improvement: -6.22 | Win Rate: 37.50% | Job Loss: -0.2162 | AMR Loss: -2.1869 | Entropy: 2.2568 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [27/500] | Sampled: 275.94 | Baseline: 264.72 | Improvement: -11.22 | Win Rate: 15.62% | Job Loss: -0.2695 | AMR Loss: -1.7182 | Entropy: 2.2912 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [28/500] | Sampled: 268.06 | Baseline: 265.47 | Improvement: -2.59 | Win Rate: 40.62% | Job Loss: -1.1676 | AMR Loss: -2.4993 | Entropy: 2.3124 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 273.56 | Baseline: 266.53 | Improvement: -7.03 | Win Rate: 28.12% | Job Loss: -0.3590 | AMR Loss: -1.9049 | Entropy: 2.2640 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [30/500] | Sampled: 273.31 | Baseline: 266.56 | Improvement: -6.75 | Win Rate: 34.38% | Job Loss: -0.5072 | AMR Loss: -3.0801 | Entropy: 2.1471 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [31/500] | Sampled: 268.69 | Baseline: 265.22 | Improvement: -3.47 | Win Rate: 46.88% | Job Loss: -0.4822 | AMR Loss: -1.4028 | Entropy: 2.0239 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
