Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [25/500] | Sampled: 268.47 | Baseline: 266.06 | Improvement: -2.41 | Win Rate: 40.62% | Actor Loss: 0.1157 | Entropy: 2.1453 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [26/500] | Sampled: 270.12 | Baseline: 265.91 | Improvement: -4.22 | Win Rate: 37.50% | Actor Loss: 0.0620 | Entropy: 2.1763 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [27/500] | Sampled: 268.97 | Baseline: 264.72 | Improvement: -4.25 | Win Rate: 25.00% | Actor Loss: -0.7854 | Entropy: 2.2066 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 269.12 | Baseline: 265.47 | Improvement: -3.66 | Win Rate: 31.25% | Actor Loss: -0.8630 | Entropy: 2.2127 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 267.41 | Baseline: 266.53 | Improvement: -0.88 | Win Rate: 53.12% | Actor Loss: -0.4792 | Entropy: 2.2171 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 265.31 | Baseline: 266.56 | Improvement: 1.25 | Win Rate: 53.12% | Actor Loss: -0.1685 | Entropy: 2.2145 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [31/500] | Sampled: 269.12 | Baseline: 265.22 | Improvement: -3.91 | Win Rate: 40.62% | Actor Loss: -0.4613 | Entropy: 2.2161 | Invalid S/B: 0.03/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [32/500] | Sampled: 264.22 | Baseline: 264.91 | Improvement: 0.69 | Win Rate: 62.50% | Actor Loss: 0.2002 | Entropy: 2.2095 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 268.62 | Baseline: 268.06 | Improvement: -0.56 | Win Rate: 40.62% | Actor Loss: -0.4791 | Entropy: 2.2101 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 264.41 | Baseline: 261.53 | Improvement: -2.88 | Win Rate: 37.50% | Actor Loss: -0.6121 | Entropy: 2.2112 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 264.41 | Baseline: 261.84 | Improvement: -2.56 | Win Rate: 37.50% | Actor Loss: -0.9669 | Entropy: 2.2035 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 266.91 | Baseline: 267.47 | Improvement: 0.56 | Win Rate: 56.25% | Actor Loss: 0.0354 | Entropy: 2.2025 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 268.31 | Baseline: 265.69 | Improvement: -2.62 | Win Rate: 34.38% | Actor Loss: -0.6440 | Entropy: 2.1957 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 269.56 | Baseline: 266.78 | Improvement: -2.78 | Win Rate: 31.25% | Actor Loss: -0.7647 | Entropy: 2.1945 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 266.38 | Baseline: 266.25 | Improvement: -0.12 | Win Rate: 40.62% | Actor Loss: -0.9464 | Entropy: 2.1874 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [40/500] | Sampled: 264.31 | Baseline: 266.22 | Improvement: 1.91 | Win Rate: 59.38% | Actor Loss: 0.1781 | Entropy: 2.1826 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [41/500] | Sampled: 264.78 | Baseline: 264.59 | Improvement: -0.19 | Win Rate: 53.12% | Actor Loss: -0.5890 | Entropy: 2.1650 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [42/500] | Sampled: 265.84 | Baseline: 265.97 | Improvement: 0.12 | Win Rate: 43.75% | Actor Loss: -0.0978 | Entropy: 2.1637 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
