Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260818_204334_only60_s42
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 665.50 | Actor Loss: -0.0046 | Critic Loss: 0.9134 | Grad Norm: 1.7212 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 586.27 | Invalid Jobs: 0.00 | Score: 586.27
   -> Val Score 586.27 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260818_204334_only60_s42/chart.png
Epoch [2/4000] | Avg Makespan: 635.12 | Actor Loss: -0.0037 | Critic Loss: 0.6089 | Grad Norm: 1.3945 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 633.75 | Actor Loss: -0.0027 | Critic Loss: 0.2866 | Grad Norm: 0.9351 | Clipped: 2/4
Epoch [4/4000] | Avg Makespan: 635.50 | Actor Loss: -0.0006 | Critic Loss: 0.4171 | Grad Norm: 0.4479 | Clipped: 0/4
Epoch [5/4000] | Avg Makespan: 655.88 | Actor Loss: -0.0025 | Critic Loss: 0.9283 | Grad Norm: 1.1074 | Clipped: 2/4
Epoch [6/4000] | Avg Makespan: 658.88 | Actor Loss: -0.0021 | Critic Loss: 0.7271 | Grad Norm: 0.7467 | Clipped: 0/4
Epoch [7/4000] | Avg Makespan: 622.00 | Actor Loss: -0.0002 | Critic Loss: 0.2907 | Grad Norm: 1.3423 | Clipped: 2/4
Epoch [8/4000] | Avg Makespan: 628.88 | Actor Loss: -0.0031 | Critic Loss: 0.9117 | Grad Norm: 1.6542 | Clipped: 3/4
Epoch [9/4000] | Avg Makespan: 641.25 | Actor Loss: -0.0005 | Critic Loss: 0.5897 | Grad Norm: 1.0780 | Clipped: 3/4
Epoch [10/4000] | Avg Makespan: 637.00 | Actor Loss: -0.0023 | Critic Loss: 1.2754 | Grad Norm: 0.8545 | Clipped: 1/4
Epoch [11/4000] | Avg Makespan: 606.88 | Actor Loss: -0.0015 | Critic Loss: 0.3292 | Grad Norm: 0.8462 | Clipped: 2/4
Epoch [12/4000] | Avg Makespan: 621.88 | Actor Loss: 0.0002 | Critic Loss: 0.5053 | Grad Norm: 1.8622 | Clipped: 4/4
Epoch [13/4000] | Avg Makespan: 643.25 | Actor Loss: -0.0022 | Critic Loss: 0.6756 | Grad Norm: 0.7557 | Clipped: 1/4
Epoch [14/4000] | Avg Makespan: 656.25 | Actor Loss: -0.0008 | Critic Loss: 0.6876 | Grad Norm: 0.6448 | Clipped: 0/4
Epoch [15/4000] | Avg Makespan: 617.38 | Actor Loss: -0.0023 | Critic Loss: 1.4939 | Grad Norm: 2.6734 | Clipped: 4/4
Epoch [16/4000] | Avg Makespan: 612.62 | Actor Loss: -0.0028 | Critic Loss: 0.4969 | Grad Norm: 1.1339 | Clipped: 2/4
