Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260818_204332_mix_s43
Loaded 715 dispatch events from test_case/v3/mix/train_mix_20.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_40.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_60.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_80.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_100.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_120.jsonl
Loaded 715 dispatch events from test_case/v3/mix/train_mix_140.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 923.75 | Actor Loss: -0.6478 | Critic Loss: 0.5846 | Grad Norm: 1.5344 | Clipped: 2/4
   -> Validation | Samples: 280 | Makespan: 2467.93 | Invalid Jobs: 0.00 | Score: 2467.93
   -> Val Score 2467.93 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260818_204332_mix_s43/chart.png
Epoch [2/4000] | Avg Makespan: 1331.25 | Actor Loss: -0.1726 | Critic Loss: 0.4342 | Grad Norm: 1.2451 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 767.75 | Actor Loss: -0.3834 | Critic Loss: 0.2632 | Grad Norm: 4.0504 | Clipped: 4/4
Epoch [4/4000] | Avg Makespan: 1095.00 | Actor Loss: -0.3580 | Critic Loss: 0.3498 | Grad Norm: 4.3767 | Clipped: 4/4
Epoch [5/4000] | Avg Makespan: 851.12 | Actor Loss: -0.2479 | Critic Loss: 0.3339 | Grad Norm: 3.5247 | Clipped: 4/4
Epoch [6/4000] | Avg Makespan: 653.38 | Actor Loss: -0.0515 | Critic Loss: 0.1365 | Grad Norm: 1.8137 | Clipped: 3/4
Epoch [7/4000] | Avg Makespan: 1106.38 | Actor Loss: -0.3543 | Critic Loss: 0.1941 | Grad Norm: 1.2409 | Clipped: 3/4
Epoch [8/4000] | Avg Makespan: 738.12 | Actor Loss: -0.3845 | Critic Loss: 0.1433 | Grad Norm: 2.2085 | Clipped: 3/4
Epoch [9/4000] | Avg Makespan: 980.12 | Actor Loss: -0.0930 | Critic Loss: 0.1844 | Grad Norm: 2.3054 | Clipped: 4/4
Epoch [10/4000] | Avg Makespan: 938.62 | Actor Loss: -0.1688 | Critic Loss: 0.2064 | Grad Norm: 1.5747 | Clipped: 3/4
Epoch [11/4000] | Avg Makespan: 1008.88 | Actor Loss: -0.3487 | Critic Loss: 0.1879 | Grad Norm: 1.8288 | Clipped: 3/4
Epoch [12/4000] | Avg Makespan: 520.25 | Actor Loss: -0.1916 | Critic Loss: 0.0900 | Grad Norm: 1.3179 | Clipped: 3/4
Epoch [13/4000] | Avg Makespan: 1006.00 | Actor Loss: 0.0150 | Critic Loss: 0.1569 | Grad Norm: 1.0820 | Clipped: 2/4
