Event_Index,Makespan,Computation_Time
0,562.00,0.3421
1,600.00,0.2816
2,553.00,0.2954
3,648.00,0.4244
4,610.00,0.2404
5,561.00,0.2878
6,544.00,0.3180
7,534.00,0.3390
8,575.00,0.2746
9,523.00,0.2609
