job_rule,from_m,to_m,n_paired,ideal_change_pct,ideal_ci95,executed_change_pct,executed_ci95
lpt,8,12,100,-29.96,0.74,-26.02,0.39
lpt,12,16,100,-20.31,1.09,-14.15,0.71
lpt,16,20,100,-6.21,1.03,-6.39,0.5
lpt,20,24,100,-3.93,1.18,-1.46,0.5
milk_run,8,12,100,-23.49,1.18,-17.5,1.23
milk_run,12,16,100,-5.53,1.37,-3.22,1.12
milk_run,16,20,100,-2.15,1.49,-0.01,0.92
milk_run,20,24,100,-0.79,0.95,-0.1,0.24
