job_rule,parcels,parcels_per_robot,instances,clean,nu_per_episode,ideal,executed,penalty_pct,penalty_ci95,omega_q_pct,omega_r_pct,queue_share_pct
milk_run,60,3.75,100,100,0.0,290.4,350.6,20.93,1.9,39.23,5.39,87.9
milk_run,120,7.5,100,100,0.0,472.0,574.5,21.96,1.44,29.84,5.43,84.6
milk_run,240,15.0,100,100,0.0,859.0,1015.8,18.32,0.86,21.13,5.17,80.3
lpt,60,3.75,100,100,0.0,316.5,381.2,20.64,1.18,26.73,5.54,82.8
lpt,120,7.5,100,100,0.0,587.8,701.1,19.35,0.82,23.94,5.45,81.5
lpt,240,15.0,100,100,0.0,1134.2,1353.2,19.32,0.56,22.95,5.4,81.0
