   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260827_083925_v10_A_s42
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val C~ selects checkpoints_v10/v10_A_s42_bestideal.pth
Epoch [1/4000] | Avg Makespan: 359.50 | Actor Loss: -0.0037 | Critic Loss: 0.9493 | Grad Norm: 1.7963 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 643.67 | Invalid Jobs: 0.04 | Score: 679.38
   -> Val Score 679.38 (warming up 1/5, no selection yet)
   -> Val C~ 425.71 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260827_083925_v10_A_s42/chart.png
Epoch [2/4000] | Avg Makespan: 334.00 | Actor Loss: -0.0016 | Critic Loss: 1.0052 | Grad Norm: 1.6623 | Clipped: 3/4
Epoch [3/4000] | Avg Makespan: 353.75 | Actor Loss: 0.0000 | Critic Loss: 1.3135 | Grad Norm: 1.9823 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 358.00 | Actor Loss: -0.0012 | Critic Loss: 0.9836 | Grad Norm: 0.7708 | Clipped: 1/4
Epoch [5/4000] | Avg Makespan: 344.00 | Actor Loss: -0.0008 | Critic Loss: 0.5154 | Grad Norm: 0.8710 | Clipped: 2/4
Epoch [6/4000] | Avg Makespan: 348.50 | Actor Loss: -0.0002 | Critic Loss: 0.4029 | Grad Norm: 0.7576 | Clipped: 0/4
Epoch [7/4000] | Avg Makespan: 330.25 | Actor Loss: -0.0012 | Critic Loss: 0.7231 | Grad Norm: 0.7332 | Clipped: 0/4
Epoch [8/4000] | Avg Makespan: 360.50 | Actor Loss: -0.0017 | Critic Loss: 1.9989 | Grad Norm: 1.0863 | Clipped: 3/4
Epoch [9/4000] | Avg Makespan: 318.50 | Actor Loss: -0.0002 | Critic Loss: 1.0073 | Grad Norm: 1.3758 | Clipped: 4/4
Epoch [10/4000] | Avg Makespan: 338.25 | Actor Loss: -0.0004 | Critic Loss: 0.3350 | Grad Norm: 0.2517 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 360.75 | Actor Loss: -0.0005 | Critic Loss: 0.9379 | Grad Norm: 1.1377 | Clipped: 3/4
Epoch [12/4000] | Avg Makespan: 348.50 | Actor Loss: -0.0011 | Critic Loss: 0.5239 | Grad Norm: 0.4056 | Clipped: 0/4
Epoch [13/4000] | Avg Makespan: 352.25 | Actor Loss: -0.0013 | Critic Loss: 0.7414 | Grad Norm: 0.3118 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 335.00 | Actor Loss: -0.0010 | Critic Loss: 0.4150 | Grad Norm: 0.4889 | Clipped: 0/4
Epoch [15/4000] | Avg Makespan: 355.25 | Actor Loss: -0.0040 | Critic Loss: 1.4511 | Grad Norm: 0.8664 | Clipped: 0/4
Epoch [16/4000] | Avg Makespan: 335.75 | Actor Loss: -0.0012 | Critic Loss: 0.6227 | Grad Norm: 0.1893 | Clipped: 0/4
Epoch [17/4000] | Avg Makespan: 346.50 | Actor Loss: -0.0041 | Critic Loss: 1.2996 | Grad Norm: 0.3578 | Clipped: 0/4
Epoch [18/4000] | Avg Makespan: 342.50 | Actor Loss: -0.0010 | Critic Loss: 0.3865 | Grad Norm: 0.2366 | Clipped: 0/4
Epoch [19/4000] | Avg Makespan: 342.75 | Actor Loss: -0.0019 | Critic Loss: 0.9501 | Grad Norm: 0.1926 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 328.50 | Actor Loss: -0.0018 | Critic Loss: 0.3685 | Grad Norm: 0.4288 | Clipped: 0/4
Epoch [21/4000] | Avg Makespan: 324.25 | Actor Loss: -0.0013 | Critic Loss: 0.4723 | Grad Norm: 0.2138 | Clipped: 0/4
Epoch [22/4000] | Avg Makespan: 364.75 | Actor Loss: -0.0023 | Critic Loss: 2.1846 | Grad Norm: 1.6844 | Clipped: 4/4
