Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260827_083140_v10_B_s43
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Second checkpoint protocol: Val C~ selects checkpoints_v10/v10_B_s43_bestideal.pth
Epoch [1/4000] | Avg Makespan: 343.25 | Actor Loss: -0.0073 | Critic Loss: 0.8815 | Grad Norm: 1.6222 | Clipped: 3/4
   -> Validation | Samples: 280 | Makespan: 2658.40 | Invalid Jobs: 0.00 | Score: 2658.40
   -> Val Score 2658.40 (warming up 1/5, no selection yet)
   -> Val C~ 2251.24 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260827_083140_v10_B_s43/chart.png
Epoch [2/4000] | Avg Makespan: 328.50 | Actor Loss: -0.0020 | Critic Loss: 0.4089 | Grad Norm: 1.1595 | Clipped: 2/4
Epoch [3/4000] | Avg Makespan: 361.25 | Actor Loss: -0.0004 | Critic Loss: 0.6924 | Grad Norm: 1.8812 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 370.00 | Actor Loss: -0.0029 | Critic Loss: 1.2363 | Grad Norm: 1.1090 | Clipped: 2/4
Epoch [5/4000] | Avg Makespan: 322.75 | Actor Loss: 0.0011 | Critic Loss: 0.4893 | Grad Norm: 3.0887 | Clipped: 4/4
Epoch [6/4000] | Avg Makespan: 342.00 | Actor Loss: -0.0009 | Critic Loss: 0.6802 | Grad Norm: 1.8552 | Clipped: 4/4
Epoch [7/4000] | Avg Makespan: 355.50 | Actor Loss: -0.0029 | Critic Loss: 1.2526 | Grad Norm: 1.1094 | Clipped: 2/4
Epoch [8/4000] | Avg Makespan: 333.50 | Actor Loss: -0.0012 | Critic Loss: 0.5887 | Grad Norm: 2.4430 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 354.00 | Actor Loss: -0.0018 | Critic Loss: 0.4516 | Grad Norm: 0.3423 | Clipped: 0/4
Epoch [10/4000] | Avg Makespan: 355.25 | Actor Loss: -0.0010 | Critic Loss: 0.9984 | Grad Norm: 0.3155 | Clipped: 0/4
Epoch [11/4000] | Avg Makespan: 348.00 | Actor Loss: -0.0039 | Critic Loss: 0.6756 | Grad Norm: 0.5514 | Clipped: 0/4
Epoch [12/4000] | Avg Makespan: 321.75 | Actor Loss: -0.0003 | Critic Loss: 0.5740 | Grad Norm: 0.8861 | Clipped: 2/4
Epoch [13/4000] | Avg Makespan: 322.00 | Actor Loss: -0.0016 | Critic Loss: 0.3729 | Grad Norm: 0.4704 | Clipped: 0/4
Epoch [14/4000] | Avg Makespan: 345.75 | Actor Loss: -0.0004 | Critic Loss: 0.5988 | Grad Norm: 1.2563 | Clipped: 3/4
Epoch [15/4000] | Avg Makespan: 349.00 | Actor Loss: -0.0005 | Critic Loss: 1.1339 | Grad Norm: 0.7550 | Clipped: 1/4
Epoch [16/4000] | Avg Makespan: 329.00 | Actor Loss: -0.0009 | Critic Loss: 0.8029 | Grad Norm: 1.1637 | Clipped: 2/4
Epoch [17/4000] | Avg Makespan: 350.00 | Actor Loss: -0.0007 | Critic Loss: 0.6949 | Grad Norm: 0.9817 | Clipped: 2/4
Epoch [18/4000] | Avg Makespan: 303.75 | Actor Loss: -0.0014 | Critic Loss: 0.4483 | Grad Norm: 1.2770 | Clipped: 4/4
Epoch [19/4000] | Avg Makespan: 312.25 | Actor Loss: -0.0012 | Critic Loss: 0.2542 | Grad Norm: 0.2884 | Clipped: 0/4
Epoch [20/4000] | Avg Makespan: 329.75 | Actor Loss: -0.0014 | Critic Loss: 0.5933 | Grad Norm: 1.0152 | Clipped: 3/4
Epoch [21/4000] | Avg Makespan: 338.00 | Actor Loss: 0.0000 | Critic Loss: 1.2963 | Grad Norm: 0.7815 | Clipped: 1/4
Epoch [22/4000] | Avg Makespan: 350.25 | Actor Loss: -0.0010 | Critic Loss: 1.6264 | Grad Norm: 0.4183 | Clipped: 0/4
Epoch [23/4000] | Avg Makespan: 352.75 | Actor Loss: -0.0023 | Critic Loss: 2.1729 | Grad Norm: 0.5396 | Clipped: 0/4
Epoch [24/4000] | Avg Makespan: 334.00 | Actor Loss: -0.0014 | Critic Loss: 0.7748 | Grad Norm: 0.8082 | Clipped: 1/4
Epoch [25/4000] | Avg Makespan: 332.75 | Actor Loss: -0.0025 | Critic Loss: 0.6660 | Grad Norm: 0.4065 | Clipped: 0/4
Epoch [26/4000] | Avg Makespan: 340.75 | Actor Loss: -0.0019 | Critic Loss: 1.1631 | Grad Norm: 0.6165 | Clipped: 0/4
Epoch [27/4000] | Avg Makespan: 327.50 | Actor Loss: -0.0007 | Critic Loss: 0.6674 | Grad Norm: 0.3512 | Clipped: 0/4
Epoch [28/4000] | Avg Makespan: 328.75 | Actor Loss: -0.0014 | Critic Loss: 0.8452 | Grad Norm: 0.2052 | Clipped: 0/4
Epoch [29/4000] | Avg Makespan: 316.25 | Actor Loss: -0.0013 | Critic Loss: 0.5458 | Grad Norm: 0.3016 | Clipped: 0/4
Epoch [30/4000] | Avg Makespan: 341.50 | Actor Loss: 0.0000 | Critic Loss: 1.1779 | Grad Norm: 0.9857 | Clipped: 2/4
Epoch [31/4000] | Avg Makespan: 328.75 | Actor Loss: -0.0009 | Critic Loss: 0.6910 | Grad Norm: 0.2174 | Clipped: 0/4
Epoch [32/4000] | Avg Makespan: 350.00 | Actor Loss: -0.0009 | Critic Loss: 1.6395 | Grad Norm: 0.3689 | Clipped: 0/4
