   -> training feature mask L3 installed: {'amr': (9,), 'dock': (2, 3, 4, 5, 6), 'action': (2,)}
Training on: cuda
Run directory: /home/wei/Desktop/AMR-DFJSP/runs/20260828_041938_v10_C_s43
Loaded 5000 dispatch events from test_case/v3/train_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_20.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_40.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_60.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_80.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_100.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_120.jsonl
Loaded 40 dispatch events from test_case/v3/mix/val_mix_140.jsonl
Loaded 280 validation event(s).
Starting hybrid dock-aware extend_GNN PPO training with critic-based advantage.
Epoch [1/4000] | Avg Makespan: 650.25 | Actor Loss: -0.0036 | Critic Loss: 0.8330 | Grad Norm: 1.0439 | Clipped: 1/4
   -> Validation | Samples: 280 | Makespan: 2839.93 | Invalid Jobs: 0.01 | Score: 2847.08
   -> Val Score 2847.08 (warming up 1/5, no selection yet)
   -> Saved updated training chart to /home/wei/Desktop/AMR-DFJSP/runs/20260828_041938_v10_C_s43/chart.png
Epoch [2/4000] | Avg Makespan: 637.62 | Actor Loss: -0.0047 | Critic Loss: 0.9378 | Grad Norm: 0.8007 | Clipped: 0/4
Epoch [3/4000] | Avg Makespan: 658.38 | Actor Loss: -0.0026 | Critic Loss: 0.5220 | Grad Norm: 2.8440 | Clipped: 3/4
Epoch [4/4000] | Avg Makespan: 630.50 | Actor Loss: -0.0001 | Critic Loss: 0.7356 | Grad Norm: 3.3776 | Clipped: 4/4
Epoch [5/4000] | Avg Makespan: 667.00 | Actor Loss: 0.0001 | Critic Loss: 0.5256 | Grad Norm: 4.5059 | Clipped: 4/4
Epoch [6/4000] | Avg Makespan: 635.88 | Actor Loss: -0.0006 | Critic Loss: 0.5349 | Grad Norm: 3.5884 | Clipped: 4/4
Epoch [7/4000] | Avg Makespan: 655.00 | Actor Loss: -0.0007 | Critic Loss: 0.5760 | Grad Norm: 2.8474 | Clipped: 4/4
Epoch [8/4000] | Avg Makespan: 629.62 | Actor Loss: 0.0005 | Critic Loss: 1.2421 | Grad Norm: 5.3809 | Clipped: 4/4
Epoch [9/4000] | Avg Makespan: 628.12 | Actor Loss: -0.0040 | Critic Loss: 1.2758 | Grad Norm: 2.6234 | Clipped: 4/4
Epoch [10/4000] | Avg Makespan: 607.00 | Actor Loss: -0.0011 | Critic Loss: 0.8778 | Grad Norm: 0.8555 | Clipped: 2/4
Epoch [11/4000] | Avg Makespan: 610.38 | Actor Loss: -0.0035 | Critic Loss: 0.4467 | Grad Norm: 1.2682 | Clipped: 3/4
Epoch [12/4000] | Avg Makespan: 612.50 | Actor Loss: -0.0008 | Critic Loss: 0.6793 | Grad Norm: 1.9592 | Clipped: 3/4
Epoch [13/4000] | Avg Makespan: 642.12 | Actor Loss: -0.0027 | Critic Loss: 0.4929 | Grad Norm: 1.3644 | Clipped: 3/4
Epoch [14/4000] | Avg Makespan: 609.12 | Actor Loss: -0.0034 | Critic Loss: 0.7676 | Grad Norm: 4.9818 | Clipped: 4/4
Epoch [15/4000] | Avg Makespan: 637.12 | Actor Loss: -0.0003 | Critic Loss: 0.6491 | Grad Norm: 4.4639 | Clipped: 4/4
Epoch [16/4000] | Avg Makespan: 644.50 | Actor Loss: -0.0013 | Critic Loss: 0.3197 | Grad Norm: 1.8832 | Clipped: 3/4
Epoch [17/4000] | Avg Makespan: 622.50 | Actor Loss: -0.0027 | Critic Loss: 0.6048 | Grad Norm: 1.4907 | Clipped: 3/4
Epoch [18/4000] | Avg Makespan: 612.38 | Actor Loss: -0.0044 | Critic Loss: 0.9686 | Grad Norm: 1.6615 | Clipped: 4/4
Epoch [19/4000] | Avg Makespan: 617.62 | Actor Loss: 0.0019 | Critic Loss: 0.2985 | Grad Norm: 2.1131 | Clipped: 4/4
Epoch [20/4000] | Avg Makespan: 616.75 | Actor Loss: 0.0003 | Critic Loss: 0.3871 | Grad Norm: 2.6857 | Clipped: 4/4
Epoch [21/4000] | Avg Makespan: 679.00 | Actor Loss: 0.0021 | Critic Loss: 1.6132 | Grad Norm: 7.5339 | Clipped: 4/4
Epoch [22/4000] | Avg Makespan: 644.25 | Actor Loss: 0.0006 | Critic Loss: 1.1579 | Grad Norm: 7.9613 | Clipped: 4/4
Epoch [23/4000] | Avg Makespan: 628.75 | Actor Loss: 0.0025 | Critic Loss: 0.8898 | Grad Norm: 4.2431 | Clipped: 4/4
Epoch [24/4000] | Avg Makespan: 573.38 | Actor Loss: -0.0013 | Critic Loss: 0.6790 | Grad Norm: 1.8917 | Clipped: 3/4
Epoch [25/4000] | Avg Makespan: 613.38 | Actor Loss: 0.0008 | Critic Loss: 1.2738 | Grad Norm: 3.8889 | Clipped: 4/4
Epoch [26/4000] | Avg Makespan: 631.38 | Actor Loss: -0.0016 | Critic Loss: 1.7711 | Grad Norm: 2.1469 | Clipped: 4/4
Epoch [27/4000] | Avg Makespan: 608.38 | Actor Loss: -0.0001 | Critic Loss: 0.7417 | Grad Norm: 2.9741 | Clipped: 4/4
Epoch [28/4000] | Avg Makespan: 629.50 | Actor Loss: -0.0003 | Critic Loss: 1.4134 | Grad Norm: 3.4263 | Clipped: 4/4
Epoch [29/4000] | Avg Makespan: 608.00 | Actor Loss: -0.0012 | Critic Loss: 0.4826 | Grad Norm: 0.8661 | Clipped: 2/4
Epoch [30/4000] | Avg Makespan: 639.62 | Actor Loss: -0.0024 | Critic Loss: 0.7555 | Grad Norm: 0.5588 | Clipped: 0/4
Epoch [31/4000] | Avg Makespan: 608.75 | Actor Loss: -0.0014 | Critic Loss: 0.6246 | Grad Norm: 1.7120 | Clipped: 3/4
Epoch [32/4000] | Avg Makespan: 612.25 | Actor Loss: -0.0033 | Critic Loss: 0.9629 | Grad Norm: 1.4282 | Clipped: 4/4
Epoch [33/4000] | Avg Makespan: 575.50 | Actor Loss: -0.0008 | Critic Loss: 0.4159 | Grad Norm: 1.7642 | Clipped: 4/4
Epoch [34/4000] | Avg Makespan: 609.75 | Actor Loss: -0.0020 | Critic Loss: 0.5337 | Grad Norm: 1.9238 | Clipped: 4/4
Epoch [35/4000] | Avg Makespan: 603.88 | Actor Loss: -0.0020 | Critic Loss: 0.8355 | Grad Norm: 1.1173 | Clipped: 2/4
Epoch [36/4000] | Avg Makespan: 562.62 | Actor Loss: 0.0030 | Critic Loss: 0.6196 | Grad Norm: 3.1871 | Clipped: 4/4
Epoch [37/4000] | Avg Makespan: 560.62 | Actor Loss: -0.0002 | Critic Loss: 0.5179 | Grad Norm: 1.2284 | Clipped: 3/4
Epoch [38/4000] | Avg Makespan: 605.12 | Actor Loss: -0.0008 | Critic Loss: 0.7986 | Grad Norm: 2.8850 | Clipped: 4/4
Epoch [39/4000] | Avg Makespan: 576.38 | Actor Loss: -0.0052 | Critic Loss: 0.8494 | Grad Norm: 1.3608 | Clipped: 3/4
Epoch [40/4000] | Avg Makespan: 531.62 | Actor Loss: 0.0019 | Critic Loss: 1.0055 | Grad Norm: 2.7388 | Clipped: 4/4
Epoch [41/4000] | Avg Makespan: 553.62 | Actor Loss: -0.0001 | Critic Loss: 0.3671 | Grad Norm: 0.9782 | Clipped: 2/4
Epoch [42/4000] | Avg Makespan: 556.75 | Actor Loss: -0.0004 | Critic Loss: 0.2153 | Grad Norm: 1.2839 | Clipped: 4/4
Epoch [43/4000] | Avg Makespan: 550.50 | Actor Loss: 0.0024 | Critic Loss: 0.2641 | Grad Norm: 1.0421 | Clipped: 2/4
Epoch [44/4000] | Avg Makespan: 548.38 | Actor Loss: 0.0023 | Critic Loss: 0.4870 | Grad Norm: 1.0638 | Clipped: 2/4
Epoch [45/4000] | Avg Makespan: 558.75 | Actor Loss: -0.0005 | Critic Loss: 0.3801 | Grad Norm: 1.1500 | Clipped: 3/4
Epoch [46/4000] | Avg Makespan: 557.75 | Actor Loss: 0.0020 | Critic Loss: 0.1812 | Grad Norm: 0.8340 | Clipped: 2/4
Epoch [47/4000] | Avg Makespan: 543.12 | Actor Loss: 0.0021 | Critic Loss: 0.3387 | Grad Norm: 1.4764 | Clipped: 4/4
Epoch [48/4000] | Avg Makespan: 543.50 | Actor Loss: -0.0004 | Critic Loss: 0.2698 | Grad Norm: 0.7012 | Clipped: 1/4
Epoch [49/4000] | Avg Makespan: 526.38 | Actor Loss: -0.0032 | Critic Loss: 0.2351 | Grad Norm: 0.5797 | Clipped: 0/4
Epoch [50/4000] | Avg Makespan: 528.00 | Actor Loss: -0.0014 | Critic Loss: 0.2065 | Grad Norm: 0.6675 | Clipped: 0/4
Epoch [51/4000] | Avg Makespan: 505.25 | Actor Loss: -0.0022 | Critic Loss: 0.4784 | Grad Norm: 0.8680 | Clipped: 2/4
Epoch [52/4000] | Avg Makespan: 528.50 | Actor Loss: -0.0015 | Critic Loss: 0.1459 | Grad Norm: 0.9627 | Clipped: 2/4
Epoch [53/4000] | Avg Makespan: 496.00 | Actor Loss: -0.0003 | Critic Loss: 0.1382 | Grad Norm: 1.3746 | Clipped: 4/4
Epoch [54/4000] | Avg Makespan: 521.88 | Actor Loss: 0.0065 | Critic Loss: 0.4213 | Grad Norm: 1.4109 | Clipped: 4/4
Epoch [55/4000] | Avg Makespan: 525.12 | Actor Loss: 0.0003 | Critic Loss: 0.3890 | Grad Norm: 0.6638 | Clipped: 0/4
Epoch [56/4000] | Avg Makespan: 521.00 | Actor Loss: -0.0002 | Critic Loss: 0.5629 | Grad Norm: 0.6420 | Clipped: 0/4
Epoch [57/4000] | Avg Makespan: 510.75 | Actor Loss: -0.0023 | Critic Loss: 0.1550 | Grad Norm: 0.7217 | Clipped: 1/4
Epoch [58/4000] | Avg Makespan: 519.25 | Actor Loss: -0.0038 | Critic Loss: 0.1614 | Grad Norm: 0.7213 | Clipped: 0/4
Epoch [59/4000] | Avg Makespan: 512.50 | Actor Loss: -0.0035 | Critic Loss: 0.1302 | Grad Norm: 0.5781 | Clipped: 0/4
Epoch [60/4000] | Avg Makespan: 484.75 | Actor Loss: -0.0038 | Critic Loss: 0.1620 | Grad Norm: 0.9737 | Clipped: 2/4
Epoch [61/4000] | Avg Makespan: 514.00 | Actor Loss: -0.0001 | Critic Loss: 0.3137 | Grad Norm: 1.5713 | Clipped: 4/4
