label,rule,n_pairs,n_seeds,policy_mean,rule_mean,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
other arm gc1.5 _best,milk_run+earliest_completion,99,3,340.16,350.66,-10.49,5.92,-2.99,-16.31,-4.61,59,40,59.6,0.0005,yes
gc1 _latest,milk_run+earliest_completion,100,3,341.37,350.6,-9.23,5.76,-2.63,-14.94,-3.57,58,42,58.0,0.0022,yes
