Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [37/1000] | Sampled: 2060.62 | Baseline: 688.38 | Improvement: -1372.25 | Win Rate: 0.00% | Actor Loss: 10.2300 | Entropy: 3.0334
Epoch [38/1000] | Sampled: 2061.94 | Baseline: 693.38 | Improvement: -1368.56 | Win Rate: 0.00% | Actor Loss: 10.1834 | Entropy: 2.9799
Epoch [39/1000] | Sampled: 2081.88 | Baseline: 710.19 | Improvement: -1371.69 | Win Rate: 0.00% | Actor Loss: 7.6921 | Entropy: 2.9336
Epoch [40/1000] | Sampled: 2063.94 | Baseline: 683.44 | Improvement: -1380.50 | Win Rate: 0.00% | Actor Loss: 6.3351 | Entropy: 2.8478
Epoch [41/1000] | Sampled: 2090.44 | Baseline: 700.25 | Improvement: -1390.19 | Win Rate: 0.00% | Actor Loss: 1.0188 | Entropy: 2.4484
Epoch [42/1000] | Sampled: 2060.06 | Baseline: 680.06 | Improvement: -1380.00 | Win Rate: 0.00% | Actor Loss: 4.9314 | Entropy: 2.4339
Epoch [43/1000] | Sampled: 2091.94 | Baseline: 698.62 | Improvement: -1393.31 | Win Rate: 0.00% | Actor Loss: 3.8749 | Entropy: 2.5217
Epoch [44/1000] | Sampled: 2076.00 | Baseline: 688.38 | Improvement: -1387.62 | Win Rate: 0.00% | Actor Loss: -2.0097 | Entropy: 2.1211
Epoch [45/1000] | Sampled: 2085.50 | Baseline: 697.06 | Improvement: -1388.44 | Win Rate: 0.00% | Actor Loss: 5.3309 | Entropy: 1.6029
Epoch [46/1000] | Sampled: 2080.44 | Baseline: 704.12 | Improvement: -1376.31 | Win Rate: 0.00% | Actor Loss: 2.9542 | Entropy: 1.6915
Epoch [47/1000] | Sampled: 2066.56 | Baseline: 677.56 | Improvement: -1389.00 | Win Rate: 0.00% | Actor Loss: -2.1669 | Entropy: 1.7188
Epoch [48/1000] | Sampled: 2070.88 | Baseline: 676.00 | Improvement: -1394.88 | Win Rate: 0.00% | Actor Loss: 9.8737 | Entropy: 1.3578
Epoch [49/1000] | Sampled: 2092.12 | Baseline: 686.56 | Improvement: -1405.56 | Win Rate: 0.00% | Actor Loss: 5.7089 | Entropy: 1.2870
Epoch [50/1000] | Sampled: 2111.38 | Baseline: 682.25 | Improvement: -1429.12 | Win Rate: 0.00% | Actor Loss: 6.0802 | Entropy: 1.3910
Epoch [51/1000] | Sampled: 2086.00 | Baseline: 691.88 | Improvement: -1394.12 | Win Rate: 0.00% | Actor Loss: -5.2290 | Entropy: 1.4184
Epoch [52/1000] | Sampled: 2137.19 | Baseline: 696.19 | Improvement: -1441.00 | Win Rate: 0.00% | Actor Loss: 4.9227 | Entropy: 1.2320
Epoch [53/1000] | Sampled: 2075.06 | Baseline: 682.12 | Improvement: -1392.94 | Win Rate: 0.00% | Actor Loss: 4.1841 | Entropy: 1.1884
Epoch [54/1000] | Sampled: 2093.69 | Baseline: 688.69 | Improvement: -1405.00 | Win Rate: 0.00% | Actor Loss: 4.9344 | Entropy: 1.3072
Epoch [55/1000] | Sampled: 2084.31 | Baseline: 681.81 | Improvement: -1402.50 | Win Rate: 0.00% | Actor Loss: 0.9055 | Entropy: 1.2608
Epoch [56/1000] | Sampled: 2054.69 | Baseline: 679.50 | Improvement: -1375.19 | Win Rate: 0.00% | Actor Loss: -0.6073 | Entropy: 1.2994
Epoch [57/1000] | Sampled: 2082.12 | Baseline: 692.81 | Improvement: -1389.31 | Win Rate: 0.00% | Actor Loss: -0.1380 | Entropy: 1.3127
Epoch [58/1000] | Sampled: 2094.12 | Baseline: 692.00 | Improvement: -1402.12 | Win Rate: 0.00% | Actor Loss: -1.2628 | Entropy: 1.3356
Epoch [59/1000] | Sampled: 2104.69 | Baseline: 703.81 | Improvement: -1400.88 | Win Rate: 0.00% | Actor Loss: -1.0320 | Entropy: 1.2748
Epoch [60/1000] | Sampled: 2067.19 | Baseline: 699.31 | Improvement: -1367.88 | Win Rate: 0.00% | Actor Loss: 0.2481 | Entropy: 1.2919
Epoch [61/1000] | Sampled: 2087.94 | Baseline: 679.50 | Improvement: -1408.44 | Win Rate: 0.00% | Actor Loss: 0.3334 | Entropy: 1.2009
Epoch [62/1000] | Sampled: 2098.69 | Baseline: 690.81 | Improvement: -1407.88 | Win Rate: 0.00% | Actor Loss: 1.8249 | Entropy: 1.0871
Epoch [63/1000] | Sampled: 2075.56 | Baseline: 691.56 | Improvement: -1384.00 | Win Rate: 0.00% | Actor Loss: 3.9649 | Entropy: 1.0722
Epoch [64/1000] | Sampled: 2118.69 | Baseline: 696.06 | Improvement: -1422.62 | Win Rate: 0.00% | Actor Loss: 3.6922 | Entropy: 1.1401
Epoch [65/1000] | Sampled: 2110.81 | Baseline: 698.50 | Improvement: -1412.31 | Win Rate: 0.00% | Actor Loss: 5.2244 | Entropy: 1.1107
Epoch [66/1000] | Sampled: 2089.81 | Baseline: 692.62 | Improvement: -1397.19 | Win Rate: 0.00% | Actor Loss: 0.8620 | Entropy: 1.0858
Epoch [67/1000] | Sampled: 2094.06 | Baseline: 691.19 | Improvement: -1402.88 | Win Rate: 0.00% | Actor Loss: -0.0397 | Entropy: 1.1917
Epoch [68/1000] | Sampled: 2123.06 | Baseline: 695.69 | Improvement: -1427.38 | Win Rate: 0.00% | Actor Loss: 3.6140 | Entropy: 1.1121
Epoch [69/1000] | Sampled: 2098.81 | Baseline: 687.75 | Improvement: -1411.06 | Win Rate: 0.00% | Actor Loss: 0.6582 | Entropy: 1.1799
Epoch [70/1000] | Sampled: 2108.12 | Baseline: 699.19 | Improvement: -1408.94 | Win Rate: 0.00% | Actor Loss: -1.3580 | Entropy: 1.3915
Epoch [71/1000] | Sampled: 2099.19 | Baseline: 693.12 | Improvement: -1406.06 | Win Rate: 0.00% | Actor Loss: 2.9990 | Entropy: 1.2722
Epoch [72/1000] | Sampled: 2110.94 | Baseline: 714.00 | Improvement: -1396.94 | Win Rate: 0.00% | Actor Loss: 2.2580 | Entropy: 1.1396
Epoch [73/1000] | Sampled: 2099.31 | Baseline: 692.00 | Improvement: -1407.31 | Win Rate: 0.00% | Actor Loss: -3.2204 | Entropy: 1.1911
Epoch [74/1000] | Sampled: 2114.50 | Baseline: 684.75 | Improvement: -1429.75 | Win Rate: 0.00% | Actor Loss: 0.3549 | Entropy: 1.0310
Epoch [75/1000] | Sampled: 2082.75 | Baseline: 681.62 | Improvement: -1401.12 | Win Rate: 0.00% | Actor Loss: 1.7793 | Entropy: 1.0248
Epoch [76/1000] | Sampled: 2089.19 | Baseline: 686.75 | Improvement: -1402.44 | Win Rate: 0.00% | Actor Loss: 1.5765 | Entropy: 1.0650
Epoch [77/1000] | Sampled: 2094.38 | Baseline: 710.12 | Improvement: -1384.25 | Win Rate: 0.00% | Actor Loss: 4.1423 | Entropy: 1.0562
Epoch [78/1000] | Sampled: 2101.50 | Baseline: 703.19 | Improvement: -1398.31 | Win Rate: 0.00% | Actor Loss: 1.1010 | Entropy: 1.0277
Epoch [79/1000] | Sampled: 2080.88 | Baseline: 694.31 | Improvement: -1386.56 | Win Rate: 0.00% | Actor Loss: -1.6594 | Entropy: 1.1115
Epoch [80/1000] | Sampled: 2080.31 | Baseline: 689.19 | Improvement: -1391.12 | Win Rate: 0.00% | Actor Loss: -1.8375 | Entropy: 1.0893
Epoch [81/1000] | Sampled: 2091.06 | Baseline: 683.69 | Improvement: -1407.38 | Win Rate: 0.00% | Actor Loss: -3.1075 | Entropy: 1.1513
Epoch [82/1000] | Sampled: 2085.12 | Baseline: 686.12 | Improvement: -1399.00 | Win Rate: 0.00% | Actor Loss: -1.8276 | Entropy: 1.1477
Epoch [83/1000] | Sampled: 2083.25 | Baseline: 673.81 | Improvement: -1409.44 | Win Rate: 0.00% | Actor Loss: 1.2306 | Entropy: 1.0944
Epoch [84/1000] | Sampled: 2099.31 | Baseline: 695.94 | Improvement: -1403.38 | Win Rate: 0.00% | Actor Loss: -0.2483 | Entropy: 1.2363
Epoch [85/1000] | Sampled: 2106.12 | Baseline: 694.38 | Improvement: -1411.75 | Win Rate: 0.00% | Actor Loss: -8.0412 | Entropy: 1.2814
Epoch [86/1000] | Sampled: 2137.56 | Baseline: 699.06 | Improvement: -1438.50 | Win Rate: 0.00% | Actor Loss: -2.1940 | Entropy: 1.2409
Epoch [87/1000] | Sampled: 2087.25 | Baseline: 706.19 | Improvement: -1381.06 | Win Rate: 0.00% | Actor Loss: -0.7795 | Entropy: 1.2786
Epoch [88/1000] | Sampled: 2124.38 | Baseline: 700.44 | Improvement: -1423.94 | Win Rate: 0.00% | Actor Loss: -6.2305 | Entropy: 1.3206
Epoch [89/1000] | Sampled: 2102.81 | Baseline: 686.25 | Improvement: -1416.56 | Win Rate: 0.00% | Actor Loss: -5.6533 | Entropy: 1.3063
Epoch [90/1000] | Sampled: 2104.75 | Baseline: 699.81 | Improvement: -1404.94 | Win Rate: 0.00% | Actor Loss: -1.8387 | Entropy: 1.2451
Epoch [91/1000] | Sampled: 2092.62 | Baseline: 701.12 | Improvement: -1391.50 | Win Rate: 0.00% | Actor Loss: 1.4436 | Entropy: 1.1460
Epoch [92/1000] | Sampled: 2107.19 | Baseline: 681.56 | Improvement: -1425.62 | Win Rate: 0.00% | Actor Loss: 3.9716 | Entropy: 1.0989
Epoch [93/1000] | Sampled: 2115.81 | Baseline: 700.56 | Improvement: -1415.25 | Win Rate: 0.00% | Actor Loss: 2.4689 | Entropy: 1.1155
