Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [24/3000] | Sampled: 565.62 | Baseline: 719.72 | Improvement: 154.09 | Win Rate: 100.00% | Actor Loss: -1.3300 | Entropy: 2.9576 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [25/3000] | Sampled: 561.62 | Baseline: 713.91 | Improvement: 152.28 | Win Rate: 100.00% | Actor Loss: 1.0534 | Entropy: 2.9176 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.5
Epoch [26/3000] | Sampled: 561.91 | Baseline: 716.66 | Improvement: 154.75 | Win Rate: 100.00% | Actor Loss: 0.8310 | Entropy: 2.9405 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [27/3000] | Sampled: 564.09 | Baseline: 713.28 | Improvement: 149.19 | Win Rate: 100.00% | Actor Loss: 1.7986 | Entropy: 3.0364 | Invalid S/B: 0.00/0.00 | Max Load: 21.3 | Load Gap: 2.5
Epoch [28/3000] | Sampled: 568.09 | Baseline: 718.22 | Improvement: 150.12 | Win Rate: 100.00% | Actor Loss: -3.1847 | Entropy: 3.1178 | Invalid S/B: 0.06/0.00 | Max Load: 21.5 | Load Gap: 2.8
Epoch [29/3000] | Sampled: 563.62 | Baseline: 721.88 | Improvement: 158.25 | Win Rate: 100.00% | Actor Loss: 0.8063 | Entropy: 3.1955 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.2
Epoch [30/3000] | Sampled: 567.75 | Baseline: 720.59 | Improvement: 152.84 | Win Rate: 100.00% | Actor Loss: -0.1189 | Entropy: 3.2339 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.2
Epoch [31/3000] | Sampled: 565.16 | Baseline: 717.03 | Improvement: 151.88 | Win Rate: 100.00% | Actor Loss: -6.5029 | Entropy: 3.2632 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.5
Epoch [32/3000] | Sampled: 561.00 | Baseline: 715.00 | Improvement: 154.00 | Win Rate: 100.00% | Actor Loss: 1.5413 | Entropy: 3.2700 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [33/3000] | Sampled: 572.28 | Baseline: 719.44 | Improvement: 147.16 | Win Rate: 100.00% | Actor Loss: 2.0045 | Entropy: 3.2599 | Invalid S/B: 0.06/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [34/3000] | Sampled: 572.25 | Baseline: 722.59 | Improvement: 150.34 | Win Rate: 100.00% | Actor Loss: -4.0310 | Entropy: 3.3145 | Invalid S/B: 0.06/0.00 | Max Load: 21.3 | Load Gap: 2.6
Epoch [35/3000] | Sampled: 573.44 | Baseline: 721.78 | Improvement: 148.34 | Win Rate: 100.00% | Actor Loss: 0.8845 | Entropy: 3.3136 | Invalid S/B: 0.09/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [36/3000] | Sampled: 559.38 | Baseline: 718.03 | Improvement: 158.66 | Win Rate: 100.00% | Actor Loss: -3.6497 | Entropy: 3.3323 | Invalid S/B: 0.03/0.00 | Max Load: 21.3 | Load Gap: 2.5
Epoch [37/3000] | Sampled: 564.03 | Baseline: 714.88 | Improvement: 150.84 | Win Rate: 100.00% | Actor Loss: 0.8384 | Entropy: 3.3191 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [38/3000] | Sampled: 557.84 | Baseline: 718.19 | Improvement: 160.34 | Win Rate: 100.00% | Actor Loss: -1.3086 | Entropy: 3.3095 | Invalid S/B: 0.03/0.00 | Max Load: 21.4 | Load Gap: 2.7
Epoch [39/3000] | Sampled: 562.09 | Baseline: 720.72 | Improvement: 158.62 | Win Rate: 100.00% | Actor Loss: -3.9705 | Entropy: 3.2951 | Invalid S/B: 0.03/0.00 | Max Load: 21.4 | Load Gap: 3.0
Epoch [40/3000] | Sampled: 558.03 | Baseline: 717.69 | Improvement: 159.66 | Win Rate: 100.00% | Actor Loss: -4.9011 | Entropy: 3.2388 | Invalid S/B: 0.06/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [41/3000] | Sampled: 555.91 | Baseline: 718.44 | Improvement: 162.53 | Win Rate: 100.00% | Actor Loss: 1.9118 | Entropy: 3.1771 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.7
Epoch [42/3000] | Sampled: 549.03 | Baseline: 716.06 | Improvement: 167.03 | Win Rate: 100.00% | Actor Loss: 0.8988 | Entropy: 3.1614 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [43/3000] | Sampled: 540.94 | Baseline: 719.72 | Improvement: 178.78 | Win Rate: 100.00% | Actor Loss: -4.0043 | Entropy: 3.1904 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [44/3000] | Sampled: 547.50 | Baseline: 715.28 | Improvement: 167.78 | Win Rate: 100.00% | Actor Loss: -0.4550 | Entropy: 3.2020 | Invalid S/B: 0.06/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [45/3000] | Sampled: 549.59 | Baseline: 720.53 | Improvement: 170.94 | Win Rate: 100.00% | Actor Loss: -1.0976 | Entropy: 3.1893 | Invalid S/B: 0.03/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [46/3000] | Sampled: 548.53 | Baseline: 716.50 | Improvement: 167.97 | Win Rate: 100.00% | Actor Loss: 3.8439 | Entropy: 3.2171 | Invalid S/B: 0.03/0.00 | Max Load: 21.0 | Load Gap: 2.1
Epoch [47/3000] | Sampled: 551.75 | Baseline: 713.06 | Improvement: 161.31 | Win Rate: 100.00% | Actor Loss: -4.1142 | Entropy: 3.2112 | Invalid S/B: 0.06/0.00 | Max Load: 21.2 | Load Gap: 2.5
Epoch [48/3000] | Sampled: 543.88 | Baseline: 722.09 | Improvement: 178.22 | Win Rate: 100.00% | Actor Loss: -6.5509 | Entropy: 3.2296 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [49/3000] | Sampled: 549.50 | Baseline: 719.69 | Improvement: 170.19 | Win Rate: 100.00% | Actor Loss: -1.2349 | Entropy: 3.1979 | Invalid S/B: 0.06/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [50/3000] | Sampled: 545.91 | Baseline: 715.31 | Improvement: 169.41 | Win Rate: 100.00% | Actor Loss: 0.9307 | Entropy: 3.1428 | Invalid S/B: 0.03/0.00 | Max Load: 21.3 | Load Gap: 2.8
   -> Validation | Samples: 50 | Makespan: 541.72 | Invalid Jobs: 0.04
   -> Saved new best model (Val Makespan: 541.72)
Epoch [51/3000] | Sampled: 549.44 | Baseline: 717.78 | Improvement: 168.34 | Win Rate: 100.00% | Actor Loss: 8.1326 | Entropy: 3.1180 | Invalid S/B: 0.03/0.00 | Max Load: 21.5 | Load Gap: 2.8
Epoch [52/3000] | Sampled: 554.44 | Baseline: 722.03 | Improvement: 167.59 | Win Rate: 100.00% | Actor Loss: -1.5781 | Entropy: 3.1411 | Invalid S/B: 0.06/0.00 | Max Load: 21.2 | Load Gap: 2.2
