Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [31/1500] | Sampled: 837.50 | Baseline: 1003.75 | Improvement: 166.25 | Win Rate: 100.00% | Job Loss: 455.5014 | AMR Loss: 82.3787 | Entropy: 3.2490
Epoch [32/1500] | Sampled: 617.50 | Baseline: 722.75 | Improvement: 105.25 | Win Rate: 75.00% | Job Loss: 288.5299 | AMR Loss: 150.9490 | Entropy: 2.9844
Epoch [33/1500] | Sampled: 1038.00 | Baseline: 1174.00 | Improvement: 136.00 | Win Rate: 75.00% | Job Loss: 252.9604 | AMR Loss: 30.7563 | Entropy: 3.4826
Epoch [34/1500] | Sampled: 1171.00 | Baseline: 1431.50 | Improvement: 260.50 | Win Rate: 100.00% | Job Loss: 279.9035 | AMR Loss: 282.0251 | Entropy: 3.4408
Epoch [35/1500] | Sampled: 641.25 | Baseline: 673.25 | Improvement: 32.00 | Win Rate: 75.00% | Job Loss: -268.4478 | AMR Loss: 61.8206 | Entropy: 2.8754
Epoch [36/1500] | Sampled: 856.50 | Baseline: 1044.50 | Improvement: 188.00 | Win Rate: 75.00% | Job Loss: 788.4251 | AMR Loss: 303.6003 | Entropy: 3.1212
Epoch [37/1500] | Sampled: 958.50 | Baseline: 1091.25 | Improvement: 132.75 | Win Rate: 100.00% | Job Loss: 868.5521 | AMR Loss: 494.6774 | Entropy: 3.1412
Epoch [38/1500] | Sampled: 913.50 | Baseline: 974.75 | Improvement: 61.25 | Win Rate: 50.00% | Job Loss: 117.6068 | AMR Loss: 274.8877 | Entropy: 3.2157
Epoch [39/1500] | Sampled: 801.00 | Baseline: 902.50 | Improvement: 101.50 | Win Rate: 50.00% | Job Loss: -30.5252 | AMR Loss: -114.3388 | Entropy: 2.8382
Epoch [40/1500] | Sampled: 920.25 | Baseline: 1130.00 | Improvement: 209.75 | Win Rate: 100.00% | Job Loss: 634.1183 | AMR Loss: -50.6812 | Entropy: 2.9954
Epoch [41/1500] | Sampled: 947.75 | Baseline: 1243.75 | Improvement: 296.00 | Win Rate: 75.00% | Job Loss: 906.0833 | AMR Loss: 641.8188 | Entropy: 3.1285
Epoch [42/1500] | Sampled: 930.25 | Baseline: 1033.25 | Improvement: 103.00 | Win Rate: 75.00% | Job Loss: 975.7301 | AMR Loss: -256.3555 | Entropy: 2.9425
Epoch [43/1500] | Sampled: 1065.50 | Baseline: 1324.00 | Improvement: 258.50 | Win Rate: 100.00% | Job Loss: 245.0066 | AMR Loss: 453.8425 | Entropy: 3.2901
Epoch [44/1500] | Sampled: 591.00 | Baseline: 613.25 | Improvement: 22.25 | Win Rate: 75.00% | Job Loss: -5.9784 | AMR Loss: -352.5689 | Entropy: 2.6991
Epoch [45/1500] | Sampled: 746.25 | Baseline: 915.75 | Improvement: 169.50 | Win Rate: 75.00% | Job Loss: 206.0983 | AMR Loss: -156.6775 | Entropy: 2.7197
Epoch [46/1500] | Sampled: 972.50 | Baseline: 961.25 | Improvement: -11.25 | Win Rate: 75.00% | Job Loss: 63.7658 | AMR Loss: -14.4332 | Entropy: 2.9642
Epoch [47/1500] | Sampled: 942.50 | Baseline: 1049.25 | Improvement: 106.75 | Win Rate: 75.00% | Job Loss: -299.4085 | AMR Loss: 740.7483 | Entropy: 2.8788
Epoch [48/1500] | Sampled: 859.25 | Baseline: 992.50 | Improvement: 133.25 | Win Rate: 100.00% | Job Loss: 430.3339 | AMR Loss: -89.2608 | Entropy: 2.9873
Epoch [49/1500] | Sampled: 763.50 | Baseline: 1038.25 | Improvement: 274.75 | Win Rate: 100.00% | Job Loss: 663.2885 | AMR Loss: 35.0331 | Entropy: 2.9461
Epoch [50/1500] | Sampled: 1116.75 | Baseline: 1302.00 | Improvement: 185.25 | Win Rate: 75.00% | Job Loss: 72.0342 | AMR Loss: 287.9448 | Entropy: 3.1880
Epoch [51/1500] | Sampled: 738.50 | Baseline: 891.00 | Improvement: 152.50 | Win Rate: 50.00% | Job Loss: 491.0592 | AMR Loss: 194.0696 | Entropy: 2.8358
Epoch [52/1500] | Sampled: 577.50 | Baseline: 621.25 | Improvement: 43.75 | Win Rate: 50.00% | Job Loss: 92.0669 | AMR Loss: 15.8732 | Entropy: 2.6045
Epoch [53/1500] | Sampled: 716.00 | Baseline: 951.25 | Improvement: 235.25 | Win Rate: 75.00% | Job Loss: 382.9496 | AMR Loss: 225.5174 | Entropy: 2.7416
Epoch [54/1500] | Sampled: 858.25 | Baseline: 1083.50 | Improvement: 225.25 | Win Rate: 75.00% | Job Loss: 570.7215 | AMR Loss: -64.3393 | Entropy: 2.8713
Epoch [55/1500] | Sampled: 694.75 | Baseline: 858.25 | Improvement: 163.50 | Win Rate: 100.00% | Job Loss: 355.9058 | AMR Loss: -95.0371 | Entropy: 2.7590
Epoch [56/1500] | Sampled: 839.00 | Baseline: 893.50 | Improvement: 54.50 | Win Rate: 75.00% | Job Loss: -56.8953 | AMR Loss: -333.5818 | Entropy: 2.9854
Epoch [57/1500] | Sampled: 848.00 | Baseline: 1036.00 | Improvement: 188.00 | Win Rate: 100.00% | Job Loss: 425.1479 | AMR Loss: -113.7445 | Entropy: 2.9954
Epoch [58/1500] | Sampled: 800.50 | Baseline: 1019.50 | Improvement: 219.00 | Win Rate: 75.00% | Job Loss: 375.8186 | AMR Loss: -260.0517 | Entropy: 3.1966
Epoch [59/1500] | Sampled: 873.00 | Baseline: 980.75 | Improvement: 107.75 | Win Rate: 75.00% | Job Loss: -197.9924 | AMR Loss: 60.7666 | Entropy: 3.1454
Epoch [60/1500] | Sampled: 984.50 | Baseline: 1229.25 | Improvement: 244.75 | Win Rate: 100.00% | Job Loss: 529.7122 | AMR Loss: 3.6229 | Entropy: 3.1531
Epoch [61/1500] | Sampled: 665.75 | Baseline: 640.25 | Improvement: -25.50 | Win Rate: 75.00% | Job Loss: -504.2943 | AMR Loss: 5.8168 | Entropy: 2.6801
Epoch [62/1500] | Sampled: 926.50 | Baseline: 987.00 | Improvement: 60.50 | Win Rate: 50.00% | Job Loss: -301.2097 | AMR Loss: -97.5333 | Entropy: 2.7763
Epoch [63/1500] | Sampled: 1184.50 | Baseline: 1444.25 | Improvement: 259.75 | Win Rate: 100.00% | Job Loss: 641.1269 | AMR Loss: 443.6349 | Entropy: 3.0898
Epoch [64/1500] | Sampled: 725.00 | Baseline: 885.25 | Improvement: 160.25 | Win Rate: 100.00% | Job Loss: 166.2141 | AMR Loss: 189.4710 | Entropy: 2.7367
Epoch [65/1500] | Sampled: 621.25 | Baseline: 694.50 | Improvement: 73.25 | Win Rate: 75.00% | Job Loss: 353.9250 | AMR Loss: -195.5826 | Entropy: 2.6512
Epoch [66/1500] | Sampled: 912.25 | Baseline: 1142.25 | Improvement: 230.00 | Win Rate: 100.00% | Job Loss: 403.0469 | AMR Loss: 319.2356 | Entropy: 2.9262
Epoch [67/1500] | Sampled: 867.50 | Baseline: 981.25 | Improvement: 113.75 | Win Rate: 75.00% | Job Loss: 58.9923 | AMR Loss: 626.1229 | Entropy: 2.7220
Epoch [68/1500] | Sampled: 1013.50 | Baseline: 1319.00 | Improvement: 305.50 | Win Rate: 75.00% | Job Loss: 630.7447 | AMR Loss: 377.4925 | Entropy: 3.0846
Epoch [69/1500] | Sampled: 1060.50 | Baseline: 1167.25 | Improvement: 106.75 | Win Rate: 75.00% | Job Loss: -200.9112 | AMR Loss: -230.3471 | Entropy: 3.0015
Epoch [70/1500] | Sampled: 848.00 | Baseline: 1093.50 | Improvement: 245.50 | Win Rate: 100.00% | Job Loss: 635.7254 | AMR Loss: -37.3185 | Entropy: 2.7428
Epoch [71/1500] | Sampled: 715.50 | Baseline: 921.75 | Improvement: 206.25 | Win Rate: 100.00% | Job Loss: 282.2691 | AMR Loss: 209.5571 | Entropy: 2.6779
Epoch [72/1500] | Sampled: 977.25 | Baseline: 1070.50 | Improvement: 93.25 | Win Rate: 75.00% | Job Loss: 14.2601 | AMR Loss: -120.0156 | Entropy: 2.8710
Epoch [73/1500] | Sampled: 784.50 | Baseline: 871.00 | Improvement: 86.50 | Win Rate: 75.00% | Job Loss: 155.3827 | AMR Loss: -10.1960 | Entropy: 2.7473
Epoch [74/1500] | Sampled: 761.00 | Baseline: 950.25 | Improvement: 189.25 | Win Rate: 75.00% | Job Loss: 316.5714 | AMR Loss: 272.2633 | Entropy: 2.8100
Epoch [75/1500] | Sampled: 729.00 | Baseline: 837.50 | Improvement: 108.50 | Win Rate: 75.00% | Job Loss: 92.8889 | AMR Loss: -40.8312 | Entropy: 2.7396
Epoch [76/1500] | Sampled: 700.25 | Baseline: 946.50 | Improvement: 246.25 | Win Rate: 100.00% | Job Loss: 639.9805 | AMR Loss: 87.9523 | Entropy: 2.7828
Epoch [77/1500] | Sampled: 659.25 | Baseline: 785.50 | Improvement: 126.25 | Win Rate: 75.00% | Job Loss: 374.6928 | AMR Loss: 78.2421 | Entropy: 2.5580
Epoch [78/1500] | Sampled: 747.25 | Baseline: 990.50 | Improvement: 243.25 | Win Rate: 100.00% | Job Loss: 568.8924 | AMR Loss: -71.6733 | Entropy: 2.6535
Epoch [79/1500] | Sampled: 884.25 | Baseline: 1243.25 | Improvement: 359.00 | Win Rate: 100.00% | Job Loss: 893.9791 | AMR Loss: 177.2843 | Entropy: 2.9538
Epoch [80/1500] | Sampled: 715.50 | Baseline: 990.75 | Improvement: 275.25 | Win Rate: 75.00% | Job Loss: 670.4241 | AMR Loss: -60.3400 | Entropy: 2.6902
Epoch [81/1500] | Sampled: 911.25 | Baseline: 1149.75 | Improvement: 238.50 | Win Rate: 100.00% | Job Loss: 793.9032 | AMR Loss: -340.0556 | Entropy: 2.8770
Epoch [82/1500] | Sampled: 607.75 | Baseline: 659.50 | Improvement: 51.75 | Win Rate: 25.00% | Job Loss: 153.8974 | AMR Loss: 97.9059 | Entropy: 2.6352
Epoch [83/1500] | Sampled: 1051.25 | Baseline: 1381.50 | Improvement: 330.25 | Win Rate: 100.00% | Job Loss: 724.8400 | AMR Loss: -81.6945 | Entropy: 3.0390
Epoch [84/1500] | Sampled: 490.00 | Baseline: 659.00 | Improvement: 169.00 | Win Rate: 100.00% | Job Loss: 280.4328 | AMR Loss: -104.2223 | Entropy: 2.4450
   -> Saved new best model (Makespan: 490.00)
Epoch [85/1500] | Sampled: 792.25 | Baseline: 982.25 | Improvement: 190.00 | Win Rate: 75.00% | Job Loss: 362.1095 | AMR Loss: 24.8667 | Entropy: 2.7080
Epoch [86/1500] | Sampled: 908.50 | Baseline: 1156.00 | Improvement: 247.50 | Win Rate: 100.00% | Job Loss: 595.5110 | AMR Loss: 44.1650 | Entropy: 2.8641
Epoch [87/1500] | Sampled: 686.00 | Baseline: 1010.75 | Improvement: 324.75 | Win Rate: 100.00% | Job Loss: 699.1173 | AMR Loss: 338.9919 | Entropy: 2.6387
Epoch [88/1500] | Sampled: 1008.25 | Baseline: 1299.50 | Improvement: 291.25 | Win Rate: 100.00% | Job Loss: 784.1163 | AMR Loss: 352.2209 | Entropy: 2.9859
Epoch [89/1500] | Sampled: 746.25 | Baseline: 1031.25 | Improvement: 285.00 | Win Rate: 100.00% | Job Loss: 848.5880 | AMR Loss: 33.0081 | Entropy: 2.5825
Epoch [90/1500] | Sampled: 839.00 | Baseline: 1006.00 | Improvement: 167.00 | Win Rate: 100.00% | Job Loss: 454.8841 | AMR Loss: 299.4299 | Entropy: 2.7323
Epoch [91/1500] | Sampled: 1058.75 | Baseline: 1272.00 | Improvement: 213.25 | Win Rate: 100.00% | Job Loss: 509.5661 | AMR Loss: 52.3426 | Entropy: 2.9438
Epoch [92/1500] | Sampled: 1048.25 | Baseline: 1283.00 | Improvement: 234.75 | Win Rate: 100.00% | Job Loss: 462.1898 | AMR Loss: -18.9310 | Entropy: 3.0640
Epoch [93/1500] | Sampled: 908.00 | Baseline: 1135.75 | Improvement: 227.75 | Win Rate: 100.00% | Job Loss: 456.8716 | AMR Loss: 248.1042 | Entropy: 2.8062
Epoch [94/1500] | Sampled: 411.75 | Baseline: 452.75 | Improvement: 41.00 | Win Rate: 75.00% | Job Loss: -45.0311 | AMR Loss: -264.2961 | Entropy: 2.1927
   -> Saved new best model (Makespan: 411.75)
Epoch [95/1500] | Sampled: 906.50 | Baseline: 1177.75 | Improvement: 271.25 | Win Rate: 100.00% | Job Loss: 505.8459 | AMR Loss: 392.8792 | Entropy: 2.7831
Epoch [96/1500] | Sampled: 642.25 | Baseline: 993.50 | Improvement: 351.25 | Win Rate: 100.00% | Job Loss: 964.4018 | AMR Loss: 340.6093 | Entropy: 2.6349
Epoch [97/1500] | Sampled: 783.25 | Baseline: 842.00 | Improvement: 58.75 | Win Rate: 100.00% | Job Loss: -134.6327 | AMR Loss: 78.4132 | Entropy: 2.6341
Epoch [98/1500] | Sampled: 606.00 | Baseline: 721.25 | Improvement: 115.25 | Win Rate: 75.00% | Job Loss: 154.4912 | AMR Loss: -191.0601 | Entropy: 2.4937
Epoch [99/1500] | Sampled: 780.50 | Baseline: 903.50 | Improvement: 123.00 | Win Rate: 100.00% | Job Loss: 11.4858 | AMR Loss: 88.2785 | Entropy: 2.7487
Epoch [100/1500] | Sampled: 800.00 | Baseline: 1136.25 | Improvement: 336.25 | Win Rate: 100.00% | Job Loss: 655.6753 | AMR Loss: 351.9379 | Entropy: 2.7450
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [101/1500] | Sampled: 910.75 | Baseline: 1132.75 | Improvement: 222.00 | Win Rate: 75.00% | Job Loss: 406.2299 | AMR Loss: 151.1381 | Entropy: 2.9221
Epoch [102/1500] | Sampled: 893.75 | Baseline: 1234.00 | Improvement: 340.25 | Win Rate: 100.00% | Job Loss: 801.1050 | AMR Loss: -222.8779 | Entropy: 2.9391
Epoch [103/1500] | Sampled: 979.00 | Baseline: 1490.00 | Improvement: 511.00 | Win Rate: 100.00% | Job Loss: 1279.9912 | AMR Loss: 43.0018 | Entropy: 3.0122
Epoch [104/1500] | Sampled: 716.50 | Baseline: 808.50 | Improvement: 92.00 | Win Rate: 50.00% | Job Loss: -155.8250 | AMR Loss: 6.3757 | Entropy: 2.5437
Epoch [105/1500] | Sampled: 508.25 | Baseline: 710.00 | Improvement: 201.75 | Win Rate: 100.00% | Job Loss: 399.6731 | AMR Loss: 281.7179 | Entropy: 2.3966
Epoch [106/1500] | Sampled: 818.50 | Baseline: 1090.75 | Improvement: 272.25 | Win Rate: 100.00% | Job Loss: 675.9625 | AMR Loss: 606.0776 | Entropy: 2.6701
Epoch [107/1500] | Sampled: 729.00 | Baseline: 877.25 | Improvement: 148.25 | Win Rate: 100.00% | Job Loss: 171.4426 | AMR Loss: -345.5116 | Entropy: 2.6068
Epoch [108/1500] | Sampled: 895.75 | Baseline: 1153.50 | Improvement: 257.75 | Win Rate: 100.00% | Job Loss: 666.8268 | AMR Loss: 145.7250 | Entropy: 2.7789
