Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [30/1500] | Sampled: 926.75 | Baseline: 956.75 | Improvement: 30.00 | Win Rate: 50.00% | Job Loss: 424.7846 | AMR Loss: 59.1436 | Entropy: 2.9848
Epoch [31/1500] | Sampled: 1102.00 | Baseline: 1003.75 | Improvement: -98.25 | Win Rate: 0.00% | Job Loss: -240.0415 | AMR Loss: -96.9672 | Entropy: 3.1134
Epoch [32/1500] | Sampled: 882.00 | Baseline: 722.75 | Improvement: -159.25 | Win Rate: 25.00% | Job Loss: -374.2074 | AMR Loss: -240.8212 | Entropy: 2.9388
Epoch [33/1500] | Sampled: 1166.25 | Baseline: 1174.00 | Improvement: 7.75 | Win Rate: 50.00% | Job Loss: 95.3229 | AMR Loss: -19.0496 | Entropy: 3.3287
Epoch [34/1500] | Sampled: 1389.00 | Baseline: 1431.50 | Improvement: 42.50 | Win Rate: 75.00% | Job Loss: 78.4376 | AMR Loss: 395.5751 | Entropy: 3.3775
Epoch [35/1500] | Sampled: 842.25 | Baseline: 673.25 | Improvement: -169.00 | Win Rate: 25.00% | Job Loss: -126.3882 | AMR Loss: -261.9944 | Entropy: 2.9670
Epoch [36/1500] | Sampled: 1044.00 | Baseline: 1044.50 | Improvement: 0.50 | Win Rate: 75.00% | Job Loss: -327.2859 | AMR Loss: 22.1673 | Entropy: 3.2572
Epoch [37/1500] | Sampled: 1228.00 | Baseline: 1091.25 | Improvement: -136.75 | Win Rate: 25.00% | Job Loss: -276.2786 | AMR Loss: -716.0089 | Entropy: 3.2739
Epoch [38/1500] | Sampled: 1125.50 | Baseline: 974.75 | Improvement: -150.75 | Win Rate: 0.00% | Job Loss: 283.8020 | AMR Loss: -183.6369 | Entropy: 3.3084
Epoch [39/1500] | Sampled: 939.00 | Baseline: 902.50 | Improvement: -36.50 | Win Rate: 50.00% | Job Loss: 766.1633 | AMR Loss: -197.4062 | Entropy: 3.1279
Epoch [40/1500] | Sampled: 1025.50 | Baseline: 1130.00 | Improvement: 104.50 | Win Rate: 100.00% | Job Loss: 576.6001 | AMR Loss: -75.3174 | Entropy: 3.3316
Epoch [41/1500] | Sampled: 1222.25 | Baseline: 1243.75 | Improvement: 21.50 | Win Rate: 50.00% | Job Loss: 633.3970 | AMR Loss: -110.9945 | Entropy: 3.5873
Epoch [42/1500] | Sampled: 1128.00 | Baseline: 1033.25 | Improvement: -94.75 | Win Rate: 25.00% | Job Loss: -315.2128 | AMR Loss: -33.7340 | Entropy: 3.5575
Epoch [43/1500] | Sampled: 1336.25 | Baseline: 1324.00 | Improvement: -12.25 | Win Rate: 50.00% | Job Loss: 33.5629 | AMR Loss: 117.0864 | Entropy: 3.8797
Epoch [44/1500] | Sampled: 655.50 | Baseline: 613.25 | Improvement: -42.25 | Win Rate: 50.00% | Job Loss: -89.9683 | AMR Loss: 34.8684 | Entropy: 3.2672
Epoch [45/1500] | Sampled: 876.75 | Baseline: 915.75 | Improvement: 39.00 | Win Rate: 50.00% | Job Loss: 333.1887 | AMR Loss: -7.6936 | Entropy: 3.4889
Epoch [46/1500] | Sampled: 1110.50 | Baseline: 961.25 | Improvement: -149.25 | Win Rate: 0.00% | Job Loss: -248.9261 | AMR Loss: -139.0097 | Entropy: 3.7219
Epoch [47/1500] | Sampled: 1131.00 | Baseline: 1049.25 | Improvement: -81.75 | Win Rate: 50.00% | Job Loss: -40.5439 | AMR Loss: -0.8069 | Entropy: 3.5931
Epoch [48/1500] | Sampled: 1075.00 | Baseline: 992.50 | Improvement: -82.50 | Win Rate: 0.00% | Job Loss: -229.7862 | AMR Loss: -222.8165 | Entropy: 3.6996
Epoch [49/1500] | Sampled: 1149.50 | Baseline: 1038.25 | Improvement: -111.25 | Win Rate: 50.00% | Job Loss: -432.7271 | AMR Loss: -83.6012 | Entropy: 3.6802
Epoch [50/1500] | Sampled: 1400.25 | Baseline: 1302.00 | Improvement: -98.25 | Win Rate: 25.00% | Job Loss: -126.4452 | AMR Loss: -278.0719 | Entropy: 3.9344
Epoch [51/1500] | Sampled: 823.50 | Baseline: 891.00 | Improvement: 67.50 | Win Rate: 50.00% | Job Loss: 157.5540 | AMR Loss: 90.8133 | Entropy: 3.6010
Epoch [52/1500] | Sampled: 548.00 | Baseline: 621.25 | Improvement: 73.25 | Win Rate: 50.00% | Job Loss: 281.2572 | AMR Loss: 27.8312 | Entropy: 3.2996
Epoch [53/1500] | Sampled: 850.00 | Baseline: 951.25 | Improvement: 101.25 | Win Rate: 50.00% | Job Loss: 494.9233 | AMR Loss: 275.7184 | Entropy: 3.5226
Epoch [54/1500] | Sampled: 1154.50 | Baseline: 1083.50 | Improvement: -71.00 | Win Rate: 25.00% | Job Loss: -167.1345 | AMR Loss: 11.2090 | Entropy: 3.6806
Epoch [55/1500] | Sampled: 865.50 | Baseline: 858.25 | Improvement: -7.25 | Win Rate: 75.00% | Job Loss: -269.4447 | AMR Loss: -135.5788 | Entropy: 3.5255
