Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'milk_run+earliest_completion' (stepwise).
Epoch [22/2000] | Sampled: 1270.88 | Baseline: 584.44 | Improvement: -686.44 | Win Rate: 0.00% | Actor Loss: -134.7046 | Entropy: 2.0932 | Invalid S/B: 0.00/0.00 | Max Load: 23.2 | Load Gap: 6.2 | LR: 3.00e-04
Epoch [23/2000] | Sampled: 1264.88 | Baseline: 589.12 | Improvement: -675.75 | Win Rate: 0.00% | Actor Loss: -150.4657 | Entropy: 2.0701 | Invalid S/B: 0.12/0.00 | Max Load: 23.1 | Load Gap: 6.6 | LR: 3.00e-04
Epoch [24/2000] | Sampled: 1258.88 | Baseline: 588.06 | Improvement: -670.81 | Win Rate: 0.00% | Actor Loss: -151.4443 | Entropy: 2.0465 | Invalid S/B: 0.00/0.00 | Max Load: 23.6 | Load Gap: 7.2 | LR: 3.00e-04
Epoch [25/2000] | Sampled: 1276.56 | Baseline: 596.81 | Improvement: -679.75 | Win Rate: 0.00% | Actor Loss: -146.2213 | Entropy: 2.0383 | Invalid S/B: 0.06/0.00 | Max Load: 22.6 | Load Gap: 4.9 | LR: 3.00e-04
Epoch [26/2000] | Sampled: 1228.19 | Baseline: 589.94 | Improvement: -638.25 | Win Rate: 0.00% | Actor Loss: -121.4414 | Entropy: 2.0217 | Invalid S/B: 0.00/0.00 | Max Load: 22.8 | Load Gap: 5.8 | LR: 3.00e-04
Epoch [27/2000] | Sampled: 1231.12 | Baseline: 585.62 | Improvement: -645.50 | Win Rate: 0.00% | Actor Loss: -133.6684 | Entropy: 1.9702 | Invalid S/B: 0.00/0.00 | Max Load: 22.9 | Load Gap: 5.9 | LR: 3.00e-04
Epoch [28/2000] | Sampled: 1200.94 | Baseline: 587.81 | Improvement: -613.12 | Win Rate: 0.00% | Actor Loss: -132.6787 | Entropy: 1.9241 | Invalid S/B: 0.06/0.00 | Max Load: 22.6 | Load Gap: 5.2 | LR: 3.00e-04
Epoch [29/2000] | Sampled: 1203.50 | Baseline: 592.50 | Improvement: -611.00 | Win Rate: 0.00% | Actor Loss: -135.5750 | Entropy: 1.9249 | Invalid S/B: 0.00/0.00 | Max Load: 23.3 | Load Gap: 6.2 | LR: 3.00e-04
Epoch [30/2000] | Sampled: 1158.19 | Baseline: 581.75 | Improvement: -576.44 | Win Rate: 0.00% | Actor Loss: -117.6059 | Entropy: 1.9326 | Invalid S/B: 0.06/0.00 | Max Load: 22.4 | Load Gap: 4.9 | LR: 3.00e-04
Epoch [31/2000] | Sampled: 1150.38 | Baseline: 586.38 | Improvement: -564.00 | Win Rate: 0.00% | Actor Loss: -124.4852 | Entropy: 1.9355 | Invalid S/B: 0.06/0.00 | Max Load: 22.4 | Load Gap: 4.9 | LR: 3.00e-04
Epoch [32/2000] | Sampled: 1145.25 | Baseline: 601.75 | Improvement: -543.50 | Win Rate: 0.00% | Actor Loss: -83.5721 | Entropy: 1.8843 | Invalid S/B: 0.00/0.00 | Max Load: 21.9 | Load Gap: 4.1 | LR: 3.00e-04
Epoch [33/2000] | Sampled: 1078.94 | Baseline: 582.62 | Improvement: -496.31 | Win Rate: 0.00% | Actor Loss: -89.4018 | Entropy: 1.8791 | Invalid S/B: 0.00/0.00 | Max Load: 22.2 | Load Gap: 4.2 | LR: 3.00e-04
Epoch [34/2000] | Sampled: 1097.75 | Baseline: 592.50 | Improvement: -505.25 | Win Rate: 0.00% | Actor Loss: -94.9732 | Entropy: 1.8254 | Invalid S/B: 0.06/0.00 | Max Load: 21.7 | Load Gap: 3.6 | LR: 3.00e-04
Epoch [35/2000] | Sampled: 1049.31 | Baseline: 596.56 | Improvement: -452.75 | Win Rate: 0.00% | Actor Loss: -66.8128 | Entropy: 1.7523 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.3 | LR: 3.00e-04
Epoch [36/2000] | Sampled: 1012.06 | Baseline: 579.38 | Improvement: -432.69 | Win Rate: 0.00% | Actor Loss: -56.7431 | Entropy: 1.6588 | Invalid S/B: 0.00/0.00 | Max Load: 21.3 | Load Gap: 2.4 | LR: 3.00e-04
Epoch [37/2000] | Sampled: 988.62 | Baseline: 580.38 | Improvement: -408.25 | Win Rate: 0.00% | Actor Loss: -41.5815 | Entropy: 1.5918 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.1 | LR: 3.00e-04
Epoch [38/2000] | Sampled: 980.62 | Baseline: 578.38 | Improvement: -402.25 | Win Rate: 0.00% | Actor Loss: -21.8290 | Entropy: 1.5278 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4 | LR: 3.00e-04
Epoch [39/2000] | Sampled: 970.94 | Baseline: 584.44 | Improvement: -386.50 | Win Rate: 0.00% | Actor Loss: -22.3864 | Entropy: 1.4507 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.3 | LR: 3.00e-04
Epoch [40/2000] | Sampled: 952.19 | Baseline: 599.56 | Improvement: -352.62 | Win Rate: 0.00% | Actor Loss: 0.0628 | Entropy: 1.3592 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2 | LR: 3.00e-04
Epoch [41/2000] | Sampled: 935.62 | Baseline: 583.25 | Improvement: -352.38 | Win Rate: 0.00% | Actor Loss: -12.4990 | Entropy: 1.2659 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 3.00e-04
Epoch [42/2000] | Sampled: 939.31 | Baseline: 581.00 | Improvement: -358.31 | Win Rate: 0.00% | Actor Loss: 4.0313 | Entropy: 1.2320 | Invalid S/B: 0.00/0.00 | Max Load: 20.4 | Load Gap: 0.8 | LR: 3.00e-04
Epoch [43/2000] | Sampled: 938.38 | Baseline: 591.94 | Improvement: -346.44 | Win Rate: 0.00% | Actor Loss: 2.3589 | Entropy: 1.2436 | Invalid S/B: 0.00/0.00 | Max Load: 20.2 | Load Gap: 0.5 | LR: 3.00e-04
Epoch [44/2000] | Sampled: 930.06 | Baseline: 590.75 | Improvement: -339.31 | Win Rate: 0.00% | Actor Loss: 11.3338 | Entropy: 1.2657 | Invalid S/B: 0.00/0.00 | Max Load: 20.4 | Load Gap: 0.9 | LR: 3.00e-04
Epoch [45/2000] | Sampled: 932.94 | Baseline: 583.62 | Improvement: -349.31 | Win Rate: 0.00% | Actor Loss: 12.3304 | Entropy: 1.4270 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 3.00e-04
Epoch [46/2000] | Sampled: 942.81 | Baseline: 578.31 | Improvement: -364.50 | Win Rate: 0.00% | Actor Loss: 7.7277 | Entropy: 1.4455 | Invalid S/B: 0.06/0.00 | Max Load: 20.5 | Load Gap: 1.0 | LR: 3.00e-04
Epoch [47/2000] | Sampled: 933.56 | Baseline: 581.31 | Improvement: -352.25 | Win Rate: 0.00% | Actor Loss: 7.6497 | Entropy: 1.3566 | Invalid S/B: 0.06/0.00 | Max Load: 20.4 | Load Gap: 0.9 | LR: 3.00e-04
Epoch [48/2000] | Sampled: 945.75 | Baseline: 603.38 | Improvement: -342.38 | Win Rate: 0.00% | Actor Loss: 2.8623 | Entropy: 1.3661 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 3.00e-04
Epoch [49/2000] | Sampled: 927.94 | Baseline: 585.44 | Improvement: -342.50 | Win Rate: 0.00% | Actor Loss: 0.9245 | Entropy: 1.4267 | Invalid S/B: 0.00/0.00 | Max Load: 20.4 | Load Gap: 0.9 | LR: 3.00e-04
Epoch [50/2000] | Sampled: 925.50 | Baseline: 573.75 | Improvement: -351.75 | Win Rate: 0.00% | Actor Loss: 7.0825 | Entropy: 1.4607 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4 | LR: 3.00e-04
   -> Validation | Samples: 50 | Makespan: 934.86 | Invalid Jobs: 0.02 | Score: 954.86
   -> Saved new best model (Val Score: 954.86)
Epoch [51/2000] | Sampled: 920.50 | Baseline: 578.44 | Improvement: -342.06 | Win Rate: 0.00% | Actor Loss: 14.8297 | Entropy: 1.5225 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5 | LR: 3.00e-04
Epoch [52/2000] | Sampled: 943.50 | Baseline: 594.25 | Improvement: -349.25 | Win Rate: 0.00% | Actor Loss: 2.5247 | Entropy: 1.5755 | Invalid S/B: 0.06/0.00 | Max Load: 20.7 | Load Gap: 1.3 | LR: 3.00e-04
Epoch [53/2000] | Sampled: 941.25 | Baseline: 580.94 | Improvement: -360.31 | Win Rate: 0.00% | Actor Loss: 7.7444 | Entropy: 1.5492 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4 | LR: 3.00e-04
Epoch [54/2000] | Sampled: 937.94 | Baseline: 596.69 | Improvement: -341.25 | Win Rate: 0.00% | Actor Loss: 3.8554 | Entropy: 1.5092 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.3 | LR: 3.00e-04
Epoch [55/2000] | Sampled: 936.00 | Baseline: 594.94 | Improvement: -341.06 | Win Rate: 0.00% | Actor Loss: 6.2217 | Entropy: 1.5009 | Invalid S/B: 0.06/0.00 | Max Load: 20.8 | Load Gap: 1.6 | LR: 3.00e-04
Epoch [56/2000] | Sampled: 928.56 | Baseline: 584.31 | Improvement: -344.25 | Win Rate: 0.00% | Actor Loss: 9.2475 | Entropy: 1.4745 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.2 | LR: 2.99e-04
Epoch [57/2000] | Sampled: 917.06 | Baseline: 586.19 | Improvement: -330.88 | Win Rate: 0.00% | Actor Loss: 19.6218 | Entropy: 1.4822 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4 | LR: 2.99e-04
Epoch [58/2000] | Sampled: 917.50 | Baseline: 596.75 | Improvement: -320.75 | Win Rate: 0.00% | Actor Loss: 5.0301 | Entropy: 1.5174 | Invalid S/B: 0.00/0.00 | Max Load: 20.3 | Load Gap: 0.6 | LR: 2.99e-04
Epoch [59/2000] | Sampled: 917.56 | Baseline: 594.12 | Improvement: -323.44 | Win Rate: 0.00% | Actor Loss: 3.0864 | Entropy: 1.5535 | Invalid S/B: 0.06/0.00 | Max Load: 20.9 | Load Gap: 1.6 | LR: 2.99e-04
Epoch [60/2000] | Sampled: 887.75 | Baseline: 590.62 | Improvement: -297.12 | Win Rate: 0.00% | Actor Loss: 2.7007 | Entropy: 1.5793 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
Epoch [61/2000] | Sampled: 900.31 | Baseline: 588.31 | Improvement: -312.00 | Win Rate: 0.00% | Actor Loss: 1.0074 | Entropy: 1.6297 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
Epoch [62/2000] | Sampled: 892.50 | Baseline: 589.56 | Improvement: -302.94 | Win Rate: 0.00% | Actor Loss: 5.5868 | Entropy: 1.6196 | Invalid S/B: 0.06/0.00 | Max Load: 20.4 | Load Gap: 0.9 | LR: 2.99e-04
Epoch [63/2000] | Sampled: 886.19 | Baseline: 579.88 | Improvement: -306.31 | Win Rate: 0.00% | Actor Loss: -7.3380 | Entropy: 1.6638 | Invalid S/B: 0.12/0.00 | Max Load: 20.9 | Load Gap: 1.6 | LR: 2.99e-04
Epoch [64/2000] | Sampled: 881.25 | Baseline: 594.25 | Improvement: -287.00 | Win Rate: 0.00% | Actor Loss: -1.4361 | Entropy: 1.6901 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6 | LR: 2.99e-04
Epoch [65/2000] | Sampled: 891.12 | Baseline: 579.62 | Improvement: -311.50 | Win Rate: 0.00% | Actor Loss: -1.3479 | Entropy: 1.6890 | Invalid S/B: 0.06/0.00 | Max Load: 20.8 | Load Gap: 1.7 | LR: 2.99e-04
Epoch [66/2000] | Sampled: 898.44 | Baseline: 591.38 | Improvement: -307.06 | Win Rate: 0.00% | Actor Loss: 11.7365 | Entropy: 1.6525 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
Epoch [67/2000] | Sampled: 888.69 | Baseline: 590.12 | Improvement: -298.56 | Win Rate: 0.00% | Actor Loss: 3.8381 | Entropy: 1.5995 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5 | LR: 2.99e-04
Epoch [68/2000] | Sampled: 891.44 | Baseline: 583.69 | Improvement: -307.75 | Win Rate: 0.00% | Actor Loss: 12.7866 | Entropy: 1.5414 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
Epoch [69/2000] | Sampled: 920.12 | Baseline: 599.31 | Improvement: -320.81 | Win Rate: 0.00% | Actor Loss: 0.4040 | Entropy: 1.5753 | Invalid S/B: 0.00/0.00 | Max Load: 20.5 | Load Gap: 0.9 | LR: 2.99e-04
Epoch [70/2000] | Sampled: 936.38 | Baseline: 597.44 | Improvement: -338.94 | Win Rate: 0.00% | Actor Loss: 9.8846 | Entropy: 1.5444 | Invalid S/B: 0.06/0.00 | Max Load: 20.5 | Load Gap: 1.0 | LR: 2.99e-04
Epoch [71/2000] | Sampled: 921.38 | Baseline: 587.38 | Improvement: -334.00 | Win Rate: 0.00% | Actor Loss: 10.1969 | Entropy: 1.5265 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
Epoch [72/2000] | Sampled: 937.19 | Baseline: 591.50 | Improvement: -345.69 | Win Rate: 0.00% | Actor Loss: 13.5368 | Entropy: 1.5428 | Invalid S/B: 0.06/0.00 | Max Load: 20.6 | Load Gap: 1.1 | LR: 2.99e-04
