Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [24/2000] | Sampled: 766.22 | Baseline: 762.00 | Improvement: -4.22 | Win Rate: 40.62% | Actor Loss: -0.2873 | Entropy: 3.1782 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [25/2000] | Sampled: 774.88 | Baseline: 767.22 | Improvement: -7.66 | Win Rate: 28.12% | Actor Loss: -1.4929 | Entropy: 3.1676 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [26/2000] | Sampled: 770.66 | Baseline: 765.81 | Improvement: -4.84 | Win Rate: 31.25% | Actor Loss: -0.9561 | Entropy: 3.1503 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [27/2000] | Sampled: 767.38 | Baseline: 761.84 | Improvement: -5.53 | Win Rate: 34.38% | Actor Loss: -0.9135 | Entropy: 3.1310 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1
Epoch [28/2000] | Sampled: 771.44 | Baseline: 766.47 | Improvement: -4.97 | Win Rate: 28.12% | Actor Loss: 0.5235 | Entropy: 3.1125 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [29/2000] | Sampled: 768.72 | Baseline: 762.19 | Improvement: -6.53 | Win Rate: 34.38% | Actor Loss: -0.7840 | Entropy: 3.1077 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [30/2000] | Sampled: 773.50 | Baseline: 768.44 | Improvement: -5.06 | Win Rate: 40.62% | Actor Loss: -0.6514 | Entropy: 3.0998 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [31/2000] | Sampled: 765.44 | Baseline: 757.06 | Improvement: -8.38 | Win Rate: 25.00% | Actor Loss: -1.1944 | Entropy: 3.1160 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [32/2000] | Sampled: 767.12 | Baseline: 756.44 | Improvement: -10.69 | Win Rate: 25.00% | Actor Loss: -3.1028 | Entropy: 3.1147 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [33/2000] | Sampled: 766.12 | Baseline: 764.44 | Improvement: -1.69 | Win Rate: 53.12% | Actor Loss: -0.9542 | Entropy: 3.0913 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [34/2000] | Sampled: 766.28 | Baseline: 760.06 | Improvement: -6.22 | Win Rate: 43.75% | Actor Loss: -3.9278 | Entropy: 3.0700 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [35/2000] | Sampled: 761.78 | Baseline: 760.84 | Improvement: -0.94 | Win Rate: 53.12% | Actor Loss: -1.8138 | Entropy: 3.0419 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [36/2000] | Sampled: 772.84 | Baseline: 767.88 | Improvement: -4.97 | Win Rate: 37.50% | Actor Loss: -1.4839 | Entropy: 3.0335 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [37/2000] | Sampled: 769.66 | Baseline: 761.62 | Improvement: -8.03 | Win Rate: 21.88% | Actor Loss: -1.2606 | Entropy: 3.0584 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [38/2000] | Sampled: 772.16 | Baseline: 771.41 | Improvement: -0.75 | Win Rate: 50.00% | Actor Loss: -1.5436 | Entropy: 3.0672 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [39/2000] | Sampled: 761.91 | Baseline: 758.94 | Improvement: -2.97 | Win Rate: 43.75% | Actor Loss: -1.1953 | Entropy: 3.0880 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [40/2000] | Sampled: 770.59 | Baseline: 761.50 | Improvement: -9.09 | Win Rate: 12.50% | Actor Loss: -1.1066 | Entropy: 3.1046 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [41/2000] | Sampled: 769.88 | Baseline: 763.72 | Improvement: -6.16 | Win Rate: 37.50% | Actor Loss: -3.1895 | Entropy: 3.1218 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [42/2000] | Sampled: 765.38 | Baseline: 766.00 | Improvement: 0.62 | Win Rate: 46.88% | Actor Loss: -1.4857 | Entropy: 3.1258 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [43/2000] | Sampled: 769.72 | Baseline: 766.78 | Improvement: -2.94 | Win Rate: 43.75% | Actor Loss: -0.6689 | Entropy: 3.1190 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [44/2000] | Sampled: 768.06 | Baseline: 764.59 | Improvement: -3.47 | Win Rate: 43.75% | Actor Loss: -2.2414 | Entropy: 3.1251 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [45/2000] | Sampled: 765.66 | Baseline: 758.41 | Improvement: -7.25 | Win Rate: 40.62% | Actor Loss: -2.1664 | Entropy: 3.1204 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [46/2000] | Sampled: 766.91 | Baseline: 766.25 | Improvement: -0.66 | Win Rate: 50.00% | Actor Loss: -1.5525 | Entropy: 3.1223 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [47/2000] | Sampled: 767.09 | Baseline: 760.72 | Improvement: -6.38 | Win Rate: 34.38% | Actor Loss: -2.1905 | Entropy: 3.1091 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [48/2000] | Sampled: 770.56 | Baseline: 765.03 | Improvement: -5.53 | Win Rate: 31.25% | Actor Loss: -1.7417 | Entropy: 3.0915 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [49/2000] | Sampled: 766.94 | Baseline: 765.72 | Improvement: -1.22 | Win Rate: 37.50% | Actor Loss: -1.7946 | Entropy: 3.0785 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [50/2000] | Sampled: 763.00 | Baseline: 761.34 | Improvement: -1.66 | Win Rate: 40.62% | Actor Loss: -0.6622 | Entropy: 3.0501 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.9
   -> Validation | Samples: 50 | Makespan: 804.18 | Invalid Jobs: 0.00
Epoch [51/2000] | Sampled: 763.47 | Baseline: 762.94 | Improvement: -0.53 | Win Rate: 53.12% | Actor Loss: -1.3396 | Entropy: 3.0406 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [52/2000] | Sampled: 762.03 | Baseline: 765.44 | Improvement: 3.41 | Win Rate: 53.12% | Actor Loss: -1.1797 | Entropy: 3.0143 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.1
Epoch [53/2000] | Sampled: 764.62 | Baseline: 767.09 | Improvement: 2.47 | Win Rate: 59.38% | Actor Loss: -1.2388 | Entropy: 2.9886 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [54/2000] | Sampled: 761.53 | Baseline: 768.53 | Improvement: 7.00 | Win Rate: 62.50% | Actor Loss: -1.9854 | Entropy: 2.9465 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [55/2000] | Sampled: 764.91 | Baseline: 770.94 | Improvement: 6.03 | Win Rate: 59.38% | Actor Loss: -2.1343 | Entropy: 2.8981 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [56/2000] | Sampled: 751.72 | Baseline: 763.69 | Improvement: 11.97 | Win Rate: 68.75% | Actor Loss: -2.5433 | Entropy: 2.8085 | Invalid S/B: 0.00/0.00 | Max Load: 20.5 | Load Gap: 1.1
Epoch [57/2000] | Sampled: 755.38 | Baseline: 767.53 | Improvement: 12.16 | Win Rate: 84.38% | Actor Loss: -1.7400 | Entropy: 2.7263 | Invalid S/B: 0.00/0.00 | Max Load: 20.5 | Load Gap: 1.1
Epoch [58/2000] | Sampled: 752.50 | Baseline: 762.06 | Improvement: 9.56 | Win Rate: 75.00% | Actor Loss: -4.1605 | Entropy: 2.6653 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [59/2000] | Sampled: 749.47 | Baseline: 767.94 | Improvement: 18.47 | Win Rate: 84.38% | Actor Loss: -2.8532 | Entropy: 2.5955 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [60/2000] | Sampled: 736.81 | Baseline: 764.09 | Improvement: 27.28 | Win Rate: 93.75% | Actor Loss: -1.6544 | Entropy: 2.4574 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
Epoch [61/2000] | Sampled: 734.50 | Baseline: 762.69 | Improvement: 28.19 | Win Rate: 96.88% | Actor Loss: -4.7110 | Entropy: 2.3114 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [62/2000] | Sampled: 735.94 | Baseline: 770.47 | Improvement: 34.53 | Win Rate: 96.88% | Actor Loss: -2.5156 | Entropy: 2.1873 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.2
Epoch [63/2000] | Sampled: 731.00 | Baseline: 762.59 | Improvement: 31.59 | Win Rate: 100.00% | Actor Loss: -3.3601 | Entropy: 2.0233 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [64/2000] | Sampled: 726.50 | Baseline: 764.22 | Improvement: 37.72 | Win Rate: 93.75% | Actor Loss: -5.1072 | Entropy: 1.9140 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.9
