Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [22/2000] | Sampled: 805.16 | Baseline: 770.44 | Improvement: -34.72 | Win Rate: 9.38% | Job Loss: 0.5332 | AMR Loss: -6.0473 | Entropy: 3.7247 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [23/2000] | Sampled: 789.84 | Baseline: 764.75 | Improvement: -25.09 | Win Rate: 9.38% | Job Loss: 1.0266 | AMR Loss: -5.2564 | Entropy: 3.7205 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [24/2000] | Sampled: 787.19 | Baseline: 762.00 | Improvement: -25.19 | Win Rate: 15.62% | Job Loss: -0.9935 | AMR Loss: -6.0350 | Entropy: 3.7030 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [25/2000] | Sampled: 793.16 | Baseline: 767.22 | Improvement: -25.94 | Win Rate: 15.62% | Job Loss: 0.7993 | AMR Loss: -6.8512 | Entropy: 3.6466 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.1
Epoch [26/2000] | Sampled: 782.94 | Baseline: 765.81 | Improvement: -17.12 | Win Rate: 18.75% | Job Loss: 0.4820 | AMR Loss: -5.1612 | Entropy: 3.6058 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [27/2000] | Sampled: 786.41 | Baseline: 761.84 | Improvement: -24.56 | Win Rate: 18.75% | Job Loss: -0.6319 | AMR Loss: -3.3444 | Entropy: 3.5618 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [28/2000] | Sampled: 784.28 | Baseline: 766.47 | Improvement: -17.81 | Win Rate: 25.00% | Job Loss: 0.2430 | AMR Loss: -3.5958 | Entropy: 3.5210 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [29/2000] | Sampled: 780.38 | Baseline: 762.19 | Improvement: -18.19 | Win Rate: 31.25% | Job Loss: 0.6886 | AMR Loss: -1.1875 | Entropy: 3.5065 | Invalid S/B: 0.03/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [30/2000] | Sampled: 782.91 | Baseline: 768.44 | Improvement: -14.47 | Win Rate: 18.75% | Job Loss: 0.3261 | AMR Loss: -4.2423 | Entropy: 3.4786 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [31/2000] | Sampled: 775.81 | Baseline: 757.06 | Improvement: -18.75 | Win Rate: 6.25% | Job Loss: -1.2914 | AMR Loss: -1.1210 | Entropy: 3.4642 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [32/2000] | Sampled: 772.47 | Baseline: 756.44 | Improvement: -16.03 | Win Rate: 12.50% | Job Loss: -0.9047 | AMR Loss: -3.1025 | Entropy: 3.4202 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [33/2000] | Sampled: 768.91 | Baseline: 764.44 | Improvement: -4.47 | Win Rate: 40.62% | Job Loss: 0.3406 | AMR Loss: -2.3185 | Entropy: 3.3728 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [34/2000] | Sampled: 768.47 | Baseline: 760.06 | Improvement: -8.41 | Win Rate: 25.00% | Job Loss: -0.8904 | AMR Loss: -4.3606 | Entropy: 3.3321 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [35/2000] | Sampled: 770.09 | Baseline: 760.84 | Improvement: -9.25 | Win Rate: 34.38% | Job Loss: 0.3027 | AMR Loss: -4.0625 | Entropy: 3.2902 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.8
Epoch [36/2000] | Sampled: 769.94 | Baseline: 767.88 | Improvement: -2.06 | Win Rate: 50.00% | Job Loss: -0.2556 | AMR Loss: -2.3310 | Entropy: 3.2778 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [37/2000] | Sampled: 771.06 | Baseline: 761.62 | Improvement: -9.44 | Win Rate: 25.00% | Job Loss: -0.9271 | AMR Loss: -1.2003 | Entropy: 3.2625 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.9
Epoch [38/2000] | Sampled: 774.69 | Baseline: 771.41 | Improvement: -3.28 | Win Rate: 31.25% | Job Loss: 0.3258 | AMR Loss: -1.7206 | Entropy: 3.2518 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [39/2000] | Sampled: 768.88 | Baseline: 758.94 | Improvement: -9.94 | Win Rate: 28.12% | Job Loss: -0.3133 | AMR Loss: -3.4643 | Entropy: 3.2611 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [40/2000] | Sampled: 774.03 | Baseline: 761.50 | Improvement: -12.53 | Win Rate: 28.12% | Job Loss: -0.3759 | AMR Loss: -2.1736 | Entropy: 3.2544 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [41/2000] | Sampled: 775.38 | Baseline: 763.72 | Improvement: -11.66 | Win Rate: 25.00% | Job Loss: -0.8697 | AMR Loss: -2.1417 | Entropy: 3.2625 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [42/2000] | Sampled: 766.59 | Baseline: 766.00 | Improvement: -0.59 | Win Rate: 50.00% | Job Loss: -1.2356 | AMR Loss: -0.9060 | Entropy: 3.2666 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [43/2000] | Sampled: 776.22 | Baseline: 766.78 | Improvement: -9.44 | Win Rate: 34.38% | Job Loss: -0.3491 | AMR Loss: -0.4598 | Entropy: 3.2542 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [44/2000] | Sampled: 768.69 | Baseline: 764.59 | Improvement: -4.09 | Win Rate: 34.38% | Job Loss: -0.5794 | AMR Loss: -0.9353 | Entropy: 3.2468 | Invalid S/B: 0.03/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [45/2000] | Sampled: 766.56 | Baseline: 758.41 | Improvement: -8.16 | Win Rate: 31.25% | Job Loss: -1.0714 | AMR Loss: -0.6285 | Entropy: 3.2471 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [46/2000] | Sampled: 770.19 | Baseline: 766.25 | Improvement: -3.94 | Win Rate: 50.00% | Job Loss: -0.6236 | AMR Loss: -1.3770 | Entropy: 3.2396 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [47/2000] | Sampled: 764.41 | Baseline: 760.72 | Improvement: -3.69 | Win Rate: 46.88% | Job Loss: -0.8206 | AMR Loss: -0.5018 | Entropy: 3.2348 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [48/2000] | Sampled: 773.59 | Baseline: 765.03 | Improvement: -8.56 | Win Rate: 25.00% | Job Loss: 0.2914 | AMR Loss: -1.1964 | Entropy: 3.2363 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [49/2000] | Sampled: 771.12 | Baseline: 765.72 | Improvement: -5.41 | Win Rate: 31.25% | Job Loss: -0.3821 | AMR Loss: -1.5619 | Entropy: 3.2390 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [50/2000] | Sampled: 767.50 | Baseline: 761.34 | Improvement: -6.16 | Win Rate: 31.25% | Job Loss: -0.4204 | AMR Loss: -0.7467 | Entropy: 3.2396 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
   -> Validation | Samples: 50 | Makespan: 771.98 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 771.98)
Epoch [51/2000] | Sampled: 770.41 | Baseline: 762.94 | Improvement: -7.47 | Win Rate: 40.62% | Job Loss: -0.4782 | AMR Loss: -3.0981 | Entropy: 3.2460 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [52/2000] | Sampled: 766.97 | Baseline: 765.44 | Improvement: -1.53 | Win Rate: 40.62% | Job Loss: -0.3261 | AMR Loss: -0.8549 | Entropy: 3.2480 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [53/2000] | Sampled: 773.34 | Baseline: 767.09 | Improvement: -6.25 | Win Rate: 34.38% | Job Loss: -1.1499 | AMR Loss: -1.6979 | Entropy: 3.2405 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [54/2000] | Sampled: 773.44 | Baseline: 768.53 | Improvement: -4.91 | Win Rate: 40.62% | Job Loss: -0.2797 | AMR Loss: -0.2281 | Entropy: 3.2319 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [55/2000] | Sampled: 778.66 | Baseline: 770.94 | Improvement: -7.72 | Win Rate: 34.38% | Job Loss: -0.2737 | AMR Loss: -0.3093 | Entropy: 3.2302 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [56/2000] | Sampled: 769.28 | Baseline: 763.69 | Improvement: -5.59 | Win Rate: 31.25% | Job Loss: -0.4848 | AMR Loss: -0.7051 | Entropy: 3.2283 | Invalid S/B: 0.03/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [57/2000] | Sampled: 770.66 | Baseline: 767.53 | Improvement: -3.12 | Win Rate: 43.75% | Job Loss: 0.0490 | AMR Loss: 0.9845 | Entropy: 3.2302 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [58/2000] | Sampled: 771.84 | Baseline: 762.06 | Improvement: -9.78 | Win Rate: 25.00% | Job Loss: -0.4402 | AMR Loss: -0.3060 | Entropy: 3.2338 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
