Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [32/1000] | Sampled: 2004.50 | Baseline: 702.75 | Improvement: -1301.75 | Win Rate: 0.00% | Job Loss: 0.7491 | AMR Loss: 3.5715 | Entropy: 1.7023
Epoch [33/1000] | Sampled: 1994.81 | Baseline: 681.62 | Improvement: -1313.19 | Win Rate: 0.00% | Job Loss: -6.3645 | AMR Loss: 2.1236 | Entropy: 1.6560
Epoch [34/1000] | Sampled: 2068.62 | Baseline: 720.19 | Improvement: -1348.44 | Win Rate: 0.00% | Job Loss: -3.8247 | AMR Loss: 1.9606 | Entropy: 1.5885
Epoch [35/1000] | Sampled: 2024.94 | Baseline: 678.94 | Improvement: -1346.00 | Win Rate: 0.00% | Job Loss: -4.8500 | AMR Loss: 1.8339 | Entropy: 1.6022
Epoch [36/1000] | Sampled: 2060.75 | Baseline: 690.06 | Improvement: -1370.69 | Win Rate: 0.00% | Job Loss: -3.7798 | AMR Loss: 2.0508 | Entropy: 1.5343
Epoch [37/1000] | Sampled: 2048.19 | Baseline: 700.56 | Improvement: -1347.62 | Win Rate: 0.00% | Job Loss: -1.7077 | AMR Loss: 2.3815 | Entropy: 1.4790
Epoch [38/1000] | Sampled: 2070.06 | Baseline: 710.81 | Improvement: -1359.25 | Win Rate: 0.00% | Job Loss: -7.2651 | AMR Loss: 2.6441 | Entropy: 1.4857
Epoch [39/1000] | Sampled: 2012.88 | Baseline: 693.69 | Improvement: -1319.19 | Win Rate: 0.00% | Job Loss: -7.5616 | AMR Loss: 3.2603 | Entropy: 1.4666
Epoch [40/1000] | Sampled: 2062.62 | Baseline: 688.62 | Improvement: -1374.00 | Win Rate: 0.00% | Job Loss: -7.7298 | AMR Loss: 1.9539 | Entropy: 1.4279
Epoch [41/1000] | Sampled: 2006.31 | Baseline: 707.38 | Improvement: -1298.94 | Win Rate: 0.00% | Job Loss: -7.9690 | AMR Loss: 2.6793 | Entropy: 1.4190
Epoch [42/1000] | Sampled: 2053.94 | Baseline: 688.12 | Improvement: -1365.81 | Win Rate: 0.00% | Job Loss: -7.4852 | AMR Loss: 1.3514 | Entropy: 1.3406
Epoch [43/1000] | Sampled: 2051.31 | Baseline: 692.56 | Improvement: -1358.75 | Win Rate: 0.00% | Job Loss: -11.4856 | AMR Loss: 1.3146 | Entropy: 1.3695
Epoch [44/1000] | Sampled: 2033.69 | Baseline: 678.62 | Improvement: -1355.06 | Win Rate: 0.00% | Job Loss: -12.0590 | AMR Loss: 2.4435 | Entropy: 1.3417
Epoch [45/1000] | Sampled: 2073.81 | Baseline: 706.69 | Improvement: -1367.12 | Win Rate: 0.00% | Job Loss: -8.5100 | AMR Loss: 1.8677 | Entropy: 1.2449
Epoch [46/1000] | Sampled: 2072.56 | Baseline: 703.69 | Improvement: -1368.88 | Win Rate: 0.00% | Job Loss: -9.8094 | AMR Loss: 2.6469 | Entropy: 1.2292
Epoch [47/1000] | Sampled: 2076.94 | Baseline: 679.56 | Improvement: -1397.38 | Win Rate: 0.00% | Job Loss: -9.8880 | AMR Loss: 1.4289 | Entropy: 1.2138
Epoch [48/1000] | Sampled: 2053.38 | Baseline: 691.62 | Improvement: -1361.75 | Win Rate: 0.00% | Job Loss: -9.5979 | AMR Loss: 1.6757 | Entropy: 1.2144
Epoch [49/1000] | Sampled: 2041.00 | Baseline: 685.88 | Improvement: -1355.12 | Win Rate: 0.00% | Job Loss: -13.2175 | AMR Loss: 2.9118 | Entropy: 1.1637
Epoch [50/1000] | Sampled: 2032.44 | Baseline: 680.31 | Improvement: -1352.12 | Win Rate: 0.00% | Job Loss: -13.1527 | AMR Loss: 1.7003 | Entropy: 1.1500
Epoch [51/1000] | Sampled: 2073.81 | Baseline: 699.25 | Improvement: -1374.56 | Win Rate: 0.00% | Job Loss: -6.6439 | AMR Loss: 1.8199 | Entropy: 1.1586
Epoch [52/1000] | Sampled: 2068.25 | Baseline: 700.19 | Improvement: -1368.06 | Win Rate: 0.00% | Job Loss: -11.0066 | AMR Loss: 1.3818 | Entropy: 1.1813
Epoch [53/1000] | Sampled: 2057.50 | Baseline: 692.19 | Improvement: -1365.31 | Win Rate: 0.00% | Job Loss: -10.0361 | AMR Loss: 1.7809 | Entropy: 1.2015
Epoch [54/1000] | Sampled: 2048.75 | Baseline: 695.00 | Improvement: -1353.75 | Win Rate: 0.00% | Job Loss: -11.4516 | AMR Loss: 1.6087 | Entropy: 1.1666
Epoch [55/1000] | Sampled: 2052.00 | Baseline: 683.44 | Improvement: -1368.56 | Win Rate: 0.00% | Job Loss: -12.9823 | AMR Loss: 1.9085 | Entropy: 1.1803
Epoch [56/1000] | Sampled: 2057.44 | Baseline: 687.69 | Improvement: -1369.75 | Win Rate: 0.00% | Job Loss: -12.1340 | AMR Loss: 1.1508 | Entropy: 1.1569
Epoch [57/1000] | Sampled: 2041.56 | Baseline: 682.62 | Improvement: -1358.94 | Win Rate: 0.00% | Job Loss: -13.0683 | AMR Loss: 0.8484 | Entropy: 1.1734
Epoch [58/1000] | Sampled: 2073.69 | Baseline: 693.62 | Improvement: -1380.06 | Win Rate: 0.00% | Job Loss: -16.0656 | AMR Loss: 1.2637 | Entropy: 1.1622
Epoch [59/1000] | Sampled: 2060.62 | Baseline: 687.25 | Improvement: -1373.38 | Win Rate: 0.00% | Job Loss: -12.3842 | AMR Loss: 1.6016 | Entropy: 1.1415
Epoch [60/1000] | Sampled: 2000.00 | Baseline: 701.12 | Improvement: -1298.88 | Win Rate: 0.00% | Job Loss: -7.7784 | AMR Loss: 2.4455 | Entropy: 1.1461
Epoch [61/1000] | Sampled: 2033.00 | Baseline: 691.94 | Improvement: -1341.06 | Win Rate: 0.00% | Job Loss: -7.7157 | AMR Loss: 2.4083 | Entropy: 1.1674
Epoch [62/1000] | Sampled: 2025.69 | Baseline: 691.25 | Improvement: -1334.44 | Win Rate: 0.00% | Job Loss: -2.2932 | AMR Loss: 0.9545 | Entropy: 1.2062
Epoch [63/1000] | Sampled: 2059.69 | Baseline: 680.19 | Improvement: -1379.50 | Win Rate: 0.00% | Job Loss: -5.4227 | AMR Loss: 0.9827 | Entropy: 1.1290
Epoch [64/1000] | Sampled: 2031.88 | Baseline: 681.44 | Improvement: -1350.44 | Win Rate: 0.00% | Job Loss: -8.8313 | AMR Loss: 1.4258 | Entropy: 1.1125
Epoch [65/1000] | Sampled: 2088.25 | Baseline: 683.31 | Improvement: -1404.94 | Win Rate: 0.00% | Job Loss: -6.9238 | AMR Loss: 1.1817 | Entropy: 1.1294
Epoch [66/1000] | Sampled: 2065.88 | Baseline: 686.19 | Improvement: -1379.69 | Win Rate: 0.00% | Job Loss: -8.5573 | AMR Loss: 0.6982 | Entropy: 1.1322
Epoch [67/1000] | Sampled: 2058.69 | Baseline: 675.50 | Improvement: -1383.19 | Win Rate: 0.00% | Job Loss: -7.9000 | AMR Loss: 1.3391 | Entropy: 1.1112
Epoch [68/1000] | Sampled: 2062.00 | Baseline: 694.38 | Improvement: -1367.62 | Win Rate: 0.00% | Job Loss: -8.0480 | AMR Loss: 1.0125 | Entropy: 1.1125
Epoch [69/1000] | Sampled: 2052.12 | Baseline: 690.56 | Improvement: -1361.56 | Win Rate: 0.00% | Job Loss: -7.4972 | AMR Loss: 2.1898 | Entropy: 1.1042
Epoch [70/1000] | Sampled: 2109.62 | Baseline: 690.44 | Improvement: -1419.19 | Win Rate: 0.00% | Job Loss: -4.4517 | AMR Loss: 0.4307 | Entropy: 1.1042
