Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [22/2000] | Sampled: 802.75 | Baseline: 770.44 | Improvement: -32.31 | Win Rate: 12.50% | Job Loss: 0.6486 | AMR Loss: -6.4681 | Entropy: 3.7299 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.9
Epoch [23/2000] | Sampled: 794.31 | Baseline: 764.75 | Improvement: -29.56 | Win Rate: 9.38% | Job Loss: -0.2094 | AMR Loss: -4.8623 | Entropy: 3.7229 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.9
Epoch [24/2000] | Sampled: 790.06 | Baseline: 762.00 | Improvement: -28.06 | Win Rate: 9.38% | Job Loss: 0.7926 | AMR Loss: -5.5059 | Entropy: 3.7031 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [25/2000] | Sampled: 795.94 | Baseline: 767.22 | Improvement: -28.72 | Win Rate: 6.25% | Job Loss: 0.1597 | AMR Loss: -5.4072 | Entropy: 3.6911 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [26/2000] | Sampled: 787.72 | Baseline: 765.81 | Improvement: -21.91 | Win Rate: 12.50% | Job Loss: 0.5676 | AMR Loss: -6.7047 | Entropy: 3.6690 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.9
Epoch [27/2000] | Sampled: 779.91 | Baseline: 761.84 | Improvement: -18.06 | Win Rate: 15.62% | Job Loss: -0.7529 | AMR Loss: -3.1293 | Entropy: 3.6343 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [28/2000] | Sampled: 792.69 | Baseline: 766.47 | Improvement: -26.22 | Win Rate: 18.75% | Job Loss: 0.6866 | AMR Loss: -6.8796 | Entropy: 3.5787 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.9
Epoch [29/2000] | Sampled: 786.72 | Baseline: 762.19 | Improvement: -24.53 | Win Rate: 9.38% | Job Loss: 1.4662 | AMR Loss: -4.7480 | Entropy: 3.5370 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [30/2000] | Sampled: 778.34 | Baseline: 768.44 | Improvement: -9.91 | Win Rate: 25.00% | Job Loss: 0.1697 | AMR Loss: -3.4093 | Entropy: 3.4874 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [31/2000] | Sampled: 774.22 | Baseline: 757.06 | Improvement: -17.16 | Win Rate: 12.50% | Job Loss: -0.1561 | AMR Loss: -1.5110 | Entropy: 3.4600 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.9
Epoch [32/2000] | Sampled: 771.84 | Baseline: 756.44 | Improvement: -15.41 | Win Rate: 15.62% | Job Loss: -0.5201 | AMR Loss: -1.9580 | Entropy: 3.4408 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [33/2000] | Sampled: 773.25 | Baseline: 764.44 | Improvement: -8.81 | Win Rate: 28.12% | Job Loss: -0.5127 | AMR Loss: -2.7881 | Entropy: 3.3910 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.7
Epoch [34/2000] | Sampled: 769.16 | Baseline: 760.06 | Improvement: -9.09 | Win Rate: 25.00% | Job Loss: -1.5874 | AMR Loss: -4.1069 | Entropy: 3.3044 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 1.8
Epoch [35/2000] | Sampled: 769.72 | Baseline: 760.84 | Improvement: -8.88 | Win Rate: 31.25% | Job Loss: -1.0582 | AMR Loss: -3.3900 | Entropy: 3.1943 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [36/2000] | Sampled: 768.78 | Baseline: 767.88 | Improvement: -0.91 | Win Rate: 50.00% | Job Loss: -2.3085 | AMR Loss: -2.1438 | Entropy: 3.0563 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [37/2000] | Sampled: 770.31 | Baseline: 761.62 | Improvement: -8.69 | Win Rate: 31.25% | Job Loss: -2.0246 | AMR Loss: -3.2127 | Entropy: 2.9197 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [38/2000] | Sampled: 772.19 | Baseline: 771.41 | Improvement: -0.78 | Win Rate: 50.00% | Job Loss: -2.1136 | AMR Loss: -2.1284 | Entropy: 2.8081 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [39/2000] | Sampled: 768.00 | Baseline: 758.94 | Improvement: -9.06 | Win Rate: 31.25% | Job Loss: -0.8541 | AMR Loss: -1.9901 | Entropy: 2.7951 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [40/2000] | Sampled: 770.44 | Baseline: 761.50 | Improvement: -8.94 | Win Rate: 37.50% | Job Loss: -0.9128 | AMR Loss: -2.4595 | Entropy: 2.7775 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [41/2000] | Sampled: 768.81 | Baseline: 763.72 | Improvement: -5.09 | Win Rate: 37.50% | Job Loss: -1.0983 | AMR Loss: -1.6310 | Entropy: 2.8024 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [42/2000] | Sampled: 767.47 | Baseline: 766.00 | Improvement: -1.47 | Win Rate: 50.00% | Job Loss: -0.1395 | AMR Loss: -2.2079 | Entropy: 2.7673 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [43/2000] | Sampled: 773.06 | Baseline: 766.78 | Improvement: -6.28 | Win Rate: 31.25% | Job Loss: -1.4583 | AMR Loss: -3.0928 | Entropy: 2.8061 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.5
Epoch [44/2000] | Sampled: 769.84 | Baseline: 764.59 | Improvement: -5.25 | Win Rate: 40.62% | Job Loss: 0.2885 | AMR Loss: -0.5395 | Entropy: 2.8168 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
Epoch [45/2000] | Sampled: 765.72 | Baseline: 758.41 | Improvement: -7.31 | Win Rate: 34.38% | Job Loss: -0.6637 | AMR Loss: -2.3550 | Entropy: 2.8852 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [46/2000] | Sampled: 766.53 | Baseline: 766.25 | Improvement: -0.28 | Win Rate: 50.00% | Job Loss: 1.4132 | AMR Loss: 0.1955 | Entropy: 2.9138 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [47/2000] | Sampled: 771.06 | Baseline: 760.72 | Improvement: -10.34 | Win Rate: 25.00% | Job Loss: 0.3818 | AMR Loss: -0.8686 | Entropy: 2.9904 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [48/2000] | Sampled: 773.94 | Baseline: 765.03 | Improvement: -8.91 | Win Rate: 18.75% | Job Loss: -0.5230 | AMR Loss: -1.8375 | Entropy: 3.1026 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
