Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [34/2000] | Sampled: 1975.19 | Baseline: 720.12 | Improvement: -1255.06 | Win Rate: 0.00% | Actor Loss: 13.6215 | Entropy: 2.5533
Epoch [35/2000] | Sampled: 2088.94 | Baseline: 751.62 | Improvement: -1337.31 | Win Rate: 0.00% | Actor Loss: 7.8678 | Entropy: 2.5607
Epoch [36/2000] | Sampled: 1374.19 | Baseline: 480.81 | Improvement: -893.38 | Win Rate: 0.00% | Actor Loss: 1.3386 | Entropy: 1.8503
Epoch [37/2000] | Sampled: 1698.56 | Baseline: 596.31 | Improvement: -1102.25 | Win Rate: 0.00% | Actor Loss: 13.4522 | Entropy: 1.6111
Epoch [38/2000] | Sampled: 2234.12 | Baseline: 785.75 | Improvement: -1448.38 | Win Rate: 0.00% | Actor Loss: 13.1267 | Entropy: 1.6303
Epoch [39/2000] | Sampled: 2029.00 | Baseline: 724.62 | Improvement: -1304.38 | Win Rate: 0.00% | Actor Loss: 7.5016 | Entropy: 1.6957
Epoch [40/2000] | Sampled: 2112.62 | Baseline: 777.81 | Improvement: -1334.81 | Win Rate: 0.00% | Actor Loss: 13.9892 | Entropy: 1.8919
Epoch [41/2000] | Sampled: 2166.19 | Baseline: 739.25 | Improvement: -1426.94 | Win Rate: 0.00% | Actor Loss: 13.3602 | Entropy: 1.5631
Epoch [42/2000] | Sampled: 1861.94 | Baseline: 657.88 | Improvement: -1204.06 | Win Rate: 0.00% | Actor Loss: 23.6355 | Entropy: 1.5339
Epoch [43/2000] | Sampled: 2238.56 | Baseline: 752.44 | Improvement: -1486.12 | Win Rate: 0.00% | Actor Loss: 1.0790 | Entropy: 1.4748
Epoch [44/2000] | Sampled: 2270.00 | Baseline: 776.62 | Improvement: -1493.38 | Win Rate: 0.00% | Actor Loss: 20.3809 | Entropy: 1.2937
Epoch [45/2000] | Sampled: 1950.75 | Baseline: 664.06 | Improvement: -1286.69 | Win Rate: 0.00% | Actor Loss: 0.1948 | Entropy: 1.2840
Epoch [46/2000] | Sampled: 1779.62 | Baseline: 659.50 | Improvement: -1120.12 | Win Rate: 0.00% | Actor Loss: 2.8748 | Entropy: 1.7933
Epoch [47/2000] | Sampled: 2051.44 | Baseline: 720.19 | Improvement: -1331.25 | Win Rate: 0.00% | Actor Loss: -8.2181 | Entropy: 1.5928
Epoch [48/2000] | Sampled: 1956.25 | Baseline: 659.94 | Improvement: -1296.31 | Win Rate: 0.00% | Actor Loss: -20.8730 | Entropy: 1.7273
Epoch [49/2000] | Sampled: 1748.31 | Baseline: 600.00 | Improvement: -1148.31 | Win Rate: 0.00% | Actor Loss: 5.4092 | Entropy: 1.8437
Epoch [50/2000] | Sampled: 1999.75 | Baseline: 710.12 | Improvement: -1289.62 | Win Rate: 0.00% | Actor Loss: -4.1434 | Entropy: 1.9354
Epoch [51/2000] | Sampled: 1980.38 | Baseline: 705.88 | Improvement: -1274.50 | Win Rate: 0.00% | Actor Loss: 7.3809 | Entropy: 1.9592
Epoch [52/2000] | Sampled: 1634.06 | Baseline: 563.38 | Improvement: -1070.69 | Win Rate: 0.00% | Actor Loss: 16.7139 | Entropy: 1.5180
Epoch [53/2000] | Sampled: 1734.88 | Baseline: 599.12 | Improvement: -1135.75 | Win Rate: 0.00% | Actor Loss: -16.9927 | Entropy: 1.7158
Epoch [54/2000] | Sampled: 1904.31 | Baseline: 655.94 | Improvement: -1248.38 | Win Rate: 0.00% | Actor Loss: 14.8447 | Entropy: 1.5189
Epoch [55/2000] | Sampled: 2227.81 | Baseline: 770.75 | Improvement: -1457.06 | Win Rate: 0.00% | Actor Loss: -1.8770 | Entropy: 1.5368
Epoch [56/2000] | Sampled: 1701.00 | Baseline: 580.50 | Improvement: -1120.50 | Win Rate: 0.00% | Actor Loss: -12.1225 | Entropy: 1.4179
Epoch [57/2000] | Sampled: 2212.62 | Baseline: 744.56 | Improvement: -1468.06 | Win Rate: 0.00% | Actor Loss: -5.5545 | Entropy: 1.7210
Epoch [58/2000] | Sampled: 2184.62 | Baseline: 729.12 | Improvement: -1455.50 | Win Rate: 0.00% | Actor Loss: -12.6873 | Entropy: 1.8061
Epoch [59/2000] | Sampled: 1911.75 | Baseline: 663.81 | Improvement: -1247.94 | Win Rate: 0.00% | Actor Loss: -50.7531 | Entropy: 1.7155
Epoch [60/2000] | Sampled: 2498.44 | Baseline: 830.44 | Improvement: -1668.00 | Win Rate: 0.00% | Actor Loss: 9.6022 | Entropy: 1.7220
Epoch [61/2000] | Sampled: 2200.75 | Baseline: 737.44 | Improvement: -1463.31 | Win Rate: 0.00% | Actor Loss: -2.8246 | Entropy: 1.7215
Epoch [62/2000] | Sampled: 1817.38 | Baseline: 612.44 | Improvement: -1204.94 | Win Rate: 0.00% | Actor Loss: -10.0726 | Entropy: 1.6086
Epoch [63/2000] | Sampled: 1784.25 | Baseline: 603.25 | Improvement: -1181.00 | Win Rate: 0.00% | Actor Loss: -67.1617 | Entropy: 1.4303
Epoch [64/2000] | Sampled: 1982.50 | Baseline: 650.69 | Improvement: -1331.81 | Win Rate: 0.00% | Actor Loss: -28.8338 | Entropy: 1.3605
Epoch [65/2000] | Sampled: 1987.25 | Baseline: 665.31 | Improvement: -1321.94 | Win Rate: 0.00% | Actor Loss: -4.1963 | Entropy: 1.3907
Epoch [66/2000] | Sampled: 1809.44 | Baseline: 605.75 | Improvement: -1203.69 | Win Rate: 0.00% | Actor Loss: -8.2785 | Entropy: 1.3989
Epoch [67/2000] | Sampled: 2177.00 | Baseline: 734.06 | Improvement: -1442.94 | Win Rate: 0.00% | Actor Loss: -274.2876 | Entropy: 1.2456
Epoch [68/2000] | Sampled: 2076.12 | Baseline: 692.25 | Improvement: -1383.88 | Win Rate: 0.00% | Actor Loss: -33.3740 | Entropy: 1.1473
Epoch [69/2000] | Sampled: 2031.62 | Baseline: 662.81 | Improvement: -1368.81 | Win Rate: 0.00% | Actor Loss: 7.6832 | Entropy: 1.0478
Epoch [70/2000] | Sampled: 1947.62 | Baseline: 646.00 | Improvement: -1301.62 | Win Rate: 0.00% | Actor Loss: -159.4510 | Entropy: 0.9900
Epoch [71/2000] | Sampled: 2685.06 | Baseline: 860.94 | Improvement: -1824.12 | Win Rate: 0.00% | Actor Loss: -37.2459 | Entropy: 1.1738
Epoch [72/2000] | Sampled: 2634.56 | Baseline: 854.19 | Improvement: -1780.38 | Win Rate: 0.00% | Actor Loss: -74.6030 | Entropy: 1.2929
Epoch [73/2000] | Sampled: 2128.44 | Baseline: 706.25 | Improvement: -1422.19 | Win Rate: 0.00% | Actor Loss: 104.5686 | Entropy: 1.3322
Epoch [74/2000] | Sampled: 2121.50 | Baseline: 711.94 | Improvement: -1409.56 | Win Rate: 0.00% | Actor Loss: 121.2924 | Entropy: 1.3212
Epoch [75/2000] | Sampled: 1826.62 | Baseline: 634.12 | Improvement: -1192.50 | Win Rate: 0.00% | Actor Loss: 279.0849 | Entropy: 1.2854
Epoch [76/2000] | Sampled: 2111.31 | Baseline: 709.50 | Improvement: -1401.81 | Win Rate: 0.00% | Actor Loss: 10.0790 | Entropy: 1.1527
Epoch [77/2000] | Sampled: 2219.19 | Baseline: 719.38 | Improvement: -1499.81 | Win Rate: 0.00% | Actor Loss: 134.5007 | Entropy: 0.9674
Epoch [78/2000] | Sampled: 2397.69 | Baseline: 776.69 | Improvement: -1621.00 | Win Rate: 0.00% | Actor Loss: 190.7790 | Entropy: 0.9425
Epoch [79/2000] | Sampled: 2253.25 | Baseline: 736.00 | Improvement: -1517.25 | Win Rate: 0.00% | Actor Loss: -448.7322 | Entropy: 0.9218
Epoch [80/2000] | Sampled: 2444.88 | Baseline: 786.88 | Improvement: -1658.00 | Win Rate: 0.00% | Actor Loss: 66.3124 | Entropy: 0.9541
Epoch [81/2000] | Sampled: 2435.44 | Baseline: 796.62 | Improvement: -1638.81 | Win Rate: 0.00% | Actor Loss: -14.3249 | Entropy: 1.0340
Epoch [82/2000] | Sampled: 2127.62 | Baseline: 704.25 | Improvement: -1423.38 | Win Rate: 0.00% | Actor Loss: -337.2817 | Entropy: 0.9680
Epoch [83/2000] | Sampled: 1985.56 | Baseline: 650.81 | Improvement: -1334.75 | Win Rate: 0.00% | Actor Loss: -326.0425 | Entropy: 0.9800
Epoch [84/2000] | Sampled: 2509.00 | Baseline: 818.75 | Improvement: -1690.25 | Win Rate: 0.00% | Actor Loss: -3.3146 | Entropy: 1.1359
Epoch [85/2000] | Sampled: 2290.69 | Baseline: 747.19 | Improvement: -1543.50 | Win Rate: 0.00% | Actor Loss: 1.4885 | Entropy: 1.1306
Epoch [86/2000] | Sampled: 2373.81 | Baseline: 793.44 | Improvement: -1580.38 | Win Rate: 0.00% | Actor Loss: -40.9211 | Entropy: 1.1240
Epoch [87/2000] | Sampled: 2001.25 | Baseline: 649.00 | Improvement: -1352.25 | Win Rate: 0.00% | Actor Loss: 23.3958 | Entropy: 0.9902
Epoch [88/2000] | Sampled: 2645.69 | Baseline: 856.50 | Improvement: -1789.19 | Win Rate: 0.00% | Actor Loss: 36.7422 | Entropy: 1.2217
Epoch [89/2000] | Sampled: 1905.69 | Baseline: 649.50 | Improvement: -1256.19 | Win Rate: 0.00% | Actor Loss: -6.9079 | Entropy: 1.0572
Epoch [90/2000] | Sampled: 1848.88 | Baseline: 619.06 | Improvement: -1229.81 | Win Rate: 0.00% | Actor Loss: 7.2811 | Entropy: 1.0122
Epoch [91/2000] | Sampled: 2319.00 | Baseline: 764.94 | Improvement: -1554.06 | Win Rate: 0.00% | Actor Loss: 312.0610 | Entropy: 1.2612
Epoch [92/2000] | Sampled: 2312.69 | Baseline: 797.38 | Improvement: -1515.31 | Win Rate: 0.00% | Actor Loss: 14.7249 | Entropy: 1.6074
Epoch [93/2000] | Sampled: 2321.25 | Baseline: 770.50 | Improvement: -1550.75 | Win Rate: 0.00% | Actor Loss: -22.3717 | Entropy: 1.8485
Epoch [94/2000] | Sampled: 2612.25 | Baseline: 855.94 | Improvement: -1756.31 | Win Rate: 0.00% | Actor Loss: -9.4398 | Entropy: 2.0460
Epoch [95/2000] | Sampled: 1836.88 | Baseline: 618.12 | Improvement: -1218.75 | Win Rate: 0.00% | Actor Loss: -15.6119 | Entropy: 1.7314
Epoch [96/2000] | Sampled: 1866.00 | Baseline: 635.94 | Improvement: -1230.06 | Win Rate: 0.00% | Actor Loss: 5.5912 | Entropy: 1.6685
Epoch [97/2000] | Sampled: 2327.12 | Baseline: 765.00 | Improvement: -1562.12 | Win Rate: 0.00% | Actor Loss: -23.9659 | Entropy: 1.9182
Epoch [98/2000] | Sampled: 2490.50 | Baseline: 798.19 | Improvement: -1692.31 | Win Rate: 0.00% | Actor Loss: -8.9311 | Entropy: 1.8821
