Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 794.88 | Baseline: 552.50 | Improvement: -242.38 | Win Rate: 0.00% | Actor Loss: -37.6511 | Entropy: 4.0738 | Invalid S/B: 0.56/0.00 | Max Load: 14.4 | Load Gap: 4.8
   -> Validation | Samples: 50 | Makespan: 1375.40 | Invalid Jobs: 1.92 | Score: 3295.40
   -> Saved new best model (Val Score: 3295.40)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/extend_GNN/extend_gnn_training_metrics.png
Epoch [2/2000] | Sampled: 780.50 | Baseline: 555.94 | Improvement: -224.56 | Win Rate: 0.00% | Actor Loss: -39.0006 | Entropy: 4.0115 | Invalid S/B: 0.31/0.00 | Max Load: 13.9 | Load Gap: 4.2
Epoch [3/2000] | Sampled: 770.19 | Baseline: 555.81 | Improvement: -214.38 | Win Rate: 0.00% | Actor Loss: -39.7955 | Entropy: 3.9955 | Invalid S/B: 0.50/0.00 | Max Load: 14.1 | Load Gap: 4.1
Epoch [4/2000] | Sampled: 764.00 | Baseline: 553.44 | Improvement: -210.56 | Win Rate: 0.00% | Actor Loss: -35.7096 | Entropy: 3.9921 | Invalid S/B: 0.62/0.00 | Max Load: 14.2 | Load Gap: 4.2
Epoch [5/2000] | Sampled: 804.50 | Baseline: 562.31 | Improvement: -242.19 | Win Rate: 0.00% | Actor Loss: -35.4468 | Entropy: 3.9599 | Invalid S/B: 0.38/0.00 | Max Load: 14.5 | Load Gap: 4.6
Epoch [6/2000] | Sampled: 799.38 | Baseline: 560.44 | Improvement: -238.94 | Win Rate: 0.00% | Actor Loss: -30.5979 | Entropy: 3.9215 | Invalid S/B: 0.25/0.00 | Max Load: 14.2 | Load Gap: 4.4
Epoch [7/2000] | Sampled: 780.00 | Baseline: 555.94 | Improvement: -224.06 | Win Rate: 0.00% | Actor Loss: -36.8046 | Entropy: 3.9305 | Invalid S/B: 0.19/0.00 | Max Load: 14.1 | Load Gap: 4.1
Epoch [8/2000] | Sampled: 775.62 | Baseline: 558.56 | Improvement: -217.06 | Win Rate: 0.00% | Actor Loss: -37.0168 | Entropy: 3.9205 | Invalid S/B: 0.38/0.00 | Max Load: 14.9 | Load Gap: 5.3
Epoch [9/2000] | Sampled: 796.00 | Baseline: 552.19 | Improvement: -243.81 | Win Rate: 0.00% | Actor Loss: -35.9897 | Entropy: 3.9367 | Invalid S/B: 0.25/0.00 | Max Load: 14.1 | Load Gap: 4.2
Epoch [10/2000] | Sampled: 805.25 | Baseline: 557.88 | Improvement: -247.38 | Win Rate: 0.00% | Actor Loss: -37.6108 | Entropy: 3.9314 | Invalid S/B: 0.31/0.00 | Max Load: 14.0 | Load Gap: 4.0
Epoch [11/2000] | Sampled: 782.25 | Baseline: 555.25 | Improvement: -227.00 | Win Rate: 0.00% | Actor Loss: -38.4845 | Entropy: 3.9293 | Invalid S/B: 0.38/0.00 | Max Load: 14.4 | Load Gap: 4.4
Epoch [12/2000] | Sampled: 802.19 | Baseline: 560.56 | Improvement: -241.62 | Win Rate: 0.00% | Actor Loss: -34.9443 | Entropy: 3.9141 | Invalid S/B: 0.38/0.00 | Max Load: 14.6 | Load Gap: 4.6
