Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [35/1500] | Sampled: 800.50 | Baseline: 673.25 | Improvement: -127.25 | Win Rate: 0.00% | Actor Loss: -476.8973 | Entropy: 3.3943
Epoch [36/1500] | Sampled: 1455.50 | Baseline: 1044.50 | Improvement: -411.00 | Win Rate: 0.00% | Actor Loss: -1326.6753 | Entropy: 3.4725
Epoch [37/1500] | Sampled: 1584.00 | Baseline: 1091.25 | Improvement: -492.75 | Win Rate: 0.00% | Actor Loss: -1509.6458 | Entropy: 3.5873
Epoch [38/1500] | Sampled: 1763.00 | Baseline: 974.75 | Improvement: -788.25 | Win Rate: 0.00% | Actor Loss: -2285.7023 | Entropy: 3.3966
Epoch [39/1500] | Sampled: 1250.75 | Baseline: 902.50 | Improvement: -348.25 | Win Rate: 0.00% | Actor Loss: -1071.8316 | Entropy: 3.3278
Epoch [40/1500] | Sampled: 1315.00 | Baseline: 1130.00 | Improvement: -185.00 | Win Rate: 25.00% | Actor Loss: -531.7424 | Entropy: 3.3334
Epoch [41/1500] | Sampled: 1343.50 | Baseline: 1243.75 | Improvement: -99.75 | Win Rate: 25.00% | Actor Loss: -141.6892 | Entropy: 3.4389
Epoch [42/1500] | Sampled: 1458.50 | Baseline: 1033.25 | Improvement: -425.25 | Win Rate: 0.00% | Actor Loss: -1946.0787 | Entropy: 3.2878
Epoch [43/1500] | Sampled: 1545.75 | Baseline: 1324.00 | Improvement: -221.75 | Win Rate: 50.00% | Actor Loss: -574.9493 | Entropy: 3.2597
Epoch [44/1500] | Sampled: 723.00 | Baseline: 613.25 | Improvement: -109.75 | Win Rate: 25.00% | Actor Loss: -163.5663 | Entropy: 3.0076
Epoch [45/1500] | Sampled: 994.25 | Baseline: 915.75 | Improvement: -78.50 | Win Rate: 50.00% | Actor Loss: -459.7031 | Entropy: 3.3136
Epoch [46/1500] | Sampled: 1000.00 | Baseline: 961.25 | Improvement: -38.75 | Win Rate: 50.00% | Actor Loss: -241.1163 | Entropy: 3.3734
Epoch [47/1500] | Sampled: 1210.25 | Baseline: 1049.25 | Improvement: -161.00 | Win Rate: 25.00% | Actor Loss: 559.1715 | Entropy: 3.0512
Epoch [48/1500] | Sampled: 1341.50 | Baseline: 992.50 | Improvement: -349.00 | Win Rate: 0.00% | Actor Loss: -1223.0585 | Entropy: 2.8578
Epoch [49/1500] | Sampled: 1257.25 | Baseline: 1038.25 | Improvement: -219.00 | Win Rate: 0.00% | Actor Loss: -130.9041 | Entropy: 3.0057
Epoch [50/1500] | Sampled: 1384.25 | Baseline: 1302.00 | Improvement: -82.25 | Win Rate: 50.00% | Actor Loss: -351.3160 | Entropy: 3.0037
Epoch [51/1500] | Sampled: 898.25 | Baseline: 891.00 | Improvement: -7.25 | Win Rate: 50.00% | Actor Loss: 149.4506 | Entropy: 2.8730
Epoch [52/1500] | Sampled: 840.50 | Baseline: 621.25 | Improvement: -219.25 | Win Rate: 0.00% | Actor Loss: -474.3181 | Entropy: 2.4487
Epoch [53/1500] | Sampled: 1093.75 | Baseline: 951.25 | Improvement: -142.50 | Win Rate: 25.00% | Actor Loss: -603.4329 | Entropy: 2.4622
Epoch [54/1500] | Sampled: 1355.50 | Baseline: 1083.50 | Improvement: -272.00 | Win Rate: 25.00% | Actor Loss: 145.0021 | Entropy: 2.1555
Epoch [55/1500] | Sampled: 1114.50 | Baseline: 858.25 | Improvement: -256.25 | Win Rate: 0.00% | Actor Loss: -1390.4641 | Entropy: 1.8544
Epoch [56/1500] | Sampled: 1197.25 | Baseline: 893.50 | Improvement: -303.75 | Win Rate: 25.00% | Actor Loss: -1507.9437 | Entropy: 2.0218
Epoch [57/1500] | Sampled: 1371.25 | Baseline: 1036.00 | Improvement: -335.25 | Win Rate: 0.00% | Actor Loss: -526.8374 | Entropy: 1.8883
Epoch [58/1500] | Sampled: 1346.75 | Baseline: 1019.50 | Improvement: -327.25 | Win Rate: 0.00% | Actor Loss: -875.8174 | Entropy: 1.9710
Epoch [59/1500] | Sampled: 1382.50 | Baseline: 980.75 | Improvement: -401.75 | Win Rate: 0.00% | Actor Loss: -1549.1605 | Entropy: 1.7594
Epoch [60/1500] | Sampled: 1511.50 | Baseline: 1229.25 | Improvement: -282.25 | Win Rate: 25.00% | Actor Loss: -469.3567 | Entropy: 1.8189
Epoch [61/1500] | Sampled: 983.25 | Baseline: 640.25 | Improvement: -343.00 | Win Rate: 0.00% | Actor Loss: -429.4157 | Entropy: 1.6353
Epoch [62/1500] | Sampled: 1151.50 | Baseline: 987.00 | Improvement: -164.50 | Win Rate: 25.00% | Actor Loss: -877.2812 | Entropy: 1.8997
Epoch [63/1500] | Sampled: 1768.75 | Baseline: 1444.25 | Improvement: -324.50 | Win Rate: 0.00% | Actor Loss: -463.7320 | Entropy: 1.8296
Epoch [64/1500] | Sampled: 1041.75 | Baseline: 885.25 | Improvement: -156.50 | Win Rate: 0.00% | Actor Loss: -83.6112 | Entropy: 1.8254
