Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting GNN REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [24/3000] | Sampled: 594.00 | Baseline: 719.72 | Improvement: 125.72 | Win Rate: 100.00% | Actor Loss: 9.5051 | Entropy: 3.5239 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [25/3000] | Sampled: 587.50 | Baseline: 713.91 | Improvement: 126.41 | Win Rate: 100.00% | Actor Loss: 9.3253 | Entropy: 3.5111 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [26/3000] | Sampled: 594.06 | Baseline: 716.66 | Improvement: 122.59 | Win Rate: 100.00% | Actor Loss: 0.9938 | Entropy: 3.5179 | Invalid S/B: 0.06/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [27/3000] | Sampled: 573.72 | Baseline: 713.28 | Improvement: 139.56 | Win Rate: 100.00% | Actor Loss: 2.5060 | Entropy: 3.5420 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [28/3000] | Sampled: 576.00 | Baseline: 718.22 | Improvement: 142.22 | Win Rate: 100.00% | Actor Loss: -4.7600 | Entropy: 3.5243 | Invalid S/B: 0.00/0.00 | Max Load: 21.4 | Load Gap: 2.8
Epoch [29/3000] | Sampled: 576.47 | Baseline: 721.88 | Improvement: 145.41 | Win Rate: 100.00% | Actor Loss: -7.9325 | Entropy: 3.4913 | Invalid S/B: 0.00/0.00 | Max Load: 21.5 | Load Gap: 3.0
Epoch [30/3000] | Sampled: 570.28 | Baseline: 720.59 | Improvement: 150.31 | Win Rate: 100.00% | Actor Loss: -6.8380 | Entropy: 3.4916 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [31/3000] | Sampled: 583.06 | Baseline: 717.03 | Improvement: 133.97 | Win Rate: 100.00% | Actor Loss: -10.0546 | Entropy: 3.4799 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.6
Epoch [32/3000] | Sampled: 564.94 | Baseline: 715.00 | Improvement: 150.06 | Win Rate: 100.00% | Actor Loss: -9.0724 | Entropy: 3.4674 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [33/3000] | Sampled: 579.56 | Baseline: 719.44 | Improvement: 139.88 | Win Rate: 100.00% | Actor Loss: 0.1855 | Entropy: 3.4484 | Invalid S/B: 0.03/0.00 | Max Load: 21.4 | Load Gap: 2.7
Epoch [34/3000] | Sampled: 583.84 | Baseline: 722.59 | Improvement: 138.75 | Win Rate: 100.00% | Actor Loss: 3.5446 | Entropy: 3.4026 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.5
Epoch [35/3000] | Sampled: 577.12 | Baseline: 721.78 | Improvement: 144.66 | Win Rate: 100.00% | Actor Loss: 4.1232 | Entropy: 3.3990 | Invalid S/B: 0.06/0.00 | Max Load: 21.4 | Load Gap: 2.7
Epoch [36/3000] | Sampled: 579.50 | Baseline: 718.03 | Improvement: 138.53 | Win Rate: 100.00% | Actor Loss: 4.5840 | Entropy: 3.3808 | Invalid S/B: 0.03/0.00 | Max Load: 21.2 | Load Gap: 2.4
Epoch [37/3000] | Sampled: 574.53 | Baseline: 714.88 | Improvement: 140.34 | Win Rate: 100.00% | Actor Loss: 1.4950 | Entropy: 3.3998 | Invalid S/B: 0.00/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [38/3000] | Sampled: 566.97 | Baseline: 718.19 | Improvement: 151.22 | Win Rate: 100.00% | Actor Loss: -4.2441 | Entropy: 3.3911 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [39/3000] | Sampled: 571.78 | Baseline: 720.72 | Improvement: 148.94 | Win Rate: 100.00% | Actor Loss: -5.5414 | Entropy: 3.3643 | Invalid S/B: 0.06/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [40/3000] | Sampled: 569.41 | Baseline: 717.69 | Improvement: 148.28 | Win Rate: 100.00% | Actor Loss: -10.2388 | Entropy: 3.3392 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.2
Epoch [41/3000] | Sampled: 565.44 | Baseline: 718.44 | Improvement: 153.00 | Win Rate: 100.00% | Actor Loss: -4.8235 | Entropy: 3.3221 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [42/3000] | Sampled: 566.91 | Baseline: 716.06 | Improvement: 149.16 | Win Rate: 100.00% | Actor Loss: -1.8478 | Entropy: 3.2989 | Invalid S/B: 0.03/0.00 | Max Load: 21.3 | Load Gap: 2.4
Epoch [43/3000] | Sampled: 580.66 | Baseline: 719.72 | Improvement: 139.06 | Win Rate: 100.00% | Actor Loss: 0.2970 | Entropy: 3.2938 | Invalid S/B: 0.06/0.00 | Max Load: 21.2 | Load Gap: 2.3
Epoch [44/3000] | Sampled: 561.62 | Baseline: 715.28 | Improvement: 153.66 | Win Rate: 100.00% | Actor Loss: 3.7503 | Entropy: 3.3342 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.1
Epoch [45/3000] | Sampled: 570.94 | Baseline: 720.53 | Improvement: 149.59 | Win Rate: 100.00% | Actor Loss: -3.7175 | Entropy: 3.3261 | Invalid S/B: 0.00/0.00 | Max Load: 21.0 | Load Gap: 2.0
Epoch [46/3000] | Sampled: 573.53 | Baseline: 716.50 | Improvement: 142.97 | Win Rate: 100.00% | Actor Loss: -2.2007 | Entropy: 3.3518 | Invalid S/B: 0.12/0.00 | Max Load: 21.5 | Load Gap: 2.8
Epoch [47/3000] | Sampled: 566.91 | Baseline: 713.06 | Improvement: 146.16 | Win Rate: 100.00% | Actor Loss: -0.1610 | Entropy: 3.3279 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.3
Epoch [48/3000] | Sampled: 572.28 | Baseline: 722.09 | Improvement: 149.81 | Win Rate: 100.00% | Actor Loss: 1.0687 | Entropy: 3.3240 | Invalid S/B: 0.09/0.00 | Max Load: 21.2 | Load Gap: 2.5
Epoch [49/3000] | Sampled: 568.12 | Baseline: 719.69 | Improvement: 151.56 | Win Rate: 100.00% | Actor Loss: -3.6830 | Entropy: 3.3300 | Invalid S/B: 0.00/0.00 | Max Load: 21.1 | Load Gap: 2.3
Epoch [50/3000] | Sampled: 568.41 | Baseline: 715.31 | Improvement: 146.91 | Win Rate: 100.00% | Actor Loss: 1.9082 | Entropy: 3.3435 | Invalid S/B: 0.03/0.00 | Max Load: 21.1 | Load Gap: 2.2
