Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+earliest_available' (stepwise).
Epoch [24/2000] | Sampled: 762.94 | Baseline: 762.00 | Improvement: -0.94 | Win Rate: 46.88% | Actor Loss: -0.7863 | Entropy: 3.1614 | Invalid S/B: 0.00/0.00 | Max Load: 20.5 | Load Gap: 1.1
Epoch [25/2000] | Sampled: 775.19 | Baseline: 767.22 | Improvement: -7.97 | Win Rate: 28.12% | Actor Loss: -1.3272 | Entropy: 3.1589 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.4
Epoch [26/2000] | Sampled: 763.72 | Baseline: 765.81 | Improvement: 2.09 | Win Rate: 50.00% | Actor Loss: 0.1110 | Entropy: 3.1590 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [27/2000] | Sampled: 772.62 | Baseline: 761.84 | Improvement: -10.78 | Win Rate: 25.00% | Actor Loss: -0.6735 | Entropy: 3.1588 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
Epoch [28/2000] | Sampled: 770.62 | Baseline: 766.47 | Improvement: -4.16 | Win Rate: 46.88% | Actor Loss: -0.5208 | Entropy: 3.1628 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [29/2000] | Sampled: 768.50 | Baseline: 762.19 | Improvement: -6.31 | Win Rate: 40.62% | Actor Loss: -1.1560 | Entropy: 3.1614 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [30/2000] | Sampled: 771.41 | Baseline: 768.44 | Improvement: -2.97 | Win Rate: 40.62% | Actor Loss: 0.0374 | Entropy: 3.1669 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [31/2000] | Sampled: 765.94 | Baseline: 757.06 | Improvement: -8.88 | Win Rate: 21.88% | Actor Loss: -1.3110 | Entropy: 3.1795 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [32/2000] | Sampled: 763.25 | Baseline: 756.44 | Improvement: -6.81 | Win Rate: 31.25% | Actor Loss: -1.5463 | Entropy: 3.1753 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [33/2000] | Sampled: 768.69 | Baseline: 764.44 | Improvement: -4.25 | Win Rate: 40.62% | Actor Loss: -0.8168 | Entropy: 3.1758 | Invalid S/B: 0.03/0.00 | Max Load: 20.8 | Load Gap: 1.5
Epoch [34/2000] | Sampled: 765.12 | Baseline: 760.06 | Improvement: -5.06 | Win Rate: 37.50% | Actor Loss: -0.6059 | Entropy: 3.1699 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
Epoch [35/2000] | Sampled: 764.72 | Baseline: 760.84 | Improvement: -3.88 | Win Rate: 37.50% | Actor Loss: -0.5530 | Entropy: 3.1682 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [36/2000] | Sampled: 773.62 | Baseline: 767.88 | Improvement: -5.75 | Win Rate: 37.50% | Actor Loss: -0.8259 | Entropy: 3.1732 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [37/2000] | Sampled: 767.38 | Baseline: 761.62 | Improvement: -5.75 | Win Rate: 40.62% | Actor Loss: -1.6543 | Entropy: 3.1673 | Invalid S/B: 0.00/0.00 | Max Load: 20.6 | Load Gap: 1.2
Epoch [38/2000] | Sampled: 778.47 | Baseline: 771.41 | Improvement: -7.06 | Win Rate: 21.88% | Actor Loss: 0.4957 | Entropy: 3.1666 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.3
Epoch [39/2000] | Sampled: 768.97 | Baseline: 758.94 | Improvement: -10.03 | Win Rate: 25.00% | Actor Loss: -1.0485 | Entropy: 3.1656 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [40/2000] | Sampled: 765.34 | Baseline: 761.50 | Improvement: -3.84 | Win Rate: 43.75% | Actor Loss: -0.9560 | Entropy: 3.1688 | Invalid S/B: 0.00/0.00 | Max Load: 20.5 | Load Gap: 1.0
Epoch [41/2000] | Sampled: 769.50 | Baseline: 763.72 | Improvement: -5.78 | Win Rate: 37.50% | Actor Loss: -0.7459 | Entropy: 3.1637 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [42/2000] | Sampled: 766.34 | Baseline: 766.00 | Improvement: -0.34 | Win Rate: 43.75% | Actor Loss: -0.9431 | Entropy: 3.1619 | Invalid S/B: 0.00/0.00 | Max Load: 20.9 | Load Gap: 1.8
Epoch [43/2000] | Sampled: 770.28 | Baseline: 766.78 | Improvement: -3.50 | Win Rate: 46.88% | Actor Loss: -0.3666 | Entropy: 3.1630 | Invalid S/B: 0.00/0.00 | Max Load: 20.7 | Load Gap: 1.4
Epoch [44/2000] | Sampled: 771.94 | Baseline: 764.59 | Improvement: -7.34 | Win Rate: 34.38% | Actor Loss: -0.7604 | Entropy: 3.1606 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.6
Epoch [45/2000] | Sampled: 765.84 | Baseline: 758.41 | Improvement: -7.44 | Win Rate: 34.38% | Actor Loss: -1.0455 | Entropy: 3.1596 | Invalid S/B: 0.00/0.00 | Max Load: 20.8 | Load Gap: 1.7
