Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1100.06 | Baseline: 778.38 | Improvement: -321.69 | Win Rate: 0.00% | Job Loss: 5.1102 | AMR Loss: -0.2459 | Entropy: 4.1292
   -> Saved new best model (Makespan: 1100.06)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/GNN/gnn_precise_training_metrics.png
Epoch [30/2000] | Sampled: 1846.75 | Baseline: 646.75 | Improvement: -1200.00 | Win Rate: 0.00% | Job Loss: 4.0817 | AMR Loss: 1.7673 | Entropy: 1.9938
Epoch [31/2000] | Sampled: 1791.81 | Baseline: 637.81 | Improvement: -1154.00 | Win Rate: 0.00% | Job Loss: -0.7194 | AMR Loss: 2.3741 | Entropy: 2.0296
Epoch [32/2000] | Sampled: 1926.31 | Baseline: 679.38 | Improvement: -1246.94 | Win Rate: 0.00% | Job Loss: 0.0035 | AMR Loss: 2.2973 | Entropy: 2.0268
Epoch [33/2000] | Sampled: 2301.44 | Baseline: 796.44 | Improvement: -1505.00 | Win Rate: 0.00% | Job Loss: -2.0534 | AMR Loss: 1.6710 | Entropy: 2.0803
Epoch [34/2000] | Sampled: 2227.50 | Baseline: 771.62 | Improvement: -1455.88 | Win Rate: 0.00% | Job Loss: -3.6570 | AMR Loss: 1.1677 | Entropy: 2.0220
Epoch [35/2000] | Sampled: 2357.81 | Baseline: 808.50 | Improvement: -1549.31 | Win Rate: 0.00% | Job Loss: -4.0668 | AMR Loss: 1.2072 | Entropy: 2.0376
Epoch [36/2000] | Sampled: 1477.00 | Baseline: 519.00 | Improvement: -958.00 | Win Rate: 0.00% | Job Loss: 1.2026 | AMR Loss: 1.9112 | Entropy: 1.8334
Epoch [37/2000] | Sampled: 1830.00 | Baseline: 643.81 | Improvement: -1186.19 | Win Rate: 0.00% | Job Loss: -1.1687 | AMR Loss: 1.8423 | Entropy: 1.9329
Epoch [38/2000] | Sampled: 2433.75 | Baseline: 842.62 | Improvement: -1591.12 | Win Rate: 0.00% | Job Loss: -2.8087 | AMR Loss: 2.5286 | Entropy: 2.0354
Epoch [39/2000] | Sampled: 2229.94 | Baseline: 782.81 | Improvement: -1447.12 | Win Rate: 0.00% | Job Loss: -5.8831 | AMR Loss: 1.8562 | Entropy: 1.9692
Epoch [40/2000] | Sampled: 2374.12 | Baseline: 844.69 | Improvement: -1529.44 | Win Rate: 0.00% | Job Loss: -7.0185 | AMR Loss: 2.2931 | Entropy: 2.0317
Epoch [41/2000] | Sampled: 2283.00 | Baseline: 801.38 | Improvement: -1481.62 | Win Rate: 0.00% | Job Loss: -4.7309 | AMR Loss: 1.9826 | Entropy: 1.9158
Epoch [42/2000] | Sampled: 2042.88 | Baseline: 712.44 | Improvement: -1330.44 | Win Rate: 0.00% | Job Loss: -7.8893 | AMR Loss: 1.4225 | Entropy: 1.8940
Epoch [43/2000] | Sampled: 2306.06 | Baseline: 808.38 | Improvement: -1497.69 | Win Rate: 0.00% | Job Loss: -7.6977 | AMR Loss: 1.5894 | Entropy: 1.9087
Epoch [44/2000] | Sampled: 2396.50 | Baseline: 828.19 | Improvement: -1568.31 | Win Rate: 0.00% | Job Loss: -7.8553 | AMR Loss: 0.7853 | Entropy: 1.8993
Epoch [45/2000] | Sampled: 2068.06 | Baseline: 717.38 | Improvement: -1350.69 | Win Rate: 0.00% | Job Loss: -7.2848 | AMR Loss: 1.5688 | Entropy: 1.8070
Epoch [46/2000] | Sampled: 2071.75 | Baseline: 701.50 | Improvement: -1370.25 | Win Rate: 0.00% | Job Loss: -7.2054 | AMR Loss: 1.3121 | Entropy: 1.8167
Epoch [47/2000] | Sampled: 2220.62 | Baseline: 771.81 | Improvement: -1448.81 | Win Rate: 0.00% | Job Loss: -7.4695 | AMR Loss: 1.9708 | Entropy: 1.8814
Epoch [48/2000] | Sampled: 2011.19 | Baseline: 711.50 | Improvement: -1299.69 | Win Rate: 0.00% | Job Loss: -6.9966 | AMR Loss: 1.6446 | Entropy: 1.8188
Epoch [49/2000] | Sampled: 1852.69 | Baseline: 650.50 | Improvement: -1202.19 | Win Rate: 0.00% | Job Loss: -6.3489 | AMR Loss: -0.5317 | Entropy: 1.7600
Epoch [50/2000] | Sampled: 2204.12 | Baseline: 762.88 | Improvement: -1441.25 | Win Rate: 0.00% | Job Loss: -5.9401 | AMR Loss: 1.2416 | Entropy: 1.7377
Epoch [51/2000] | Sampled: 2211.62 | Baseline: 760.81 | Improvement: -1450.81 | Win Rate: 0.00% | Job Loss: -11.1626 | AMR Loss: 1.0948 | Entropy: 1.6853
Epoch [52/2000] | Sampled: 1725.81 | Baseline: 605.25 | Improvement: -1120.56 | Win Rate: 0.00% | Job Loss: -7.8638 | AMR Loss: 1.5916 | Entropy: 1.5732
Epoch [53/2000] | Sampled: 1866.19 | Baseline: 649.00 | Improvement: -1217.19 | Win Rate: 0.00% | Job Loss: -8.4625 | AMR Loss: 0.9403 | Entropy: 1.5787
Epoch [54/2000] | Sampled: 2038.62 | Baseline: 704.25 | Improvement: -1334.38 | Win Rate: 0.00% | Job Loss: -3.9376 | AMR Loss: 1.4963 | Entropy: 1.5481
Epoch [55/2000] | Sampled: 2441.38 | Baseline: 833.94 | Improvement: -1607.44 | Win Rate: 0.00% | Job Loss: -10.4528 | AMR Loss: 0.4962 | Entropy: 1.6057
Epoch [56/2000] | Sampled: 1778.81 | Baseline: 619.75 | Improvement: -1159.06 | Win Rate: 0.00% | Job Loss: -9.2672 | AMR Loss: 1.3312 | Entropy: 1.4451
Epoch [57/2000] | Sampled: 2299.50 | Baseline: 807.56 | Improvement: -1491.94 | Win Rate: 0.00% | Job Loss: -11.2889 | AMR Loss: 1.7469 | Entropy: 1.6327
Epoch [58/2000] | Sampled: 2255.25 | Baseline: 783.50 | Improvement: -1471.75 | Win Rate: 0.00% | Job Loss: -11.7223 | AMR Loss: 0.3621 | Entropy: 1.5450
Epoch [59/2000] | Sampled: 2051.06 | Baseline: 710.56 | Improvement: -1340.50 | Win Rate: 0.00% | Job Loss: -3.7842 | AMR Loss: 1.9540 | Entropy: 1.4380
Epoch [60/2000] | Sampled: 2603.94 | Baseline: 900.38 | Improvement: -1703.56 | Win Rate: 0.00% | Job Loss: -5.2823 | AMR Loss: 1.1356 | Entropy: 1.5252
Epoch [61/2000] | Sampled: 2260.94 | Baseline: 792.19 | Improvement: -1468.75 | Win Rate: 0.00% | Job Loss: -4.0883 | AMR Loss: 0.7299 | Entropy: 1.4519
Epoch [62/2000] | Sampled: 1912.88 | Baseline: 659.50 | Improvement: -1253.38 | Win Rate: 0.00% | Job Loss: -6.0524 | AMR Loss: 2.1344 | Entropy: 1.3692
Epoch [63/2000] | Sampled: 1861.94 | Baseline: 639.00 | Improvement: -1222.94 | Win Rate: 0.00% | Job Loss: -6.0257 | AMR Loss: 0.6029 | Entropy: 1.2626
Epoch [64/2000] | Sampled: 2004.25 | Baseline: 700.94 | Improvement: -1303.31 | Win Rate: 0.00% | Job Loss: -5.4997 | AMR Loss: 1.3364 | Entropy: 1.3274
Epoch [65/2000] | Sampled: 2052.00 | Baseline: 714.00 | Improvement: -1338.00 | Win Rate: 0.00% | Job Loss: -5.0315 | AMR Loss: 0.7891 | Entropy: 1.3261
Epoch [66/2000] | Sampled: 1904.00 | Baseline: 656.31 | Improvement: -1247.69 | Win Rate: 0.00% | Job Loss: -3.8917 | AMR Loss: 0.8925 | Entropy: 1.2107
Epoch [67/2000] | Sampled: 2276.38 | Baseline: 800.00 | Improvement: -1476.38 | Win Rate: 0.00% | Job Loss: -11.6827 | AMR Loss: 1.0228 | Entropy: 1.2978
Epoch [68/2000] | Sampled: 2152.62 | Baseline: 739.75 | Improvement: -1412.88 | Win Rate: 0.00% | Job Loss: -2.8595 | AMR Loss: 0.5301 | Entropy: 1.2024
Epoch [69/2000] | Sampled: 2061.06 | Baseline: 713.94 | Improvement: -1347.12 | Win Rate: 0.00% | Job Loss: 2.6255 | AMR Loss: 1.1440 | Entropy: 1.1016
Epoch [70/2000] | Sampled: 2041.56 | Baseline: 694.94 | Improvement: -1346.62 | Win Rate: 0.00% | Job Loss: 0.6396 | AMR Loss: 0.8597 | Entropy: 1.0647
Epoch [71/2000] | Sampled: 2701.88 | Baseline: 934.88 | Improvement: -1767.00 | Win Rate: 0.00% | Job Loss: -4.9342 | AMR Loss: 0.8712 | Entropy: 1.2816
Epoch [72/2000] | Sampled: 2682.81 | Baseline: 927.50 | Improvement: -1755.31 | Win Rate: 0.00% | Job Loss: 4.0349 | AMR Loss: 0.7892 | Entropy: 1.2146
Epoch [73/2000] | Sampled: 2230.25 | Baseline: 762.88 | Improvement: -1467.38 | Win Rate: 0.00% | Job Loss: -10.0551 | AMR Loss: 0.5482 | Entropy: 1.0546
Epoch [74/2000] | Sampled: 2235.38 | Baseline: 772.50 | Improvement: -1462.88 | Win Rate: 0.00% | Job Loss: -5.8692 | AMR Loss: 0.8415 | Entropy: 1.0894
Epoch [75/2000] | Sampled: 1955.06 | Baseline: 676.75 | Improvement: -1278.31 | Win Rate: 0.00% | Job Loss: 0.4061 | AMR Loss: 1.2071 | Entropy: 0.9731
Epoch [76/2000] | Sampled: 2213.12 | Baseline: 767.06 | Improvement: -1446.06 | Win Rate: 0.00% | Job Loss: -5.3340 | AMR Loss: 1.1669 | Entropy: 1.0511
Epoch [77/2000] | Sampled: 2236.25 | Baseline: 777.62 | Improvement: -1458.62 | Win Rate: 0.00% | Job Loss: -0.7154 | AMR Loss: 0.8543 | Entropy: 1.0522
Epoch [78/2000] | Sampled: 2423.62 | Baseline: 836.62 | Improvement: -1587.00 | Win Rate: 0.00% | Job Loss: -1.9131 | AMR Loss: 1.1130 | Entropy: 1.1103
Epoch [79/2000] | Sampled: 2300.50 | Baseline: 796.56 | Improvement: -1503.94 | Win Rate: 0.00% | Job Loss: -2.4645 | AMR Loss: 1.0898 | Entropy: 1.0677
Epoch [80/2000] | Sampled: 2466.81 | Baseline: 853.56 | Improvement: -1613.25 | Win Rate: 0.00% | Job Loss: 0.3731 | AMR Loss: 1.1375 | Entropy: 1.1199
Epoch [81/2000] | Sampled: 2500.50 | Baseline: 858.94 | Improvement: -1641.56 | Win Rate: 0.00% | Job Loss: 3.5431 | AMR Loss: 0.6555 | Entropy: 1.1619
Epoch [82/2000] | Sampled: 2182.06 | Baseline: 761.94 | Improvement: -1420.12 | Win Rate: 0.00% | Job Loss: 0.7581 | AMR Loss: 1.7241 | Entropy: 1.0842
Epoch [83/2000] | Sampled: 2066.88 | Baseline: 701.38 | Improvement: -1365.50 | Win Rate: 0.00% | Job Loss: 1.5181 | AMR Loss: 0.9372 | Entropy: 1.0149
Epoch [84/2000] | Sampled: 2587.12 | Baseline: 888.31 | Improvement: -1698.81 | Win Rate: 0.00% | Job Loss: 6.4494 | AMR Loss: 0.8676 | Entropy: 1.1956
Epoch [85/2000] | Sampled: 2322.00 | Baseline: 801.12 | Improvement: -1520.88 | Win Rate: 0.00% | Job Loss: 4.1422 | AMR Loss: 0.3110 | Entropy: 1.1359
Epoch [86/2000] | Sampled: 2465.88 | Baseline: 849.31 | Improvement: -1616.56 | Win Rate: 0.00% | Job Loss: 2.8483 | AMR Loss: 1.0523 | Entropy: 1.2269
Epoch [87/2000] | Sampled: 2032.88 | Baseline: 711.69 | Improvement: -1321.19 | Win Rate: 0.00% | Job Loss: 0.7405 | AMR Loss: 1.7936 | Entropy: 1.1304
Epoch [88/2000] | Sampled: 2660.81 | Baseline: 923.25 | Improvement: -1737.56 | Win Rate: 0.00% | Job Loss: 3.2525 | AMR Loss: 0.8547 | Entropy: 1.3330
Epoch [89/2000] | Sampled: 2017.81 | Baseline: 705.12 | Improvement: -1312.69 | Win Rate: 0.00% | Job Loss: 5.4676 | AMR Loss: 0.8176 | Entropy: 1.0851
Epoch [90/2000] | Sampled: 1924.81 | Baseline: 672.50 | Improvement: -1252.31 | Win Rate: 0.00% | Job Loss: 1.1905 | AMR Loss: 0.4626 | Entropy: 1.0678
