Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [21/2000] | Sampled: 2066.88 | Baseline: 655.81 | Improvement: -1411.06 | Win Rate: 0.00% | Job Loss: -4.3760 | AMR Loss: 1.1469 | Entropy: 1.6352 | Invalid S/B: 0.00/0.00 | Max Load: 56.0 | Load Gap: 56.0
Epoch [22/2000] | Sampled: 2224.94 | Baseline: 728.38 | Improvement: -1496.56 | Win Rate: 0.00% | Job Loss: 0.7514 | AMR Loss: 1.5912 | Entropy: 1.7496 | Invalid S/B: 0.00/0.00 | Max Load: 60.5 | Load Gap: 60.4
Epoch [23/2000] | Sampled: 1717.69 | Baseline: 570.56 | Improvement: -1147.12 | Win Rate: 0.00% | Job Loss: -6.4066 | AMR Loss: 1.8051 | Entropy: 1.6642 | Invalid S/B: 0.00/0.00 | Max Load: 47.6 | Load Gap: 47.6
Epoch [24/2000] | Sampled: 1989.94 | Baseline: 651.69 | Improvement: -1338.25 | Win Rate: 0.00% | Job Loss: -3.7798 | AMR Loss: 2.4484 | Entropy: 1.8078 | Invalid S/B: 0.00/0.00 | Max Load: 53.7 | Load Gap: 53.4
Epoch [25/2000] | Sampled: 2267.25 | Baseline: 721.56 | Improvement: -1545.69 | Win Rate: 0.00% | Job Loss: -7.9936 | AMR Loss: 1.1479 | Entropy: 1.8208 | Invalid S/B: 0.00/0.00 | Max Load: 61.1 | Load Gap: 61.0
Epoch [26/2000] | Sampled: 2537.75 | Baseline: 816.06 | Improvement: -1721.69 | Win Rate: 0.00% | Job Loss: -8.3230 | AMR Loss: 2.2620 | Entropy: 1.9758 | Invalid S/B: 0.00/0.00 | Max Load: 68.7 | Load Gap: 68.6
Epoch [27/2000] | Sampled: 2039.81 | Baseline: 654.56 | Improvement: -1385.25 | Win Rate: 0.00% | Job Loss: -7.6999 | AMR Loss: 1.5802 | Entropy: 1.8163 | Invalid S/B: 0.00/0.00 | Max Load: 54.6 | Load Gap: 54.6
Epoch [28/2000] | Sampled: 2208.50 | Baseline: 710.25 | Improvement: -1498.25 | Win Rate: 0.00% | Job Loss: -6.8097 | AMR Loss: 2.1450 | Entropy: 1.7959 | Invalid S/B: 0.00/0.00 | Max Load: 59.0 | Load Gap: 58.9
Epoch [29/2000] | Sampled: 2329.50 | Baseline: 745.44 | Improvement: -1584.06 | Win Rate: 0.00% | Job Loss: -4.4186 | AMR Loss: 2.3102 | Entropy: 1.7736 | Invalid S/B: 0.00/0.00 | Max Load: 62.8 | Load Gap: 62.7
Epoch [30/2000] | Sampled: 1866.06 | Baseline: 601.12 | Improvement: -1264.94 | Win Rate: 0.00% | Job Loss: 0.4939 | AMR Loss: 2.4436 | Entropy: 1.5532 | Invalid S/B: 0.00/0.00 | Max Load: 50.4 | Load Gap: 50.4
Epoch [31/2000] | Sampled: 1839.75 | Baseline: 595.06 | Improvement: -1244.69 | Win Rate: 0.00% | Job Loss: -2.7979 | AMR Loss: 1.6348 | Entropy: 1.4171 | Invalid S/B: 0.00/0.00 | Max Load: 49.4 | Load Gap: 49.4
Epoch [32/2000] | Sampled: 1955.12 | Baseline: 631.31 | Improvement: -1323.81 | Win Rate: 0.00% | Job Loss: -2.5547 | AMR Loss: 1.3769 | Entropy: 1.4433 | Invalid S/B: 0.00/0.00 | Max Load: 53.4 | Load Gap: 53.4
Epoch [33/2000] | Sampled: 2303.88 | Baseline: 736.50 | Improvement: -1567.38 | Win Rate: 0.00% | Job Loss: -10.0221 | AMR Loss: 1.4085 | Entropy: 1.5575 | Invalid S/B: 0.00/0.00 | Max Load: 62.1 | Load Gap: 62.1
Epoch [34/2000] | Sampled: 2241.69 | Baseline: 720.12 | Improvement: -1521.56 | Win Rate: 0.00% | Job Loss: -7.4462 | AMR Loss: 1.5068 | Entropy: 1.5343 | Invalid S/B: 0.00/0.00 | Max Load: 60.8 | Load Gap: 60.8
Epoch [35/2000] | Sampled: 2366.56 | Baseline: 751.62 | Improvement: -1614.94 | Win Rate: 0.00% | Job Loss: -7.6980 | AMR Loss: 1.2525 | Entropy: 1.5061 | Invalid S/B: 0.00/0.00 | Max Load: 63.4 | Load Gap: 63.4
Epoch [36/2000] | Sampled: 1490.62 | Baseline: 480.81 | Improvement: -1009.81 | Win Rate: 0.00% | Job Loss: -4.7128 | AMR Loss: 1.2663 | Entropy: 1.1109 | Invalid S/B: 0.00/0.00 | Max Load: 39.9 | Load Gap: 39.9
Epoch [37/2000] | Sampled: 1858.50 | Baseline: 596.31 | Improvement: -1262.19 | Win Rate: 0.00% | Job Loss: -11.6532 | AMR Loss: 1.1919 | Entropy: 1.2935 | Invalid S/B: 0.00/0.00 | Max Load: 49.7 | Load Gap: 49.7
Epoch [38/2000] | Sampled: 2448.50 | Baseline: 785.75 | Improvement: -1662.75 | Win Rate: 0.00% | Job Loss: -12.9250 | AMR Loss: 1.3860 | Entropy: 1.4504 | Invalid S/B: 0.00/0.00 | Max Load: 65.8 | Load Gap: 65.8
Epoch [39/2000] | Sampled: 2242.31 | Baseline: 724.62 | Improvement: -1517.69 | Win Rate: 0.00% | Job Loss: -7.9204 | AMR Loss: 1.4783 | Entropy: 1.4020 | Invalid S/B: 0.00/0.00 | Max Load: 60.8 | Load Gap: 60.8
Epoch [40/2000] | Sampled: 2385.25 | Baseline: 777.81 | Improvement: -1607.44 | Win Rate: 0.00% | Job Loss: -13.4819 | AMR Loss: 1.2218 | Entropy: 1.4495 | Invalid S/B: 0.00/0.00 | Max Load: 66.0 | Load Gap: 66.0
Epoch [41/2000] | Sampled: 2294.69 | Baseline: 739.25 | Improvement: -1555.44 | Win Rate: 0.00% | Job Loss: -18.1859 | AMR Loss: 2.2445 | Entropy: 1.4811 | Invalid S/B: 0.00/0.00 | Max Load: 61.6 | Load Gap: 61.4
Epoch [42/2000] | Sampled: 2050.94 | Baseline: 657.88 | Improvement: -1393.06 | Win Rate: 0.00% | Job Loss: -12.6191 | AMR Loss: 1.4996 | Entropy: 1.4035 | Invalid S/B: 0.00/0.00 | Max Load: 55.3 | Load Gap: 55.2
Epoch [43/2000] | Sampled: 2333.06 | Baseline: 752.44 | Improvement: -1580.62 | Win Rate: 0.00% | Job Loss: -13.5975 | AMR Loss: 1.1101 | Entropy: 1.5374 | Invalid S/B: 0.00/0.00 | Max Load: 63.5 | Load Gap: 63.5
Epoch [44/2000] | Sampled: 2388.06 | Baseline: 776.62 | Improvement: -1611.44 | Win Rate: 0.00% | Job Loss: -15.0130 | AMR Loss: 1.4736 | Entropy: 1.6100 | Invalid S/B: 0.00/0.00 | Max Load: 65.8 | Load Gap: 65.8
Epoch [45/2000] | Sampled: 2069.56 | Baseline: 664.06 | Improvement: -1405.50 | Win Rate: 0.00% | Job Loss: -10.1709 | AMR Loss: 2.0859 | Entropy: 1.5670 | Invalid S/B: 0.00/0.00 | Max Load: 55.6 | Load Gap: 55.4
Epoch [46/2000] | Sampled: 2068.50 | Baseline: 659.50 | Improvement: -1409.00 | Win Rate: 0.00% | Job Loss: -9.1262 | AMR Loss: 1.7725 | Entropy: 1.6830 | Invalid S/B: 0.00/0.00 | Max Load: 55.6 | Load Gap: 55.6
Epoch [47/2000] | Sampled: 2257.25 | Baseline: 720.19 | Improvement: -1537.06 | Win Rate: 0.00% | Job Loss: -13.5597 | AMR Loss: 1.7400 | Entropy: 1.7131 | Invalid S/B: 0.00/0.00 | Max Load: 60.3 | Load Gap: 60.3
