Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [22/500] | Sampled: 259.00 | Baseline: 251.12 | Improvement: -7.88 | Win Rate: 12.50% | Job Loss: -2.1944 | AMR Loss: -0.5154 | Entropy: 1.0081 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 258.81 | Baseline: 249.56 | Improvement: -9.25 | Win Rate: 15.62% | Job Loss: -0.8966 | AMR Loss: -0.1366 | Entropy: 1.0258 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [24/500] | Sampled: 261.09 | Baseline: 250.97 | Improvement: -10.12 | Win Rate: 3.12% | Job Loss: -1.9381 | AMR Loss: -0.0252 | Entropy: 0.9740 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 256.72 | Baseline: 248.94 | Improvement: -7.78 | Win Rate: 21.88% | Job Loss: -0.4837 | AMR Loss: 0.0159 | Entropy: 0.9032 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 260.81 | Baseline: 253.06 | Improvement: -7.75 | Win Rate: 21.88% | Job Loss: -0.0659 | AMR Loss: -0.0198 | Entropy: 0.9061 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 260.97 | Baseline: 255.12 | Improvement: -5.84 | Win Rate: 25.00% | Job Loss: -0.6488 | AMR Loss: -0.2991 | Entropy: 0.8587 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 262.19 | Baseline: 252.22 | Improvement: -9.97 | Win Rate: 12.50% | Job Loss: -0.6218 | AMR Loss: -0.4315 | Entropy: 0.9008 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [29/500] | Sampled: 260.78 | Baseline: 253.47 | Improvement: -7.31 | Win Rate: 21.88% | Job Loss: -0.3419 | AMR Loss: 0.3119 | Entropy: 0.8621 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 258.47 | Baseline: 253.81 | Improvement: -4.66 | Win Rate: 28.12% | Job Loss: 0.5136 | AMR Loss: 0.0994 | Entropy: 0.8879 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 256.81 | Baseline: 249.69 | Improvement: -7.12 | Win Rate: 28.12% | Job Loss: -0.9926 | AMR Loss: 0.1900 | Entropy: 0.8541 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [32/500] | Sampled: 259.06 | Baseline: 249.78 | Improvement: -9.28 | Win Rate: 25.00% | Job Loss: -0.4099 | AMR Loss: -0.0612 | Entropy: 0.8550 | Invalid S/B: 0.03/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [33/500] | Sampled: 261.47 | Baseline: 252.75 | Improvement: -8.72 | Win Rate: 9.38% | Job Loss: -0.8161 | AMR Loss: 0.1138 | Entropy: 0.8614 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [34/500] | Sampled: 254.66 | Baseline: 248.47 | Improvement: -6.19 | Win Rate: 25.00% | Job Loss: -1.3278 | AMR Loss: -0.3744 | Entropy: 0.8981 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [35/500] | Sampled: 256.28 | Baseline: 249.81 | Improvement: -6.47 | Win Rate: 25.00% | Job Loss: -0.6362 | AMR Loss: 0.0375 | Entropy: 0.8662 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [36/500] | Sampled: 257.53 | Baseline: 250.50 | Improvement: -7.03 | Win Rate: 21.88% | Job Loss: 0.4985 | AMR Loss: -0.4746 | Entropy: 0.9167 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [37/500] | Sampled: 259.44 | Baseline: 253.28 | Improvement: -6.16 | Win Rate: 18.75% | Job Loss: -0.2907 | AMR Loss: 0.0302 | Entropy: 0.9019 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [38/500] | Sampled: 258.91 | Baseline: 251.41 | Improvement: -7.50 | Win Rate: 18.75% | Job Loss: 0.0622 | AMR Loss: -0.0682 | Entropy: 0.9430 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [39/500] | Sampled: 263.28 | Baseline: 253.72 | Improvement: -9.56 | Win Rate: 12.50% | Job Loss: -1.3159 | AMR Loss: -0.0431 | Entropy: 0.9384 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [40/500] | Sampled: 257.38 | Baseline: 252.00 | Improvement: -5.38 | Win Rate: 28.12% | Job Loss: -1.7035 | AMR Loss: -0.2970 | Entropy: 0.9821 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [41/500] | Sampled: 257.00 | Baseline: 249.69 | Improvement: -7.31 | Win Rate: 18.75% | Job Loss: -1.5475 | AMR Loss: -0.1861 | Entropy: 0.9842 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [42/500] | Sampled: 259.94 | Baseline: 253.41 | Improvement: -6.53 | Win Rate: 31.25% | Job Loss: -1.3364 | AMR Loss: -0.2522 | Entropy: 0.9280 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [43/500] | Sampled: 260.19 | Baseline: 252.47 | Improvement: -7.72 | Win Rate: 15.62% | Job Loss: -1.1474 | AMR Loss: 0.2642 | Entropy: 0.9349 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [44/500] | Sampled: 262.19 | Baseline: 251.88 | Improvement: -10.31 | Win Rate: 6.25% | Job Loss: -0.8464 | AMR Loss: 0.1294 | Entropy: 0.8976 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [45/500] | Sampled: 258.03 | Baseline: 252.03 | Improvement: -6.00 | Win Rate: 15.62% | Job Loss: -0.3848 | AMR Loss: 0.0954 | Entropy: 0.8916 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [46/500] | Sampled: 256.34 | Baseline: 250.06 | Improvement: -6.28 | Win Rate: 31.25% | Job Loss: -0.8212 | AMR Loss: -0.0011 | Entropy: 0.8888 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [47/500] | Sampled: 261.66 | Baseline: 254.19 | Improvement: -7.47 | Win Rate: 15.62% | Job Loss: -0.7727 | AMR Loss: -0.0976 | Entropy: 0.8477 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [48/500] | Sampled: 259.75 | Baseline: 251.41 | Improvement: -8.34 | Win Rate: 15.62% | Job Loss: -1.8169 | AMR Loss: 0.3177 | Entropy: 0.8517 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 260.97 | Baseline: 251.97 | Improvement: -9.00 | Win Rate: 12.50% | Job Loss: -1.3752 | AMR Loss: -0.1260 | Entropy: 0.8184 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
