Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/gnn_precise_latest.pth (optimizers: optimizer_actor)
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [22/500] | Sampled: 255.28 | Baseline: 251.12 | Improvement: -4.16 | Win Rate: 31.25% | Job Loss: 0.5276 | AMR Loss: 0.0807 | Entropy: 1.0224 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [23/500] | Sampled: 251.94 | Baseline: 249.56 | Improvement: -2.38 | Win Rate: 25.00% | Job Loss: -0.7283 | AMR Loss: 0.1239 | Entropy: 0.9753 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [24/500] | Sampled: 254.47 | Baseline: 250.97 | Improvement: -3.50 | Win Rate: 28.12% | Job Loss: 1.2208 | AMR Loss: -0.9753 | Entropy: 0.9605 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [25/500] | Sampled: 257.75 | Baseline: 248.94 | Improvement: -8.81 | Win Rate: 15.62% | Job Loss: -2.1140 | AMR Loss: -0.3785 | Entropy: 0.9730 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [26/500] | Sampled: 255.84 | Baseline: 253.06 | Improvement: -2.78 | Win Rate: 28.12% | Job Loss: -0.2655 | AMR Loss: -0.1259 | Entropy: 0.9819 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 257.84 | Baseline: 255.12 | Improvement: -2.72 | Win Rate: 37.50% | Job Loss: -0.9277 | AMR Loss: -0.4689 | Entropy: 0.9737 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [28/500] | Sampled: 257.59 | Baseline: 252.22 | Improvement: -5.38 | Win Rate: 31.25% | Job Loss: -1.3502 | AMR Loss: -0.2043 | Entropy: 1.0010 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [29/500] | Sampled: 259.69 | Baseline: 253.47 | Improvement: -6.22 | Win Rate: 18.75% | Job Loss: -1.2909 | AMR Loss: 0.0679 | Entropy: 1.0059 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [30/500] | Sampled: 255.94 | Baseline: 253.81 | Improvement: -2.12 | Win Rate: 34.38% | Job Loss: -1.2099 | AMR Loss: 0.1936 | Entropy: 1.0073 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [31/500] | Sampled: 253.00 | Baseline: 249.69 | Improvement: -3.31 | Win Rate: 34.38% | Job Loss: -1.7751 | AMR Loss: -0.2481 | Entropy: 1.0597 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
