Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_02/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+least_loaded' (stepwise).
Epoch [24/500] | Sampled: 247.69 | Baseline: 250.97 | Improvement: 3.28 | Win Rate: 59.38% | Actor Loss: 0.3831 | Entropy: 0.5275 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [25/500] | Sampled: 245.72 | Baseline: 248.94 | Improvement: 3.22 | Win Rate: 62.50% | Actor Loss: -1.1796 | Entropy: 0.5736 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [26/500] | Sampled: 248.00 | Baseline: 253.06 | Improvement: 5.06 | Win Rate: 68.75% | Actor Loss: 0.2745 | Entropy: 0.6029 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [27/500] | Sampled: 250.09 | Baseline: 255.12 | Improvement: 5.03 | Win Rate: 65.62% | Actor Loss: -0.9458 | Entropy: 0.6581 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
Epoch [28/500] | Sampled: 249.47 | Baseline: 252.22 | Improvement: 2.75 | Win Rate: 56.25% | Actor Loss: 0.2607 | Entropy: 0.7168 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [29/500] | Sampled: 249.56 | Baseline: 253.47 | Improvement: 3.91 | Win Rate: 62.50% | Actor Loss: 0.4817 | Entropy: 0.7332 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [30/500] | Sampled: 250.44 | Baseline: 253.81 | Improvement: 3.38 | Win Rate: 56.25% | Actor Loss: -0.5742 | Entropy: 0.7256 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [31/500] | Sampled: 247.31 | Baseline: 249.69 | Improvement: 2.38 | Win Rate: 59.38% | Actor Loss: -0.8564 | Entropy: 0.7493 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [32/500] | Sampled: 245.69 | Baseline: 249.78 | Improvement: 4.09 | Win Rate: 62.50% | Actor Loss: -1.2818 | Entropy: 0.7874 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [33/500] | Sampled: 248.53 | Baseline: 252.75 | Improvement: 4.22 | Win Rate: 65.62% | Actor Loss: -1.2641 | Entropy: 0.8845 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [34/500] | Sampled: 245.94 | Baseline: 248.47 | Improvement: 2.53 | Win Rate: 59.38% | Actor Loss: -0.5356 | Entropy: 0.8166 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [35/500] | Sampled: 245.41 | Baseline: 249.81 | Improvement: 4.41 | Win Rate: 65.62% | Actor Loss: -0.3290 | Entropy: 0.8499 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [36/500] | Sampled: 247.97 | Baseline: 250.50 | Improvement: 2.53 | Win Rate: 62.50% | Actor Loss: 0.1250 | Entropy: 0.8585 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [37/500] | Sampled: 247.88 | Baseline: 253.28 | Improvement: 5.41 | Win Rate: 75.00% | Actor Loss: -0.4662 | Entropy: 0.8539 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [38/500] | Sampled: 251.47 | Baseline: 251.41 | Improvement: -0.06 | Win Rate: 40.62% | Actor Loss: -1.2199 | Entropy: 0.8817 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [39/500] | Sampled: 250.72 | Baseline: 253.72 | Improvement: 3.00 | Win Rate: 65.62% | Actor Loss: 0.6664 | Entropy: 0.8974 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [40/500] | Sampled: 248.28 | Baseline: 252.00 | Improvement: 3.72 | Win Rate: 62.50% | Actor Loss: -0.3248 | Entropy: 0.9486 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [41/500] | Sampled: 248.66 | Baseline: 249.69 | Improvement: 1.03 | Win Rate: 50.00% | Actor Loss: -1.0343 | Entropy: 0.9406 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [42/500] | Sampled: 253.47 | Baseline: 253.41 | Improvement: -0.06 | Win Rate: 43.75% | Actor Loss: -0.5095 | Entropy: 0.9101 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [43/500] | Sampled: 252.69 | Baseline: 252.47 | Improvement: -0.22 | Win Rate: 46.88% | Actor Loss: -1.3400 | Entropy: 0.9452 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [44/500] | Sampled: 248.53 | Baseline: 251.88 | Improvement: 3.34 | Win Rate: 59.38% | Actor Loss: -1.8084 | Entropy: 0.8495 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [45/500] | Sampled: 246.59 | Baseline: 252.03 | Improvement: 5.44 | Win Rate: 75.00% | Actor Loss: -0.0610 | Entropy: 0.7909 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [46/500] | Sampled: 248.12 | Baseline: 250.06 | Improvement: 1.94 | Win Rate: 53.12% | Actor Loss: 0.4507 | Entropy: 0.7065 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [47/500] | Sampled: 251.56 | Baseline: 254.19 | Improvement: 2.62 | Win Rate: 56.25% | Actor Loss: -1.1011 | Entropy: 0.6695 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [48/500] | Sampled: 246.50 | Baseline: 251.41 | Improvement: 4.91 | Win Rate: 68.75% | Actor Loss: -0.5805 | Entropy: 0.6118 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [49/500] | Sampled: 247.75 | Baseline: 251.97 | Improvement: 4.22 | Win Rate: 59.38% | Actor Loss: 0.3312 | Entropy: 0.6024 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [50/500] | Sampled: 245.78 | Baseline: 248.69 | Improvement: 2.91 | Win Rate: 62.50% | Actor Loss: 0.1365 | Entropy: 0.6193 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.2
   -> Validation | Samples: 50 | Makespan: 246.80 | Invalid Jobs: 0.00
   -> Saved new best model (Val Makespan: 246.80)
