n_jobs,policy,rule,is_best_rule_at_n,n_pairs,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
80,extend_GNN best-of-16 s44,milk_run+least_loaded,no,100,-31.61,6.42,-7.32,-38.14,-25.27,82,17,82.0,0.0001,yes
80,extend_GNN best-of-16 s44,earliest_completion_job+earliest_completion,no,100,-47.06,3.78,-10.52,-50.87,-43.41,99,1,99.0,0.0001,yes
80,extend_GNN best-of-16 s44,earliest_completion_job+material_match,no,100,-47.7,3.63,-10.65,-51.44,-44.22,100,0,100.0,0.0001,yes
100,extend_GNN greedy (3 seeds),milk_run+earliest_completion,no,98,18.83,8.01,3.73,10.69,26.89,26,72,26.5,0.0001,yes
100,extend_GNN greedy (3 seeds),milk_run+earliest_available,yes,98,22.67,6.79,4.52,15.85,29.37,28,70,28.6,0.0001,yes
100,extend_GNN greedy (3 seeds),material_match+earliest_completion,no,98,-11.79,4.61,-2.2,-16.43,-7.09,67,31,68.4,0.0001,yes
100,extend_GNN greedy (3 seeds),milk_run+least_loaded,no,98,18.46,6.73,3.65,11.75,25.04,29,69,29.6,0.0001,yes
100,extend_GNN greedy (3 seeds),earliest_completion_job+earliest_completion,no,98,-11.81,4.55,-2.21,-16.37,-7.21,67,31,68.4,0.0001,yes
100,extend_GNN greedy (3 seeds),earliest_completion_job+material_match,no,98,-9.04,4.63,-1.7,-13.69,-4.27,63,35,64.3,0.0007,yes
100,extend_GNN greedy _s42,milk_run+earliest_completion,no,100,24.72,7.95,4.89,16.54,32.52,24,76,24.0,0.0001,yes
100,extend_GNN greedy _s42,milk_run+earliest_available,yes,100,28.86,7.22,5.75,21.67,35.83,22,78,22.0,0.0001,yes
100,extend_GNN greedy _s42,material_match+earliest_completion,no,100,-5.36,5.12,-1.0,-10.66,-0.25,56,43,56.0,0.0406,yes
100,extend_GNN greedy _s42,milk_run+least_loaded,no,100,25.07,7.22,4.96,17.94,32.08,21,77,21.0,0.0001,yes
100,extend_GNN greedy _s42,earliest_completion_job+earliest_completion,no,100,-5.31,5.14,-0.99,-10.6,-0.16,58,41,58.0,0.0449,yes
100,extend_GNN greedy _s42,earliest_completion_job+material_match,no,100,-2.37,5.43,-0.44,-7.86,3.14,59,41,59.0,0.3954,no
100,extend_GNN greedy _s43,milk_run+earliest_completion,no,99,24.59,9.13,4.87,15.38,33.45,27,72,27.3,0.0001,yes
100,extend_GNN greedy _s43,milk_run+earliest_available,yes,99,28.12,8.04,5.61,20.22,36.09,26,73,26.3,0.0001,yes
100,extend_GNN greedy _s43,material_match+earliest_completion,no,99,-5.94,6.12,-1.11,-12.0,0.12,48,48,48.5,0.06,no
100,extend_GNN greedy _s43,milk_run+least_loaded,no,99,24.07,7.9,4.76,16.11,31.86,26,72,26.3,0.0001,yes
100,extend_GNN greedy _s43,earliest_completion_job+earliest_completion,no,99,-5.89,6.07,-1.1,-11.9,0.08,47,49,47.5,0.0611,no
100,extend_GNN greedy _s43,earliest_completion_job+material_match,no,99,-3.03,6.05,-0.57,-9.02,2.95,53,44,53.5,0.3391,no
100,extend_GNN greedy _s44,milk_run+earliest_completion,no,99,6.33,8.98,1.25,-2.86,15.23,39,60,39.4,0.1704,no
100,extend_GNN greedy _s44,milk_run+earliest_available,yes,99,10.78,7.63,2.15,3.15,18.3,39,57,39.4,0.0054,yes
100,extend_GNN greedy _s44,material_match+earliest_completion,no,99,-23.84,6.12,-4.45,-29.89,-17.46,76,22,76.8,0.0001,yes
100,extend_GNN greedy _s44,milk_run+least_loaded,no,99,6.83,7.67,1.35,-0.92,14.38,44,54,44.4,0.0836,no
100,extend_GNN greedy _s44,earliest_completion_job+earliest_completion,no,99,-23.86,6.0,-4.45,-29.81,-17.61,76,21,76.8,0.0001,yes
100,extend_GNN greedy _s44,earliest_completion_job+material_match,no,99,-21.01,5.98,-3.94,-26.93,-14.91,75,23,75.8,0.0001,yes
100,extend_GNN best-of-8 s42,milk_run+earliest_completion,no,100,3.39,7.95,0.67,-4.67,11.33,42,58,42.0,0.4102,no
100,extend_GNN best-of-8 s42,milk_run+earliest_available,yes,100,7.53,6.65,1.5,0.95,13.96,43,55,43.0,0.032,yes
100,extend_GNN best-of-8 s42,material_match+earliest_completion,no,100,-26.69,4.4,-4.98,-31.16,-22.32,88,10,88.0,0.0001,yes
100,extend_GNN best-of-8 s42,milk_run+least_loaded,no,100,3.74,6.46,0.74,-2.65,10.06,43,55,43.0,0.2606,no
100,extend_GNN best-of-8 s42,earliest_completion_job+earliest_completion,no,100,-26.64,4.39,-4.97,-31.11,-22.28,88,10,88.0,0.0001,yes
100,extend_GNN best-of-8 s42,earliest_completion_job+material_match,no,100,-23.7,4.17,-4.45,-27.98,-19.58,87,12,87.0,0.0001,yes
100,extend_GNN best-of-16 s42,milk_run+earliest_completion,no,100,-3.76,7.68,-0.74,-11.43,3.89,47,53,47.0,0.3506,no
100,extend_GNN best-of-16 s42,milk_run+earliest_available,yes,100,0.38,6.39,0.08,-5.87,6.57,48,52,48.0,0.9117,no
100,extend_GNN best-of-16 s42,material_match+earliest_completion,no,100,-33.84,4.24,-6.32,-38.21,-29.57,94,6,94.0,0.0001,yes
100,extend_GNN best-of-16 s42,milk_run+least_loaded,no,100,-3.41,6.26,-0.67,-9.61,2.73,51,46,51.0,0.2911,no
100,extend_GNN best-of-16 s42,earliest_completion_job+earliest_completion,no,100,-33.79,4.22,-6.31,-38.13,-29.54,94,6,94.0,0.0001,yes
100,extend_GNN best-of-16 s42,earliest_completion_job+material_match,no,100,-30.85,3.84,-5.79,-34.78,-27.09,96,3,96.0,0.0001,yes
100,extend_GNN best-of-8 s44,milk_run+earliest_completion,no,100,-14.32,7.78,-2.83,-22.11,-6.58,59,40,59.0,0.0004,yes
100,extend_GNN best-of-8 s44,milk_run+earliest_available,yes,100,-10.18,6.66,-2.03,-16.88,-3.53,56,42,56.0,0.0031,yes
100,extend_GNN best-of-8 s44,material_match+earliest_completion,no,100,-44.4,4.03,-8.29,-48.52,-40.42,99,1,99.0,0.0001,yes
100,extend_GNN best-of-8 s44,milk_run+least_loaded,no,100,-13.97,6.62,-2.76,-20.7,-7.46,62,36,62.0,0.0001,yes
100,extend_GNN best-of-8 s44,earliest_completion_job+earliest_completion,no,100,-44.35,4.05,-8.28,-48.5,-40.35,99,1,99.0,0.0001,yes
100,extend_GNN best-of-8 s44,earliest_completion_job+material_match,no,100,-41.41,3.91,-7.77,-45.4,-37.56,98,2,98.0,0.0001,yes
100,extend_GNN best-of-16 s44,milk_run+earliest_completion,no,100,-20.42,7.51,-4.04,-27.85,-12.93,62,37,62.0,0.0001,yes
100,extend_GNN best-of-16 s44,milk_run+earliest_available,yes,100,-16.28,6.55,-3.25,-22.79,-9.79,64,35,64.0,0.0001,yes
100,extend_GNN best-of-16 s44,material_match+earliest_completion,no,100,-50.5,4.11,-9.43,-54.65,-46.53,100,0,100.0,0.0001,yes
100,extend_GNN best-of-16 s44,milk_run+least_loaded,no,100,-20.07,6.36,-3.97,-26.37,-13.89,71,28,71.0,0.0001,yes
100,extend_GNN best-of-16 s44,earliest_completion_job+earliest_completion,no,100,-50.45,4.14,-9.42,-54.64,-46.45,100,0,100.0,0.0001,yes
100,extend_GNN best-of-16 s44,earliest_completion_job+material_match,no,100,-47.51,4.0,-8.92,-51.54,-43.65,100,0,100.0,0.0001,yes
