n_jobs,policy,rule,is_best_rule_at_n,n_pairs,delta,delta_ci95,delta_pct,boot_lo,boot_hi,wins,losses,win_rate_pct,perm_p,significant
20,extend_GNN best-of-16 s44,milk_run+earliest_available,no,100,-31.58,4.05,-16.85,-35.74,-27.57,96,4,96.0,0.0001,yes
20,extend_GNN best-of-16 s44,material_match+earliest_completion,no,100,-10.57,2.04,-6.35,-12.6,-8.54,80,18,80.0,0.0001,yes
20,extend_GNN best-of-16 s44,milk_run+least_loaded,no,100,-31.26,4.07,-16.71,-35.45,-27.27,96,4,96.0,0.0001,yes
20,extend_GNN best-of-16 s44,earliest_completion_job+earliest_completion,no,100,-10.52,2.01,-6.33,-12.52,-8.5,80,18,80.0,0.0001,yes
20,extend_GNN best-of-16 s44,earliest_completion_job+material_match,yes,100,-10.4,2.04,-6.26,-12.37,-8.36,77,18,77.0,0.0001,yes
40,extend_GNN greedy (3 seeds),milk_run+earliest_completion,no,100,-17.33,4.8,-6.36,-22.13,-12.6,81,19,81.0,0.0001,yes
40,extend_GNN greedy (3 seeds),milk_run+earliest_available,no,100,-16.51,5.6,-6.08,-22.14,-11.01,65,35,65.0,0.0001,yes
40,extend_GNN greedy (3 seeds),material_match+earliest_completion,no,99,-3.34,3.15,-1.29,-6.46,-0.17,60,39,60.6,0.0442,yes
40,extend_GNN greedy (3 seeds),milk_run+least_loaded,no,100,-16.04,5.51,-5.92,-21.64,-10.62,65,35,65.0,0.0001,yes
40,extend_GNN greedy (3 seeds),earliest_completion_job+earliest_completion,no,99,-3.48,3.23,-1.35,-6.69,-0.25,59,40,59.6,0.0419,yes
40,extend_GNN greedy (3 seeds),earliest_completion_job+material_match,yes,100,-2.74,2.9,-1.06,-5.6,0.14,53,45,53.0,0.0694,no
40,extend_GNN greedy _s42,milk_run+earliest_completion,no,100,-14.56,5.39,-5.35,-19.95,-9.18,69,28,69.0,0.0001,yes
40,extend_GNN greedy _s42,milk_run+earliest_available,no,100,-13.74,6.3,-5.06,-20.16,-7.46,64,35,64.0,0.0001,yes
40,extend_GNN greedy _s42,material_match+earliest_completion,no,99,-0.32,3.94,-0.13,-4.17,3.67,48,49,48.5,0.8774,no
40,extend_GNN greedy _s42,milk_run+least_loaded,no,100,-13.27,6.22,-4.9,-19.54,-7.02,64,35,64.0,0.0001,yes
40,extend_GNN greedy _s42,earliest_completion_job+earliest_completion,no,99,-0.46,4.03,-0.18,-4.4,3.64,47,50,47.5,0.8255,no
40,extend_GNN greedy _s42,earliest_completion_job+material_match,yes,100,0.03,3.69,0.01,-3.51,3.69,47,49,47.0,0.9921,no
40,extend_GNN greedy _s43,milk_run+earliest_completion,no,100,-13.86,5.44,-5.09,-19.22,-8.47,71,27,71.0,0.0001,yes
40,extend_GNN greedy _s43,milk_run+earliest_available,no,100,-13.04,6.07,-4.8,-19.04,-7.13,62,35,62.0,0.0001,yes
40,extend_GNN greedy _s43,material_match+earliest_completion,no,99,-0.03,4.16,-0.01,-4.09,4.22,51,45,51.5,0.9923,no
40,extend_GNN greedy _s43,milk_run+least_loaded,no,100,-12.57,6.01,-4.64,-18.53,-6.7,60,37,60.0,0.0001,yes
40,extend_GNN greedy _s43,earliest_completion_job+earliest_completion,no,99,-0.17,4.21,-0.07,-4.27,4.12,52,44,52.5,0.9416,no
40,extend_GNN greedy _s43,earliest_completion_job+material_match,yes,100,0.73,4.0,0.28,-3.21,4.79,54,46,54.0,0.7282,no
40,extend_GNN greedy _s44,milk_run+earliest_completion,no,100,-23.57,5.29,-8.65,-28.84,-18.33,84,15,84.0,0.0001,yes
40,extend_GNN greedy _s44,milk_run+earliest_available,no,100,-22.75,5.92,-8.38,-28.71,-16.97,80,20,80.0,0.0001,yes
40,extend_GNN greedy _s44,material_match+earliest_completion,no,99,-9.66,3.79,-3.74,-13.43,-5.85,67,31,67.7,0.0001,yes
40,extend_GNN greedy _s44,milk_run+least_loaded,no,100,-22.28,5.81,-8.22,-28.12,-16.65,80,20,80.0,0.0001,yes
40,extend_GNN greedy _s44,earliest_completion_job+earliest_completion,no,99,-9.8,3.85,-3.79,-13.67,-5.93,67,31,67.7,0.0001,yes
40,extend_GNN greedy _s44,earliest_completion_job+material_match,yes,100,-8.98,3.63,-3.48,-12.47,-5.3,69,28,69.0,0.0001,yes
40,extend_GNN best-of-8 s42,milk_run+earliest_completion,no,100,-26.63,4.49,-9.78,-31.12,-22.19,87,11,87.0,0.0001,yes
40,extend_GNN best-of-8 s42,milk_run+earliest_available,no,100,-25.81,5.62,-9.51,-31.52,-20.35,79,19,79.0,0.0001,yes
40,extend_GNN best-of-8 s42,material_match+earliest_completion,no,99,-12.61,2.85,-4.88,-15.45,-9.76,76,21,76.8,0.0001,yes
40,extend_GNN best-of-8 s42,milk_run+least_loaded,no,100,-25.34,5.54,-9.35,-30.93,-19.91,78,19,78.0,0.0001,yes
40,extend_GNN best-of-8 s42,earliest_completion_job+earliest_completion,no,99,-12.75,2.93,-4.93,-15.7,-9.82,76,21,76.8,0.0001,yes
40,extend_GNN best-of-8 s42,earliest_completion_job+material_match,yes,100,-12.04,2.78,-4.67,-14.8,-9.24,80,19,80.0,0.0001,yes
40,extend_GNN best-of-16 s42,milk_run+earliest_completion,no,100,-29.97,4.62,-11.01,-34.66,-25.41,90,9,90.0,0.0001,yes
40,extend_GNN best-of-16 s42,milk_run+earliest_available,no,100,-29.15,5.61,-10.74,-34.81,-23.68,86,12,86.0,0.0001,yes
40,extend_GNN best-of-16 s42,material_match+earliest_completion,no,99,-15.86,2.79,-6.14,-18.66,-13.09,85,12,85.9,0.0001,yes
40,extend_GNN best-of-16 s42,milk_run+least_loaded,no,100,-28.68,5.51,-10.58,-34.25,-23.3,87,11,87.0,0.0001,yes
40,extend_GNN best-of-16 s42,earliest_completion_job+earliest_completion,no,99,-16.0,2.87,-6.19,-18.88,-13.15,84,12,84.8,0.0001,yes
40,extend_GNN best-of-16 s42,earliest_completion_job+material_match,yes,100,-15.38,2.63,-5.97,-17.98,-12.77,87,10,87.0,0.0001,yes
40,extend_GNN best-of-8 s44,milk_run+earliest_completion,no,100,-34.04,4.86,-12.5,-38.98,-29.29,91,9,91.0,0.0001,yes
40,extend_GNN best-of-8 s44,milk_run+earliest_available,no,100,-33.22,5.57,-12.24,-38.88,-27.76,90,8,90.0,0.0001,yes
40,extend_GNN best-of-8 s44,material_match+earliest_completion,no,99,-19.96,2.58,-7.73,-22.49,-17.39,93,6,93.9,0.0001,yes
40,extend_GNN best-of-8 s44,milk_run+least_loaded,no,100,-32.75,5.48,-12.08,-38.32,-27.37,90,9,90.0,0.0001,yes
40,extend_GNN best-of-8 s44,earliest_completion_job+earliest_completion,no,99,-20.1,2.64,-7.78,-22.72,-17.47,93,6,93.9,0.0001,yes
40,extend_GNN best-of-8 s44,earliest_completion_job+material_match,yes,100,-19.45,2.43,-7.55,-21.83,-17.02,96,3,96.0,0.0001,yes
40,extend_GNN best-of-16 s44,milk_run+earliest_completion,no,100,-37.17,4.77,-13.65,-41.95,-32.51,95,5,95.0,0.0001,yes
40,extend_GNN best-of-16 s44,milk_run+earliest_available,no,100,-36.35,5.52,-13.39,-41.96,-30.92,94,5,94.0,0.0001,yes
40,extend_GNN best-of-16 s44,material_match+earliest_completion,no,99,-23.07,2.58,-8.93,-25.65,-20.48,95,4,96.0,0.0001,yes
40,extend_GNN best-of-16 s44,milk_run+least_loaded,no,100,-35.88,5.42,-13.24,-41.34,-30.59,94,5,94.0,0.0001,yes
40,extend_GNN best-of-16 s44,earliest_completion_job+earliest_completion,no,99,-23.21,2.65,-8.98,-25.84,-20.54,95,4,96.0,0.0001,yes
40,extend_GNN best-of-16 s44,earliest_completion_job+material_match,yes,100,-22.58,2.36,-8.76,-24.91,-20.2,96,3,96.0,0.0001,yes
60,extend_GNN greedy (3 seeds),milk_run+earliest_completion,no,100,-7.27,6.11,-2.09,-13.23,-1.18,61,39,61.0,0.0197,yes
60,extend_GNN greedy (3 seeds),milk_run+earliest_available,no,100,-6.26,6.1,-1.8,-12.47,-0.24,60,40,60.0,0.0463,yes
60,extend_GNN greedy (3 seeds),material_match+earliest_completion,no,100,-8.16,3.95,-2.34,-12.13,-4.18,69,31,69.0,0.0001,yes
60,extend_GNN greedy (3 seeds),milk_run+least_loaded,yes,100,-5.73,6.15,-1.65,-12.0,0.36,59,41,59.0,0.0696,no
60,extend_GNN greedy (3 seeds),earliest_completion_job+earliest_completion,no,100,-8.47,3.9,-2.42,-12.41,-4.5,68,32,68.0,0.0001,yes
60,extend_GNN greedy (3 seeds),earliest_completion_job+material_match,no,100,-8.51,4.0,-2.43,-12.54,-4.46,69,30,69.0,0.0002,yes
60,extend_GNN greedy _s42,milk_run+earliest_completion,no,100,-3.35,6.47,-0.96,-9.71,3.13,50,48,50.0,0.3213,no
60,extend_GNN greedy _s42,milk_run+earliest_available,no,100,-2.34,6.68,-0.67,-8.91,4.3,52,47,52.0,0.4972,no
60,extend_GNN greedy _s42,material_match+earliest_completion,no,100,-4.24,5.05,-1.21,-9.13,0.86,59,40,59.0,0.1035,no
60,extend_GNN greedy _s42,milk_run+least_loaded,yes,100,-1.81,6.83,-0.52,-8.54,5.03,53,46,53.0,0.6005,no
60,extend_GNN greedy _s42,earliest_completion_job+earliest_completion,no,100,-4.55,5.03,-1.3,-9.41,0.55,58,40,58.0,0.0792,no
60,extend_GNN greedy _s42,earliest_completion_job+material_match,no,100,-4.59,4.67,-1.31,-9.12,0.31,62,36,62.0,0.0575,no
60,extend_GNN greedy _s43,milk_run+earliest_completion,no,100,-3.76,6.75,-1.08,-10.29,3.12,56,43,56.0,0.2875,no
60,extend_GNN greedy _s43,milk_run+earliest_available,no,100,-2.75,6.71,-0.79,-9.55,3.91,57,42,57.0,0.4261,no
60,extend_GNN greedy _s43,material_match+earliest_completion,no,100,-4.65,4.75,-1.33,-9.32,0.18,59,38,59.0,0.0577,no
60,extend_GNN greedy _s43,milk_run+least_loaded,yes,100,-2.22,6.63,-0.64,-8.93,4.37,55,45,55.0,0.5114,no
60,extend_GNN greedy _s43,earliest_completion_job+earliest_completion,no,100,-4.96,4.74,-1.42,-9.62,-0.13,60,38,60.0,0.0428,yes
60,extend_GNN greedy _s43,earliest_completion_job+material_match,no,100,-5.0,5.12,-1.43,-10.19,0.19,58,40,58.0,0.058,no
60,extend_GNN greedy _s44,milk_run+earliest_completion,no,100,-14.7,6.76,-4.22,-21.37,-7.88,63,37,63.0,0.0001,yes
60,extend_GNN greedy _s44,milk_run+earliest_available,no,100,-13.69,6.57,-3.94,-20.37,-7.25,61,39,61.0,0.0002,yes
60,extend_GNN greedy _s44,material_match+earliest_completion,no,100,-15.59,4.46,-4.46,-19.9,-10.97,80,19,80.0,0.0001,yes
60,extend_GNN greedy _s44,milk_run+least_loaded,yes,100,-13.16,6.62,-3.79,-19.93,-6.65,62,38,62.0,0.0001,yes
60,extend_GNN greedy _s44,earliest_completion_job+earliest_completion,no,100,-15.9,4.36,-4.55,-20.13,-11.42,80,19,80.0,0.0001,yes
60,extend_GNN greedy _s44,earliest_completion_job+material_match,no,100,-15.94,4.59,-4.56,-20.42,-11.38,80,20,80.0,0.0001,yes
60,extend_GNN best-of-8 s42,milk_run+earliest_completion,no,100,-18.31,5.87,-5.26,-24.05,-12.47,72,28,72.0,0.0001,yes
60,extend_GNN best-of-8 s42,milk_run+earliest_available,no,100,-17.3,5.81,-4.98,-23.27,-11.64,72,28,72.0,0.0001,yes
60,extend_GNN best-of-8 s42,material_match+earliest_completion,no,100,-19.2,3.51,-5.5,-22.71,-15.7,86,14,86.0,0.0001,yes
60,extend_GNN best-of-8 s42,milk_run+least_loaded,yes,100,-16.77,5.93,-4.83,-22.8,-11.02,71,27,71.0,0.0001,yes
60,extend_GNN best-of-8 s42,earliest_completion_job+earliest_completion,no,100,-19.51,3.56,-5.58,-23.11,-15.97,84,16,84.0,0.0001,yes
60,extend_GNN best-of-8 s42,earliest_completion_job+material_match,no,100,-19.55,3.36,-5.59,-22.92,-16.22,91,8,91.0,0.0001,yes
60,extend_GNN best-of-16 s42,milk_run+earliest_completion,no,100,-23.33,5.76,-6.7,-28.97,-17.61,75,25,75.0,0.0001,yes
60,extend_GNN best-of-16 s42,milk_run+earliest_available,no,100,-22.32,5.77,-6.42,-28.3,-16.69,76,23,76.0,0.0001,yes
60,extend_GNN best-of-16 s42,material_match+earliest_completion,no,100,-24.22,3.23,-6.93,-27.47,-20.98,93,6,93.0,0.0001,yes
60,extend_GNN best-of-16 s42,milk_run+least_loaded,yes,100,-21.79,5.82,-6.28,-27.8,-16.06,79,20,79.0,0.0001,yes
60,extend_GNN best-of-16 s42,earliest_completion_job+earliest_completion,no,100,-24.53,3.27,-7.02,-27.84,-21.23,93,6,93.0,0.0001,yes
60,extend_GNN best-of-16 s42,earliest_completion_job+material_match,no,100,-24.57,3.06,-7.03,-27.67,-21.56,96,3,96.0,0.0001,yes
60,extend_GNN best-of-8 s44,milk_run+earliest_completion,no,100,-28.09,5.66,-8.06,-33.63,-22.53,83,17,83.0,0.0001,yes
60,extend_GNN best-of-8 s44,milk_run+earliest_available,no,100,-27.08,5.84,-7.8,-33.05,-21.35,81,19,81.0,0.0001,yes
60,extend_GNN best-of-8 s44,material_match+earliest_completion,no,100,-28.98,3.42,-8.3,-32.39,-25.53,94,6,94.0,0.0001,yes
60,extend_GNN best-of-8 s44,milk_run+least_loaded,yes,100,-26.55,5.94,-7.65,-32.57,-20.67,79,20,79.0,0.0001,yes
60,extend_GNN best-of-8 s44,earliest_completion_job+earliest_completion,no,100,-29.29,3.43,-8.38,-32.72,-25.82,94,6,94.0,0.0001,yes
60,extend_GNN best-of-8 s44,earliest_completion_job+material_match,no,100,-29.33,3.35,-8.39,-32.66,-25.97,96,3,96.0,0.0001,yes
60,extend_GNN best-of-16 s44,milk_run+earliest_completion,no,100,-31.22,5.58,-8.96,-36.71,-25.71,86,14,86.0,0.0001,yes
60,extend_GNN best-of-16 s44,milk_run+earliest_available,no,100,-30.21,5.86,-8.7,-36.19,-24.46,82,17,82.0,0.0001,yes
